Year,Series,Units,Activité économique,Value
2007,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,2.026
2007,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,1.837
2007,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,0.563
2007,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",0.727
2008,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",14.579
2008,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,3.605
2008,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,4.522
2008,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,6.795
2009,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,0.073
2009,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,6.588
2009,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",-13.293
2009,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,-15.728
2010,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,5.061
2010,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,11.387
2010,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",-54.998
2010,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,-1.264
2011,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,5.639
2011,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,8.736
2011,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",18.793
2011,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,6.177
2012,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,1.798
2012,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",0.935
2012,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,4.432
2012,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,3.204
2013,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",18.7
2013,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,4.321
2013,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,5.246
2013,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,3.279
2014,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,7.414
2014,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",-3.018
2014,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,2.564
2014,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,6.079
2015,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,-8.825
2015,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,2.916
2015,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Services,4.05
2015,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),"Agriculture, sylviculture et pêche",48.448
2016,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),,-0.717
2016,Variation en pourcentage de l'efficacité de l'utilisation des ressources en eau au fil du temps (%),Variation en pourcentage (%),Industrie,-4.189
