Year,Activité économique,Value
2000,,4.31
2000,"Agriculture, sylviculture et pêche",0.37
2000,Industrie,3.36
2000,Services,0.59
2001,,4.31
2001,"Agriculture, sylviculture et pêche",0.35
2001,Industrie,3.37
2001,Services,0.59
2002,,4.3
2002,"Agriculture, sylviculture et pêche",0.33
2002,Industrie,3.37
2002,Services,0.59
2003,Industrie,3.38
2003,Services,0.6
2003,"Agriculture, sylviculture et pêche",0.31
2003,,4.29
2004,,4.28
2004,"Agriculture, sylviculture et pêche",0.29
2004,Industrie,3.39
2004,Services,0.6
2005,,4.27
2005,"Agriculture, sylviculture et pêche",0.28
2005,Industrie,3.4
2005,Services,0.6
2006,,4.26
2006,Services,0.6
2006,Industrie,3.4
2006,"Agriculture, sylviculture et pêche",0.26
2007,,4.26
2007,"Agriculture, sylviculture et pêche",0.24
2007,Industrie,3.41
2007,Services,0.61
2008,,4.13
2008,"Agriculture, sylviculture et pêche",0.23
2008,Industrie,3.31
2008,Services,0.59
2009,,4.0
2009,Services,0.57
2009,Industrie,3.2
2009,"Agriculture, sylviculture et pêche",0.22
2010,,3.83
2010,"Agriculture, sylviculture et pêche",0.45
2010,Industrie,2.88
2010,Services,0.5
2011,Services,0.48
2011,Industrie,2.79
2011,"Agriculture, sylviculture et pêche",0.4
2011,,3.67
2012,,3.75
2012,"Agriculture, sylviculture et pêche",0.38
2012,Industrie,2.87
2012,Services,0.5
2013,,3.84
2013,"Agriculture, sylviculture et pêche",0.36
2013,Industrie,2.96
2013,Services,0.52
2014,Industrie,2.92
2014,Services,0.52
2014,"Agriculture, sylviculture et pêche",0.32
2014,,3.76
2015,,3.68
2015,"Agriculture, sylviculture et pêche",0.28
2015,Industrie,2.88
2015,Services,0.53
2016,,3.71
2016,"Agriculture, sylviculture et pêche",0.34
2016,Industrie,2.86
2016,Services,0.51
2017,Services,0.5
2017,Industrie,2.83
2017,,3.73
2017,"Agriculture, sylviculture et pêche",0.4
2018,,3.73
2018,"Agriculture, sylviculture et pêche",0.4
2018,Industrie,2.83
2018,Services,0.5
2019,,3.73
2019,"Agriculture, sylviculture et pêche",0.4
2019,Industrie,2.83
2019,Services,0.5
2020,Services,0.51
2020,Industrie,2.83
2020,"Agriculture, sylviculture et pêche",0.4
2020,,3.73
2021,,3.72
2021,"Agriculture, sylviculture et pêche",0.4
2021,Industrie,2.82
2021,Services,0.5
2022,,3.72
2022,"Agriculture, sylviculture et pêche",0.4
2022,Industrie,2.82
2022,Services,0.5
