Year,Series,Units,Water extent,Qualité de l'eau,Value
2020,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Pourcentage (%),,,4.0
2015,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Pourcentage (%),,,1.0
2020,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Nombre,,,57.0
2015,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface,Nombre,,,18.0
2015,Eau permanente,Kilomètres carrés,,,916917.6
2016,Eau permanente,Kilomètres carrés,,,914878.3
2017,Eau permanente,Kilomètres carrés,,,916342.4
2018,Eau permanente,Kilomètres carrés,,,914773.6
2019,Eau permanente,Kilomètres carrés,,,914479.7
2020,Eau permanente,Kilomètres carrés,,,919584.5
2015,Eau saisonnière,Kilomètres carrés,,,81623.6
2016,Eau saisonnière,Kilomètres carrés,,,95379.5
2017,Eau saisonnière,Kilomètres carrés,,,98646.4
2018,Eau saisonnière,Kilomètres carrés,,,92557.1
2019,Eau saisonnière,Kilomètres carrés,,,94042.2
2020,Eau saisonnière,Kilomètres carrés,,,103943.7
2015,Étendue du réservoir,Kilomètres carrés,Maximum,,91380.6
2016,Étendue du réservoir,Kilomètres carrés,Maximum,,91729.2
2017,Étendue du réservoir,Kilomètres carrés,Maximum,,91837.1
2018,Étendue du réservoir,Kilomètres carrés,Maximum,,91694.7
2019,Étendue du réservoir,Kilomètres carrés,Maximum,,91754.4
2020,Étendue du réservoir,Kilomètres carrés,Maximum,,91730.5
2021,Étendue du réservoir,Kilomètres carrés,Maximum,,91630.4
2015,Étendue du réservoir,Kilomètres carrés,Minimum,,89658.9
2016,Étendue du réservoir,Kilomètres carrés,Minimum,,89908.0
2017,Étendue du réservoir,Kilomètres carrés,Minimum,,90119.3
2018,Étendue du réservoir,Kilomètres carrés,Minimum,,90112.9
2019,Étendue du réservoir,Kilomètres carrés,Minimum,,90124.0
2020,Étendue du réservoir,Kilomètres carrés,Minimum,,90059.8
2021,Étendue du réservoir,Kilomètres carrés,Minimum,,89872.9
2016/18 (baseline),Étendue des millieux humides,Kilomètres carrés,Minimum,,806938.0
2016/18 (baseline),Étendue des millieux humides,Pourcentage (%),,,8.17
2017,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Low,58.1
2017,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Medium,15.7
2017,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,High,15.0
2017,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Extreme,11.2
2018,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Low,55.2
2018,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Medium,14.9
2018,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,High,15.7
2018,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Extreme,14.3
2019,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Low,49.7
2019,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Medium,15.3
2019,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,High,18.9
2019,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Extreme,16.2
2020,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Low,58.5
2020,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Medium,13.2
2020,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,High,12.6
2020,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Extreme,15.8
2021,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Low,56.7
2021,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Medium,14.6
2021,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,High,14.8
2021,"Qualité de l’eau du lac, la turbidité",Pourcentage (%),,Extreme,13.9
2017,"Lake water quality, trophic",Pourcentage (%),,Low,73.1
2017,"Lake water quality, trophic",Pourcentage (%),,Medium,18.4
2017,"Lake water quality, trophic",Pourcentage (%),,High,7.3
2017,"Lake water quality, trophic",Pourcentage (%),,Extreme,1.3
2018,"Lake water quality, trophic",Pourcentage (%),,Low,72.9
2018,"Lake water quality, trophic",Pourcentage (%),,Medium,16.8
2018,"Lake water quality, trophic",Pourcentage (%),,High,8.1
2018,"Lake water quality, trophic",Pourcentage (%),,Extreme,2.2
2019,"Lake water quality, trophic",Pourcentage (%),,Low,88.6
2019,"Lake water quality, trophic",Pourcentage (%),,Medium,8.1
2019,"Lake water quality, trophic",Pourcentage (%),,High,2.5
2019,"Lake water quality, trophic",Pourcentage (%),,Extreme,0.7
2020,"Lake water quality, trophic",Pourcentage (%),,Low,85.8
2020,"Lake water quality, trophic",Pourcentage (%),,Medium,10.0
2020,"Lake water quality, trophic",Pourcentage (%),,High,3.4
2020,"Lake water quality, trophic",Pourcentage (%),,Extreme,0.9
2021,"Lake water quality, trophic",Pourcentage (%),,Low,86.7
2021,"Lake water quality, trophic",Pourcentage (%),,Medium,8.2
2021,"Lake water quality, trophic",Pourcentage (%),,High,3.7
2021,"Lake water quality, trophic",Pourcentage (%),,Extreme,1.3
