Year,Géographie,Value
2015,,3.98
2015,Terre-Neuve-et-Labrador,3.85
2015,Île-du-Prince-Édouard,3.63
2015,Nouvelle-Écosse,3.54
2015,Nouveau-Brunswick,4.16
2015,Québec,3.96
2015,Ontario,3.19
2015,Manitoba,4.04
2015,Saskatchewan,6.3
2015,Alberta,6.05
2015,Colombie-Britannique,3.18
2015,Yukon,3.04
2015,Territoires du Nord-Ouest,4.1
2015,Nunavut,3.28
2016,,3.92
2016,Terre-Neuve-et-Labrador,3.8
2016,Île-du-Prince-Édouard,3.64
2016,Nouvelle-Écosse,3.38
2016,Nouveau-Brunswick,4.18
2016,Québec,3.88
2016,Ontario,3.13
2016,Manitoba,4.09
2016,Saskatchewan,6.21
2016,Alberta,6.03
2016,Colombie-Britannique,3.29
2016,Yukon,2.83
2016,Territoires du Nord-Ouest,3.34
2016,Nunavut,2.86
2017,,3.95
2017,Terre-Neuve-et-Labrador,3.72
2017,Île-du-Prince-Édouard,3.5
2017,Nouvelle-Écosse,3.47
2017,Nouveau-Brunswick,3.95
2017,Québec,
2017,Ontario,3.09
2017,Manitoba,4.04
2017,Saskatchewan,6.51
2017,Alberta,6.28
2017,Colombie-Britannique,
2017,Yukon,2.98
2017,Territoires du Nord-Ouest,3.62
2017,Nunavut,2.35
2018,,4.02
2018,Terre-Neuve-et-Labrador,3.79
2018,Île-du-Prince-Édouard,3.39
2018,Nouvelle-Écosse,3.53
2018,Nouveau-Brunswick,4.0
2018,Québec,3.84
2018,Ontario,3.09
2018,Manitoba,4.19
2018,Saskatchewan,6.88
2018,Alberta,6.57
2018,Colombie-Britannique,3.32
2018,Yukon,3.28
2018,Territoires du Nord-Ouest,3.53
2018,Nunavut,2.44
2019,,3.98
2019,Terre-Neuve-et-Labrador,3.65
2019,Île-du-Prince-Édouard,3.36
2019,Nouvelle-Écosse,3.34
2019,Nouveau-Brunswick,3.93
2019,Québec,3.83
2019,Ontario,3.03
2019,Manitoba,4.07
2019,Saskatchewan,6.9
2019,Alberta,6.74
2019,Colombie-Britannique,3.24
2019,Yukon,3.41
2019,Territoires du Nord-Ouest,3.6
2019,Nunavut,2.32
2020,,3.76
2020,Terre-Neuve-et-Labrador,3.2
2020,Île-du-Prince-Édouard,3.43
2020,Nouvelle-Écosse,3.11
2020,Nouveau-Brunswick,3.65
2020,Québec,3.56
2020,Ontario,2.79
2020,Manitoba,3.93
2020,Saskatchewan,6.73
2020,Alberta,6.65
2020,Colombie-Britannique,3.02
2020,Yukon,2.88
2020,Territoires du Nord-Ouest,3.38
2020,Nunavut,1.81
2021,,3.65
2021,Terre-Neuve-et-Labrador,3.17
2021,Île-du-Prince-Édouard,3.25
2021,Nouvelle-Écosse,2.95
2021,Nouveau-Brunswick,3.44
2021,Québec,3.48
2021,Ontario,2.66
2021,Manitoba,3.83
2021,Saskatchewan,7.35
2021,Alberta,6.58
2021,Colombie-Britannique,2.86
2021,Yukon,2.92
2021,Territoires du Nord-Ouest,3.38
2021,Nunavut,1.85
2022,,3.63
2022,Terre-Neuve-et-Labrador,3.4
2022,Île-du-Prince-Édouard,3.05
2022,Nouvelle-Écosse,2.92
2022,Nouveau-Brunswick,3.53
2022,Québec,3.51
2022,Ontario,2.66
2022,Manitoba,3.89
2022,Saskatchewan,6.96
2022,Alberta,6.36
2022,Colombie-Britannique,2.85
2022,Yukon,2.94
2022,Territoires du Nord-Ouest,3.59
2022,Nunavut,1.9
2023,,3.51
2023,Terre-Neuve-et-Labrador,3.45
2023,Île-du-Prince-Édouard,2.96
2023,Nouvelle-Écosse,2.83
2023,Nouveau-Brunswick,3.31
2023,Québec,3.46
2023,Ontario,2.6
2023,Manitoba,3.68
2023,Saskatchewan,6.55
2023,Alberta,6.06
2023,Colombie-Britannique,2.71
2023,Yukon,3.0
2023,Territoires du Nord-Ouest,3.37
2023,Nunavut,2.02
2024,,3.46
2024,Terre-Neuve-et-Labrador,3.39
2024,Île-du-Prince-Édouard,2.85
2024,Nouvelle-Écosse,2.75
2024,Nouveau-Brunswick,3.28
2024,Québec,3.4
2024,Ontario,2.53
2024,Manitoba,3.64
2024,Saskatchewan,6.42
2024,Alberta,6.05
2024,Colombie-Britannique,2.69
2024,Yukon,3.18
2024,Territoires du Nord-Ouest,3.37
2024,Nunavut,2.04
