Year,Units,Secteur,Value
2015,"Dollar américain, millions, prix constants de 2023",,0.576365
2016,"Dollar américain, millions, prix constants de 2023",,2.232448
2017,"Dollar américain, millions, prix constants de 2023",,139.29995
2018,"Dollar américain, millions, prix constants de 2023",,180.345843
2019,"Dollar américain, millions, prix constants de 2023",,88.26073
2020,"Dollar américain, millions, prix constants de 2023",,215.278144
2021,"Dollar américain, millions, prix constants de 2023",,286.894883
2022,"Dollar américain, millions, prix constants de 2023",,286.864369
2023,"Dollar américain, millions, prix constants de 2023",,285.590987
2015,"Dollar américain, millions, prix constants de 2023","Production d'énergie, sources renouvelables - multiples technologies",0.473141
2015,"Dollar américain, millions, prix constants de 2023",Centrales hydrauliques,0.103224
2016,"Dollar américain, millions, prix constants de 2023","Production d'énergie, sources renouvelables - multiples technologies",0.664828
2016,"Dollar américain, millions, prix constants de 2023",Recherche dans le domaine de l'énergie,0.090841
2016,"Dollar américain, millions, prix constants de 2023",Centrales hydrauliques,0.07769
2016,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux centralisés,1.399089
2017,"Dollar américain, millions, prix constants de 2023",Centrales à biocombustibles,27.025077
2017,"Dollar américain, millions, prix constants de 2023","Production d'énergie, sources renouvelables - multiples technologies",28.050669
2017,"Dollar américain, millions, prix constants de 2023",Recherche dans le domaine de l'énergie,0.024606
2017,"Dollar américain, millions, prix constants de 2023",Énergie géothermique,27.025077
2017,"Dollar américain, millions, prix constants de 2023",Centrales hydrauliques,0.000808
2017,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux centralisés,30.148636
2017,"Dollar américain, millions, prix constants de 2023",Énergie éolienne,27.025077
2018,"Dollar américain, millions, prix constants de 2023","Production d'énergie, sources renouvelables - multiples technologies",134.299448
2018,"Dollar américain, millions, prix constants de 2023",Recherche dans le domaine de l'énergie,0.044758
2018,"Dollar américain, millions, prix constants de 2023",Centrales hydrauliques,43.305559
2018,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux centralisés,2.696078
2019,"Dollar américain, millions, prix constants de 2023",Centrales à biocombustibles,5.319582
2019,"Dollar américain, millions, prix constants de 2023","Production d'énergie, sources renouvelables - multiples technologies",12.277468
2019,"Dollar américain, millions, prix constants de 2023",Énergie géothermique,3.635868
2019,"Dollar américain, millions, prix constants de 2023",Centrales hydrauliques,4.209288
2019,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux centralisés,46.554794
2019,"Dollar américain, millions, prix constants de 2023",Énergie éolienne,16.26373
2020,"Dollar américain, millions, prix constants de 2023",Centrales à biocombustibles,6.935444
2020,"Dollar américain, millions, prix constants de 2023","Production d'énergie, sources renouvelables - multiples technologies",150.667517
2020,"Dollar américain, millions, prix constants de 2023",Énergie géothermique,5.414563
2020,"Dollar américain, millions, prix constants de 2023",Centrales hydrauliques,2.895112
2020,"Dollar américain, millions, prix constants de 2023",Énergie solaire - usage thermique,0.002704
2020,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux centralisés,35.341988
2020,"Dollar américain, millions, prix constants de 2023",Énergie éolienne,14.020816
2021,"Dollar américain, millions, prix constants de 2023",Centrales à biocombustibles,21.05609
2021,"Dollar américain, millions, prix constants de 2023","Production d'énergie, sources renouvelables - multiples technologies",142.75772
2021,"Dollar américain, millions, prix constants de 2023",Énergie géothermique,19.912113
2021,"Dollar américain, millions, prix constants de 2023",Centrales hydrauliques,2.514023
2021,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux centralisés,65.12826
2021,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux isolés et systèmes autonomes,7.675641
2021,"Dollar américain, millions, prix constants de 2023",Énergie éolienne,27.851036
2022,"Dollar américain, millions, prix constants de 2023",Centrales à biocombustibles,0.108269
2022,"Dollar américain, millions, prix constants de 2023","Production d'énergie, sources renouvelables - multiples technologies",283.475647
2022,"Dollar américain, millions, prix constants de 2023",Recherche dans le domaine de l'énergie,0.18963
2022,"Dollar américain, millions, prix constants de 2023",Centrales hydrauliques,0.006326
2022,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux centralisés,3.084497
2023,"Dollar américain, millions, prix constants de 2023",Centrales à biocombustibles,0.183673
2023,"Dollar américain, millions, prix constants de 2023","Production d'énergie, sources renouvelables - multiples technologies",282.752587
2023,"Dollar américain, millions, prix constants de 2023",Recherche dans le domaine de l'énergie,0.124893
2023,"Dollar américain, millions, prix constants de 2023",Centrales hydrauliques,0.009719
2023,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux centralisés,1.644342
2023,"Dollar américain, millions, prix constants de 2023",Énergie solaire pour réseaux isolés et systèmes autonomes,0.875773
