Year,Status,Géographie,Sexe,Groupe d'âge,GeoCode,Value
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,15 à 19 ans,,7
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,15 à 19 ans,,7
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,15 à 19 ans,,6
2015,,,,,,11
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,15 à 24 ans,,11
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,15 à 24 ans,,9
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,18 à 24 ans,,13
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,18 à 24 ans,,14
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,18 à 24 ans,,11
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,20 à 24 ans,,14
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,20 à 24 ans,,15
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,20 à 24 ans,,12
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,15 à 19 ans,,2
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,15 à 19 ans,,3
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,15 à 19 ans,,2
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,15 à 24 ans,,5
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,15 à 24 ans,,6
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,15 à 24 ans,,3
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,18 à 24 ans,,6
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,18 à 24 ans,,8
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,18 à 24 ans,,4
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,20 à 24 ans,,7
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,20 à 24 ans,,9
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,20 à 24 ans,,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,15 à 19 ans,,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,15 à 19 ans,,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,15 à 19 ans,,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,15 à 24 ans,,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,15 à 24 ans,,5
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,15 à 24 ans,,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,18 à 24 ans,,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,18 à 24 ans,,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,18 à 24 ans,,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Les deux sexes,20 à 24 ans,,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Hommes,20 à 24 ans,,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Canada,Femmes,20 à 24 ans,,8
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,15 à 19 ans,10,8
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,15 à 19 ans,10,10
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,10,14
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,10,19
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,10,10
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,18 à 24 ans,10,19
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,18 à 24 ans,10,25
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Femmes,18 à 24 ans,10,13
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,20 à 24 ans,10,21
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,20 à 24 ans,10,26
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Femmes,20 à 24 ans,10,15
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,15 à 19 ans,10,3
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,15 à 19 ans,10,5
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,10,9
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,10,12
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,10,5
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,18 à 24 ans,10,12
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,18 à 24 ans,10,17
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Femmes,18 à 24 ans,10,7
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,20 à 24 ans,10,14
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,20 à 24 ans,10,19
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Femmes,20 à 24 ans,10,8
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,15 à 19 ans,10,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,15 à 19 ans,10,5
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,15 à 24 ans,10,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,10,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,10,5
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,18 à 24 ans,10,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,18 à 24 ans,10,8
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Femmes,18 à 24 ans,10,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Les deux sexes,20 à 24 ans,10,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Hommes,20 à 24 ans,10,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Terre-Neuve-et-Labrador,Femmes,20 à 24 ans,10,7
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,15 à 19 ans,11,7
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,15 à 24 ans,11,13
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Hommes,15 à 24 ans,11,15
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Femmes,15 à 24 ans,11,10
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,18 à 24 ans,11,17
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Hommes,18 à 24 ans,11,21
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Femmes,18 à 24 ans,11,12
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,20 à 24 ans,11,18
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Hommes,20 à 24 ans,11,23
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Femmes,20 à 24 ans,11,12
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,15 à 19 ans,11,4
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,15 à 24 ans,11,8
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Hommes,15 à 24 ans,11,12
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Femmes,15 à 24 ans,11,4
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,18 à 24 ans,11,11
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Hommes,18 à 24 ans,11,17
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Femmes,18 à 24 ans,11,5
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,20 à 24 ans,11,11
2015,"Chômeurs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Hommes,20 à 24 ans,11,18
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,15 à 19 ans,11,3
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,15 à 24 ans,11,5
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Hommes,15 à 24 ans,11,4
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Femmes,15 à 24 ans,11,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,18 à 24 ans,11,6
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Femmes,18 à 24 ans,11,7
2015,"Inactifs, Ni en emploi, ni aux études, ni en formation (NEET)",Île-du-Prince-Édouard,Les deux sexes,20 à 24 ans,11,7
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,15 à 19 ans,12,8
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,15 à 19 ans,12,11
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,15 à 19 ans,12,6
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,15 à 24 ans,12,11
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,15 à 24 ans,12,13
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,15 à 24 ans,12,10
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,18 à 24 ans,12,14
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,18 à 24 ans,12,15
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Femmes,18 à 24 ans,12,13
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Les deux sexes,20 à 24 ans,12,14
2015,"Sous-total, ni en emploi, ni aux études, ni en formation (NEET)",Nouvelle-Écosse,Hommes,20 à 24 ans,12,14
