Year,Type de flux,Value
2015,Engagements,871.391441
2015,Versements,418.732901
2016,Engagements,668.962271
2016,Versements,474.170973
2017,Engagements,223.79897
2017,Versements,556.448246
2018,Engagements,681.942372
2018,Versements,684.573792
2019,Engagements,547.949707
2019,Versements,437.344613
2020,Engagements,503.674191
2020,Versements,688.27523
2021,Engagements,623.432753
2021,Versements,825.036913
2022,Engagements,1194.635813
2022,Versements,701.483505
2023,Engagements,358.114048
2023,Versements,614.280465
