Year,Series,Units,Géographie,GeoCode,Value
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),,,11.49
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Terre-Neuve-et-Labrador,10,8.78
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Île-du-Prince-Édouard,11,11.67
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouvelle-Écosse,12,7.37
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouveau-Brunswick,13,8.4
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Québec,24,15.01
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Ontario,35,13.46
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Manitoba,46,11.52
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Saskatchewan,47,5.58
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Alberta,48,8.65
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Colombie-Britannique,59,7.49
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Yukon,60,0.67
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Territoires du Nord-Ouest,61,
2015,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nunavut,62,
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),,,11.2
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.29
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Île-du-Prince-Édouard,11,11.01
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouvelle-Écosse,12,8.35
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Nouveau-Brunswick,13,10.12
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Québec,24,14.86
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Ontario,35,12.96
2016,Valeur ajoutée dans l’industrie manufacturière en proportion du produit intérieur brut,Pourcentage (%),Manitoba,46,10.28
