Year,Series,Tranches d'effectif,Géographie,Industries,Âge de la personne principalement responsable de la prise de décision,Caractéristiques démographiques,Value
2020,"Taux de demande, marge de crédit",,,,,,7.3
2020,"Taux de demande, prêt à terme",,,,,,4.8
2020,"Taux général d’approbation, marge de crédit",,,,,,83.1
2020,"Taux général d’approbation, prêt à terme",,,,,,89.0
2020,"Taux de demande, marge de crédit",1 à 4 employés,,,,,5.3
2020,"Taux de demande, prêt à terme",1 à 4 employés,,,,,3.0
2020,"Taux général d’approbation, marge de crédit",1 à 4 employés,,,,,79.3
2020,"Taux général d’approbation, prêt à terme",1 à 4 employés,,,,,84.2
2020,"Taux de demande, marge de crédit",5 à 19 employés,,,,,8.4
2020,"Taux de demande, prêt à terme",5 à 19 employés,,,,,6.5
2020,"Taux général d’approbation, marge de crédit",5 à 19 employés,,,,,84.6
2020,"Taux général d’approbation, prêt à terme",5 à 19 employés,,,,,90.3
2020,"Taux de demande, marge de crédit",20 à 99 employés,,,,,13.6
2020,"Taux de demande, prêt à terme",20 à 99 employés,,,,,8.6
2020,"Taux général d’approbation, marge de crédit",20 à 99 employés,,,,,86.7
2020,"Taux général d’approbation, prêt à terme",20 à 99 employés,,,,,93.8
2020,"Taux de demande, marge de crédit",100 à 499 employés,,,,,11.7
2020,"Taux de demande, prêt à terme",100 à 499 employés,,,,,10.4
2020,"Taux général d’approbation, marge de crédit",100 à 499 employés,,,,,92.0
2020,"Taux général d’approbation, prêt à terme",100 à 499 employés,,,,,96.3
2020,"Taux de demande, marge de crédit",,Région de l'Atlantique,,,,7.4
2020,"Taux de demande, prêt à terme",,Région de l'Atlantique,,,,3.7
2020,"Taux général d’approbation, marge de crédit",,Région de l'Atlantique,,,,80.5
2020,"Taux général d’approbation, prêt à terme",,Région de l'Atlantique,,,,97.6
2020,"Taux de demande, marge de crédit",,Région de Québec,,,,7.7
2020,"Taux de demande, prêt à terme",,Région de Québec,,,,5.9
2020,"Taux général d’approbation, marge de crédit",,Région de Québec,,,,93.5
2020,"Taux général d’approbation, prêt à terme",,Région de Québec,,,,97.2
2020,"Taux de demande, marge de crédit",,Région de l'Ontario,,,,7.1
2020,"Taux de demande, prêt à terme",,Région de l'Ontario,,,,4.4
2020,"Taux général d’approbation, marge de crédit",,Région de l'Ontario,,,,83.6
2020,"Taux général d’approbation, prêt à terme",,Région de l'Ontario,,,,90.9
