Year,Value,Series,GeoCode
2021,45.7,Proportion de la population couverte par au moins une prestation de protection sociale en espèces,
2015,90.0,Proportion d'enfants couverts par des prestations de protection sociale,
2018,90.0,Proportion d'enfants couverts par des prestations de protection sociale,
2021,93.2,Proportion d'enfants couverts par des prestations de protection sociale,
2021,59.9,Proportion de personnes handicapées bénéficiant de prestations,
2015,85.07,Proportion de travailleurs couverts en cas d'accident du travail,
2016,84.38,Proportion de travailleurs couverts en cas d'accident du travail,
2017,84.4,Proportion de travailleurs couverts en cas d'accident du travail,
2018,84.67,Proportion de travailleurs couverts en cas d'accident du travail,
2019,84.52,Proportion de travailleurs couverts en cas d'accident du travail,
2020,83.33,Proportion de travailleurs couverts en cas d'accident du travail,
2021,83.62,Proportion de travailleurs couverts en cas d'accident du travail,
2022,83.42,Proportion de travailleurs couverts en cas d'accident du travail,
2017,93.4,Proportion de personnes plus âgées recevant une pension,
2018,93.0,Proportion de personnes plus âgées recevant une pension,
2021,92.7,Proportion de personnes plus âgées recevant une pension,
2021,52.1,Proportion de personnes vulnérables recevant des allocations,
2021,19.4,Proportion de la population pauvre recevant une prestation de l'aide sociale en espèces,
