Year,Value,Series,Progress
1970,0.0,Par groupe d'espèces,1.0
1971,1.45,Par groupe d'espèces,1.0145
1972,2.66,Par groupe d'espèces,1.0266
1973,3.52,Par groupe d'espèces,1.0352
1974,3.98,Par groupe d'espèces,1.0398
1975,4.53,Par groupe d'espèces,1.0453
1976,4.85,Par groupe d'espèces,1.0485
1977,5.03,Par groupe d'espèces,1.0503
1978,5.59,Par groupe d'espèces,1.0559
1979,6.34,Par groupe d'espèces,1.0634
1980,7.25,Par groupe d'espèces,1.0725
1981,8.03,Par groupe d'espèces,1.0803
1982,8.01,Par groupe d'espèces,1.0801
1983,8.11,Par groupe d'espèces,1.0811
1984,8.97,Par groupe d'espèces,1.0897
1985,9.7,Par groupe d'espèces,1.097
1986,10.02,Par groupe d'espèces,1.1002
1987,8.85,Par groupe d'espèces,1.0885
1988,8.06,Par groupe d'espèces,1.0806
1989,7.23,Par groupe d'espèces,1.0723
1990,6.96,Par groupe d'espèces,1.0696
1991,6.58,Par groupe d'espèces,1.0658
1992,6.3,Par groupe d'espèces,1.063
1993,6.5,Par groupe d'espèces,1.065
1994,7.07,Par groupe d'espèces,1.0707
1995,7.15,Par groupe d'espèces,1.0715
1996,6.95,Par groupe d'espèces,1.0695
1997,6.52,Par groupe d'espèces,1.0652
1998,5.27,Par groupe d'espèces,1.0527
1999,4.17,Par groupe d'espèces,1.0417
2000,3.31,Par groupe d'espèces,1.0331
2001,2.77,Par groupe d'espèces,1.0277
2002,2.07,Par groupe d'espèces,1.0207
2003,1.59,Par groupe d'espèces,1.0159
2004,1.07,Par groupe d'espèces,1.0107
2005,1.17,Par groupe d'espèces,1.0117
2006,1.32,Par groupe d'espèces,1.0132
2007,1.17,Par groupe d'espèces,1.0117
2008,0.43,Par groupe d'espèces,1.0043
2009,-0.14,Par groupe d'espèces,0.9986
2010,-0.76,Par groupe d'espèces,0.9924
2011,-1.28,Par groupe d'espèces,0.9872
2012,-2.59,Par groupe d'espèces,0.9741
2013,-4.32,Par groupe d'espèces,0.9568
2014,-5.86,Par groupe d'espèces,0.9414
2015,-6.61,Par groupe d'espèces,0.9339
2016,-6.44,Par groupe d'espèces,0.9356
2017,-7.48,Par groupe d'espèces,0.9252
2018,-7.43,Par groupe d'espèces,0.9257
1970,0.0,Par système,1.0
1971,1.45,Par système,1.0145
1972,2.66,Par système,1.0266
1973,3.52,Par système,1.0352
1974,3.98,Par système,1.0398
1975,4.53,Par système,1.0453
1976,4.85,Par système,1.0485
1977,5.03,Par système,1.0503
1978,5.59,Par système,1.0559
1979,6.34,Par système,1.0634
1980,7.25,Par système,1.0725
1981,8.03,Par système,1.0803
1982,8.01,Par système,1.0801
1983,8.11,Par système,1.0811
1984,8.97,Par système,1.0897
1985,9.7,Par système,1.097
1986,10.02,Par système,1.1002
1987,8.85,Par système,1.0885
1988,8.06,Par système,1.0806
1989,7.23,Par système,1.0723
1990,6.96,Par système,1.0696
1991,6.58,Par système,1.0658
1992,6.3,Par système,1.063
1993,6.5,Par système,1.065
1994,7.07,Par système,1.0707
1995,7.15,Par système,1.0715
1996,6.95,Par système,1.0695
1997,6.52,Par système,1.0652
1998,5.27,Par système,1.0527
1999,4.17,Par système,1.0417
2000,3.31,Par système,1.0331
2001,2.77,Par système,1.0277
2002,2.07,Par système,1.0207
2003,1.59,Par système,1.0159
2004,1.07,Par système,1.0107
2005,1.17,Par système,1.0117
2006,1.32,Par système,1.0132
2007,1.17,Par système,1.0117
2008,0.43,Par système,1.0043
2009,-0.14,Par système,0.9986
2010,-0.76,Par système,0.9924
2011,-1.28,Par système,0.9872
2012,-2.59,Par système,0.9741
2013,-4.32,Par système,0.9568
2014,-5.86,Par système,0.9414
2015,-6.61,Par système,0.9339
2016,-6.44,Par système,0.9356
2017,-7.48,Par système,0.9252
2018,-7.43,Par système,0.9257
