Year,Value,Units,Series
2015,0.5,Indice,Indice d’orientation agricole des dépenses publiques
2016,0.58,Indice,Indice d’orientation agricole des dépenses publiques
2017,0.52,Indice,Indice d’orientation agricole des dépenses publiques
2018,0.57,Indice,Indice d’orientation agricole des dépenses publiques
2019,0.63,Indice,Indice d’orientation agricole des dépenses publiques
2020,0.45,Indice,Indice d’orientation agricole des dépenses publiques
2021,0.83,Indice,Indice d’orientation agricole des dépenses publiques
2022,0.67,Indice,Indice d’orientation agricole des dépenses publiques
2023,0.71,Indice,Indice d’orientation agricole des dépenses publiques
2015,1.87,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2016,1.86,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2017,1.89,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2018,1.87,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2019,1.88,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2020,1.88,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2021,1.88,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2022,1.88,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2023,1.93,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2015,0.93,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2016,1.08,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2017,0.99,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2018,1.08,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2019,1.17,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2020,0.85,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2021,1.57,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2022,1.25,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2023,1.37,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
