Year,Value,Units
2015,3.5,Taux de mortalité pour 1 000 naissances vivantes
2016,3.4,Taux de mortalité pour 1 000 naissances vivantes
2017,3.5,Taux de mortalité pour 1 000 naissances vivantes
2018,3.6,Taux de mortalité pour 1 000 naissances vivantes
2019,3.4,Taux de mortalité pour 1 000 naissances vivantes
2020,3.5,Taux de mortalité pour 1 000 naissances vivantes
2021,3.4,Taux de mortalité pour 1 000 naissances vivantes
2022,3.6,Taux de mortalité pour 1 000 naissances vivantes
2023,3.4,Taux de mortalité pour 1 000 naissances vivantes
2015,1353.0,Nombre de décès
2016,1291.0,Nombre de décès
2017,1323.0,Nombre de décès
2018,1335.0,Nombre de décès
2019,1258.0,Nombre de décès
2020,1266.0,Nombre de décès
2021,1254.0,Nombre de décès
2022,1270.0,Nombre de décès
2023,1198.0,Nombre de décès
