Year,Value,Series,GeoCode
2015,85.8,Couverture vaccinale contre la rougeole à l'âge de 7 ans,11124
2017,87.0,Couverture vaccinale contre la rougeole à l'âge de 7 ans,11124
2019,83.3,Couverture vaccinale contre la rougeole à l'âge de 7 ans,11124
2021,79.2,Couverture vaccinale contre la rougeole à l'âge de 7 ans,11124
2015,80.3,Couverture vaccinale contre le pneumocoque à l'âge de 2 ans,11124
2017,81.4,Couverture vaccinale contre le pneumocoque à l'âge de 2 ans,11124
2019,84.4,Couverture vaccinale contre le pneumocoque à l'âge de 2 ans,11124
2021,85.1,Couverture vaccinale contre le pneumocoque à l'âge de 2 ans,11124
2019,80.2,Couverture vaccinale contre le virus du papillome humain (VPH) à l'âge de 14 ans,11124
2021,84.0,Couverture vaccinale contre le virus du papillome humain (VPH) à l'âge de 14 ans,11124
