Year,Value,Units,Series
2000,1196.74,Tonnes (million),Empreinte matérielle
2001,1101.55,Tonnes (million),Empreinte matérielle
2002,1097.2,Tonnes (million),Empreinte matérielle
2003,1203.02,Tonnes (million),Empreinte matérielle
2004,1315.71,Tonnes (million),Empreinte matérielle
2005,1107.7,Tonnes (million),Empreinte matérielle
2006,1149.26,Tonnes (million),Empreinte matérielle
2007,1115.39,Tonnes (million),Empreinte matérielle
2008,1081.33,Tonnes (million),Empreinte matérielle
2009,1028.52,Tonnes (million),Empreinte matérielle
2010,1178.79,Tonnes (million),Empreinte matérielle
2011,1271.44,Tonnes (million),Empreinte matérielle
2012,1216.29,Tonnes (million),Empreinte matérielle
2013,1235.32,Tonnes (million),Empreinte matérielle
2014,1206.28,Tonnes (million),Empreinte matérielle
2015,1240.12,Tonnes (million),Empreinte matérielle
2016,1290.24,Tonnes (million),Empreinte matérielle
2017,1340.02,Tonnes (million),Empreinte matérielle
2018,1328.66,Tonnes (million),Empreinte matérielle
2019,1311.23,Tonnes (million),Empreinte matérielle
2000,39.0,Tonnes par habitant,Empreinte matérielle par habitant
2001,35.51,Tonnes par habitant,Empreinte matérielle par habitant
2002,34.99,Tonnes par habitant,Empreinte matérielle par habitant
2003,38.02,Tonnes par habitant,Empreinte matérielle par habitant
2004,41.19,Tonnes par habitant,Empreinte matérielle par habitant
2005,34.36,Tonnes par habitant,Empreinte matérielle par habitant
2006,35.28,Tonnes par habitant,Empreinte matérielle par habitant
2007,33.91,Tonnes par habitant,Empreinte matérielle par habitant
2008,32.52,Tonnes par habitant,Empreinte matérielle par habitant
2009,30.58,Tonnes par habitant,Empreinte matérielle par habitant
2010,34.66,Tonnes par habitant,Empreinte matérielle par habitant
2011,37.03,Tonnes par habitant,Empreinte matérielle par habitant
2012,35.04,Tonnes par habitant,Empreinte matérielle par habitant
2013,35.21,Tonnes par habitant,Empreinte matérielle par habitant
2014,34.04,Tonnes par habitant,Empreinte matérielle par habitant
2015,34.73,Tonnes par habitant,Empreinte matérielle par habitant
2016,35.73,Tonnes par habitant,Empreinte matérielle par habitant
2017,36.67,Tonnes par habitant,Empreinte matérielle par habitant
2018,35.84,Tonnes par habitant,Empreinte matérielle par habitant
2019,34.86,Tonnes par habitant,Empreinte matérielle par habitant
2000,0.00078,Tonnes par dollar,Empreinte matérielle par PIB
2001,0.0007,Tonnes par dollar,Empreinte matérielle par PIB
2002,0.00068,Tonnes par dollar,Empreinte matérielle par PIB
2003,0.00073,Tonnes par dollar,Empreinte matérielle par PIB
2004,0.00078,Tonnes par dollar,Empreinte matérielle par PIB
2005,0.00063,Tonnes par dollar,Empreinte matérielle par PIB
2006,0.00064,Tonnes par dollar,Empreinte matérielle par PIB
2007,0.00061,Tonnes par dollar,Empreinte matérielle par PIB
2008,0.00059,Tonnes par dollar,Empreinte matérielle par PIB
2009,0.00057,Tonnes par dollar,Empreinte matérielle par PIB
2010,0.00064,Tonnes par dollar,Empreinte matérielle par PIB
2011,0.00067,Tonnes par dollar,Empreinte matérielle par PIB
2012,0.00063,Tonnes par dollar,Empreinte matérielle par PIB
2013,0.00062,Tonnes par dollar,Empreinte matérielle par PIB
2014,0.00059,Tonnes par dollar,Empreinte matérielle par PIB
2015,0.0006,Tonnes par dollar,Empreinte matérielle par PIB
2016,0.00062,Tonnes par dollar,Empreinte matérielle par PIB
2017,0.00063,Tonnes par dollar,Empreinte matérielle par PIB
2018,0.0006,Tonnes par dollar,Empreinte matérielle par PIB
2019,0.00059,Tonnes par dollar,Empreinte matérielle par PIB
