Year,Household income quintile,Household income decile,Geography,Series,GeoCode,Value
2010-2015,All quintiles,,Canada,Household expenditure per capita,,1.307
2010-2015,Lowest quintile,,Canada,Household expenditure per capita,,1.846
2010-2015,Second quintile,,Canada,Household expenditure per capita,,1.434
2010-2015,All quintiles,,Newfoundland and Labrador,Household expenditure per capita,10,3.696
2010-2015,Lowest quintile,,Newfoundland and Labrador,Household expenditure per capita,10,2.873
2010-2015,Second quintile,,Newfoundland and Labrador,Household expenditure per capita,10,2.754
2010-2015,All quintiles,,Prince Edward Island,Household expenditure per capita,11,1.686
2010-2015,Lowest quintile,,Prince Edward Island,Household expenditure per capita,11,0.403
2010-2015,Second quintile,,Prince Edward Island,Household expenditure per capita,11,1.013
2010-2015,All quintiles,,Nova Scotia,Household expenditure per capita,12,2.608
2010-2015,Lowest quintile,,Nova Scotia,Household expenditure per capita,12,2.301
2010-2015,Second quintile,,Nova Scotia,Household expenditure per capita,12,1.55
2010-2015,All quintiles,,New Brunswick,Household expenditure per capita,13,1.378
2010-2015,Lowest quintile,,New Brunswick,Household expenditure per capita,13,1.621
2010-2015,Second quintile,,New Brunswick,Household expenditure per capita,13,0.495
2010-2015,All quintiles,,Quebec,Household expenditure per capita,24,0.386
2010-2015,Lowest quintile,,Quebec,Household expenditure per capita,24,0.765
2010-2015,Second quintile,,Quebec,Household expenditure per capita,24,-0.186
2010-2015,All quintiles,,Ontario,Household expenditure per capita,35,1.424
2010-2015,Lowest quintile,,Ontario,Household expenditure per capita,35,4.778
2010-2015,Second quintile,,Ontario,Household expenditure per capita,35,2.092
2010-2015,All quintiles,,Manitoba,Household expenditure per capita,46,1.134
2010-2015,Lowest quintile,,Manitoba,Household expenditure per capita,46,-0.647
2010-2015,Second quintile,,Manitoba,Household expenditure per capita,46,2.809
2010-2015,All quintiles,,Saskatchewan,Household expenditure per capita,47,3.134
2010-2015,Lowest quintile,,Saskatchewan,Household expenditure per capita,47,3.609
2010-2015,Second quintile,,Saskatchewan,Household expenditure per capita,47,1.88
2010-2015,All quintiles,,Alberta,Household expenditure per capita,48,1.706
2010-2015,Lowest quintile,,Alberta,Household expenditure per capita,48,1.609
2010-2015,Second quintile,,Alberta,Household expenditure per capita,48,0.986
2010-2015,All quintiles,,British Columbia,Household expenditure per capita,59,0.757
2010-2015,Lowest quintile,,British Columbia,Household expenditure per capita,59,0.601
2010-2015,Second quintile,,British Columbia,Household expenditure per capita,59,-0.102
2011-2016,All quintiles,,Canada,Household expenditure per capita,,1.376
2011-2016,Lowest quintile,,Canada,Household expenditure per capita,,1.246
2011-2016,Second quintile,,Canada,Household expenditure per capita,,0.483
2011-2016,All quintiles,,Newfoundland and Labrador,Household expenditure per capita,10,2.744
2011-2016,Lowest quintile,,Newfoundland and Labrador,Household expenditure per capita,10,4.043
2011-2016,Second quintile,,Newfoundland and Labrador,Household expenditure per capita,10,1.415
2011-2016,All quintiles,,Prince Edward Island,Household expenditure per capita,11,1.556
2011-2016,Lowest quintile,,Prince Edward Island,Household expenditure per capita,11,-1.539
2011-2016,Second quintile,,Prince Edward Island,Household expenditure per capita,11,4.658
2011-2016,All quintiles,,Nova Scotia,Household expenditure per capita,12,1.672
2011-2016,Lowest quintile,,Nova Scotia,Household expenditure per capita,12,3.022
2011-2016,Second quintile,,Nova Scotia,Household expenditure per capita,12,2.392
2011-2016,All quintiles,,New Brunswick,Household expenditure per capita,13,0.791
2011-2016,Lowest quintile,,New Brunswick,Household expenditure per capita,13,-0.55
2011-2016,Second quintile,,New Brunswick,Household expenditure per capita,13,0.837
2011-2016,All quintiles,,Quebec,Household expenditure per capita,24,0.76
2011-2016,Lowest quintile,,Quebec,Household expenditure per capita,24,-0.175
2011-2016,Second quintile,,Quebec,Household expenditure per capita,24,0.632
2011-2016,All quintiles,,Ontario,Household expenditure per capita,35,2.008
2011-2016,Lowest quintile,,Ontario,Household expenditure per capita,35,2.427
2011-2016,Second quintile,,Ontario,Household expenditure per capita,35,2.207
2011-2016,All quintiles,,Manitoba,Household expenditure per capita,46,1.125
2011-2016,Lowest quintile,,Manitoba,Household expenditure per capita,46,0.954
2011-2016,Second quintile,,Manitoba,Household expenditure per capita,46,0.094
2011-2016,All quintiles,,Saskatchewan,Household expenditure per capita,47,2.877
2011-2016,Lowest quintile,,Saskatchewan,Household expenditure per capita,47,6.696
2011-2016,Second quintile,,Saskatchewan,Household expenditure per capita,47,2.955
2011-2016,All quintiles,,Alberta,Household expenditure per capita,48,0.408
2011-2016,Lowest quintile,,Alberta,Household expenditure per capita,48,-1.816
2011-2016,Second quintile,,Alberta,Household expenditure per capita,48,-0.993
2011-2016,All quintiles,,British Columbia,Household expenditure per capita,59,0.715
2011-2016,Lowest quintile,,British Columbia,Household expenditure per capita,59,-1.253
2011-2016,Second quintile,,British Columbia,Household expenditure per capita,59,-0.382
2012-2017,All quintiles,,Canada,Household expenditure per capita,,1.519
2012-2017,Lowest quintile,,Canada,Household expenditure per capita,,2.029
2012-2017,Second quintile,,Canada,Household expenditure per capita,,2.442
2012-2017,All quintiles,,Newfoundland and Labrador,Household expenditure per capita,10,1.529
2012-2017,Lowest quintile,,Newfoundland and Labrador,Household expenditure per capita,10,4.475
2012-2017,Second quintile,,Newfoundland and Labrador,Household expenditure per capita,10,2.789
2012-2017,All quintiles,,Prince Edward Island,Household expenditure per capita,11,0.087
2012-2017,Lowest quintile,,Prince Edward Island,Household expenditure per capita,11,5.237
2012-2017,Second quintile,,Prince Edward Island,Household expenditure per capita,11,0.342
2012-2017,All quintiles,,Nova Scotia,Household expenditure per capita,12,0.76
2012-2017,Lowest quintile,,Nova Scotia,Household expenditure per capita,12,0.641
2012-2017,Second quintile,,Nova Scotia,Household expenditure per capita,12,-1.549
2012-2017,All quintiles,,New Brunswick,Household expenditure per capita,13,0.879
2012-2017,Lowest quintile,,New Brunswick,Household expenditure per capita,13,-0.079
2012-2017,Second quintile,,New Brunswick,Household expenditure per capita,13,-0.279
2012-2017,All quintiles,,Quebec,Household expenditure per capita,24,1.624
2012-2017,Lowest quintile,,Quebec,Household expenditure per capita,24,2.856
2012-2017,Second quintile,,Quebec,Household expenditure per capita,24,1.72
2012-2017,All quintiles,,Ontario,Household expenditure per capita,35,1.896
2012-2017,Lowest quintile,,Ontario,Household expenditure per capita,35,2.173
2012-2017,Second quintile,,Ontario,Household expenditure per capita,35,3.265
2012-2017,All quintiles,,Manitoba,Household expenditure per capita,46,1.905
2012-2017,Lowest quintile,,Manitoba,Household expenditure per capita,46,1.962
