Year,Indicator,Value
2005,Ratio of regulatory capital to risk-weighted assets,11.2
2005,Ratio of non-performing loans net of provisions to capital,3.63
2005,Ratio of non-performing loans to total gross loans,0.5
2005,"Earnings and profitability, return on assets",0.99
2005,Ratio of liquid assets to short-term liabilities,33.75
2005,Ratio of regulatory capital to assets,4.51
2006,Ratio of regulatory capital to risk-weighted assets,11.57
2006,Ratio of non-performing loans net of provisions to capital,2.88
2006,Ratio of non-performing loans to total gross loans,0.42
2006,"Earnings and profitability, return on assets",1.23
2006,Ratio of liquid assets to short-term liabilities,34.42
2006,Ratio of regulatory capital to assets,4.58
2007,Ratio of regulatory capital to risk-weighted assets,10.79
2007,Ratio of non-performing loans net of provisions to capital,3.71
2007,Ratio of non-performing loans to total gross loans,0.43
2007,"Earnings and profitability, return on assets",1.06
2007,Ratio of liquid assets to short-term liabilities,30.34
2007,Ratio of regulatory capital to assets,4.22
2008,Ratio of regulatory capital to risk-weighted assets,9.75
2008,Ratio of non-performing loans net of provisions to capital,7.84
2008,Ratio of non-performing loans to total gross loans,0.76
2008,"Earnings and profitability, return on assets",0.53
2008,Ratio of liquid assets to short-term liabilities,40.7
2008,Ratio of regulatory capital to assets,4.04
2009,Ratio of regulatory capital to risk-weighted assets,12.06
2009,Ratio of non-performing loans net of provisions to capital,11.23
2009,Ratio of non-performing loans to total gross loans,1.27
2009,"Earnings and profitability, return on assets",0.69
2009,Ratio of liquid assets to short-term liabilities,54.41
2009,Ratio of regulatory capital to assets,4.75
2010,Ratio of regulatory capital to risk-weighted assets,13.1
2010,Ratio of non-performing loans net of provisions to capital,10.44
2010,Ratio of non-performing loans to total gross loans,1.19
2010,"Earnings and profitability, return on assets",1.03
2010,Ratio of liquid assets to short-term liabilities,51.12
2010,Ratio of regulatory capital to assets,4.76
2011,Ratio of regulatory capital to risk-weighted assets,13.34
2011,Ratio of non-performing loans net of provisions to capital,6.64
2011,Ratio of non-performing loans to total gross loans,0.84
2011,"Earnings and profitability, return on assets",1.18
2011,Ratio of liquid assets to short-term liabilities,54.1
2011,Ratio of regulatory capital to assets,4.87
2012,Ratio of regulatory capital to risk-weighted assets,13.42
2012,Ratio of non-performing loans net of provisions to capital,6.39
2012,Ratio of non-performing loans to total gross loans,0.65
2012,"Earnings and profitability, return on assets",1.08
2012,Ratio of liquid assets to short-term liabilities,51.76
2012,Ratio of regulatory capital to assets,4.62
2013,Ratio of regulatory capital to risk-weighted assets,11.68
2013,Ratio of non-performing loans net of provisions to capital,6.17
2013,Ratio of non-performing loans to total gross loans,0.57
2013,"Earnings and profitability, return on assets",1.09
2013,Ratio of liquid assets to short-term liabilities,47.82
2013,Ratio of regulatory capital to assets,4.3
2014,Ratio of regulatory capital to risk-weighted assets,11.93
2014,Ratio of non-performing loans net of provisions to capital,5.5
2014,Ratio of non-performing loans to total gross loans,0.52
2014,"Earnings and profitability, return on assets",1.1
2014,Ratio of liquid assets to short-term liabilities,50.48
2014,Ratio of regulatory capital to assets,4.47
2015,Ratio of regulatory capital to risk-weighted assets,12.1
2015,Ratio of non-performing loans net of provisions to capital,5.31
2015,Ratio of non-performing loans to total gross loans,0.52
2015,"Earnings and profitability, return on assets",1.01
2015,Ratio of liquid assets to short-term liabilities,45.36
2015,Ratio of regulatory capital to assets,4.55
2016,Ratio of regulatory capital to risk-weighted assets,12.47
2016,Ratio of non-performing loans net of provisions to capital,6.04
2016,Ratio of non-performing loans to total gross loans,0.6
2016,"Earnings and profitability, return on assets",1.0
2016,Ratio of liquid assets to short-term liabilities,54.66
2016,Ratio of regulatory capital to assets,4.63
2017,Ratio of regulatory capital to risk-weighted assets,12.83
2017,Ratio of non-performing loans net of provisions to capital,4.71
2017,Ratio of non-performing loans to total gross loans,0.45
2017,"Earnings and profitability, return on assets",1.11
2017,Ratio of liquid assets to short-term liabilities,49.46
2017,Ratio of regulatory capital to assets,4.78
2018,Ratio of regulatory capital to risk-weighted assets,13.2
2018,Ratio of non-performing loans net of provisions to capital,5.06
2018,Ratio of non-performing loans to total gross loans,0.5
2018,"Earnings and profitability, return on assets",1.15
2018,Ratio of liquid assets to short-term liabilities,48.58
2018,Ratio of regulatory capital to assets,4.77
2019,Ratio of regulatory capital to risk-weighted assets,13.2
2019,Ratio of non-performing loans net of provisions to capital,4.69
2019,Ratio of non-performing loans to total gross loans,0.5
2019,"Earnings and profitability, return on assets",1.06
2019,Ratio of liquid assets to short-term liabilities,44.12
2019,Ratio of regulatory capital to assets,4.69
2020,Ratio of regulatory capital to risk-weighted assets,13.92
2020,Ratio of non-performing loans net of provisions to capital,4.52
2020,Ratio of non-performing loans to total gross loans,0.53
2020,"Earnings and profitability, return on assets",0.78
2020,Ratio of liquid assets to short-term liabilities,78.05
2020,Ratio of regulatory capital to assets,4.54
2021,Ratio of regulatory capital to risk-weighted assets,15.08
2021,Ratio of non-performing loans net of provisions to capital,3.0
2021,Ratio of non-performing loans to total gross loans,0.38
2021,"Earnings and profitability, return on assets",1.12
2021,Ratio of liquid assets to short-term liabilities,79.6
2021,Ratio of regulatory capital to assets,4.75
2022,Ratio of regulatory capital to risk-weighted assets,15.34
2022,Ratio of non-performing loans net of provisions to capital,2.78
2022,Ratio of non-performing loans to total gross loans,0.33
2022,"Earnings and profitability, return on assets",1.18
2022,Ratio of liquid assets to short-term liabilities,58.54
2022,Ratio of regulatory capital to assets,4.8
2023,Ratio of regulatory capital to risk-weighted assets,15.2
2023,Ratio of non-performing loans net of provisions to capital,4.04
2023,Ratio of non-performing loans to total gross loans,0.45
2023,"Earnings and profitability, return on assets",0.79
2023,Ratio of liquid assets to short-term liabilities,49.63
2023,Ratio of regulatory capital to assets,4.72
