Year,Policy domain,Value
2021,,3
2021,Domain 1. Migrant rights,3
2021,Domain 2. Whole-of-government/evidence-based policies,4
2021,Domain 3. Cooperation and partnerships,4
2021,Domain 4. Socioeconomic well-being,4
2021,Domain 5. Mobility dimensions of crises,4
2021,"Domain 6. Safe, orderly and regular migration",4
2019,,3
2019,Domain 1. Migrant rights,3
2019,Domain 2. Whole-of-government/evidence-based policies,4
2019,Domain 3. Cooperation and partnerships,4
2019,Domain 4. Socioeconomic well-being,4
2019,Domain 5. Mobility dimensions of crises,4
2019,"Domain 6. Safe, orderly and regular migration",4
