Year,Distance-capacity public transit service area,Geography,Location,Gender,Demographic and socio-economic,GeoCode,Value
2023,500 metres from all public transit stops,Canada,"Total, location","Total, gender",Total - Age groups of the population - 100% data,11124,75.2
2023,500 metres from all public transit stops,Canada,"Total, location","Total, gender",0 to 14 years,11124,72.9
2023,500 metres from all public transit stops,Canada,"Total, location","Total, gender",15 to 64 years,11124,75.8
2023,500 metres from all public transit stops,Canada,"Total, location","Total, gender",15 to 19 years,11124,73.2
2023,500 metres from all public transit stops,Canada,"Total, location","Total, gender",20 to 24 years,11124,79.0
2023,500 metres from all public transit stops,Canada,"Total, location","Total, gender",65 years and over,11124,74.9
2023,500 metres from all public transit stops,Canada,"Total, location",Men+,Total - Age groups of the population - 100% data,11124,74.8
2023,500 metres from all public transit stops,Canada,"Total, location",Men+,0 to 14 years,11124,72.9
2023,500 metres from all public transit stops,Canada,"Total, location",Men+,15 to 64 years,11124,75.7
2023,500 metres from all public transit stops,Canada,"Total, location",Men+,15 to 19 years,11124,73.1
2023,500 metres from all public transit stops,Canada,"Total, location",Men+,20 to 24 years,11124,78.6
2023,500 metres from all public transit stops,Canada,"Total, location",Men+,65 years and over,11124,73.0
2023,500 metres from all public transit stops,Canada,"Total, location",Women+,Total - Age groups of the population - 100% data,11124,75.6
2023,500 metres from all public transit stops,Canada,"Total, location",Women+,0 to 14 years,11124,73.0
2023,500 metres from all public transit stops,Canada,"Total, location",Women+,15 to 64 years,11124,76.0
2023,500 metres from all public transit stops,Canada,"Total, location",Women+,15 to 19 years,11124,73.3
2023,500 metres from all public transit stops,Canada,"Total, location",Women+,20 to 24 years,11124,79.5
2023,500 metres from all public transit stops,Canada,"Total, location",Women+,65 years and over,11124,76.6
2023,500 metres from all public transit stops,Canada,Urban,"Total, gender",Total - Age groups of the population - 100% data,11124,81.8
2023,500 metres from all public transit stops,Canada,Urban,"Total, gender",0 to 14 years,11124,79.3
2023,500 metres from all public transit stops,Canada,Urban,"Total, gender",15 to 64 years,11124,82.2
2023,500 metres from all public transit stops,Canada,Urban,"Total, gender",15 to 19 years,11124,79.5
2023,500 metres from all public transit stops,Canada,Urban,"Total, gender",20 to 24 years,11124,84.1
2023,500 metres from all public transit stops,Canada,Urban,"Total, gender",65 years and over,11124,82.4
2023,500 metres from all public transit stops,Canada,Urban,Men+,Total - Age groups of the population - 100% data,11124,81.6
2023,500 metres from all public transit stops,Canada,Urban,Men+,0 to 14 years,11124,79.3
2023,500 metres from all public transit stops,Canada,Urban,Men+,15 to 64 years,11124,82.3
2023,500 metres from all public transit stops,Canada,Urban,Men+,15 to 19 years,11124,79.5
2023,500 metres from all public transit stops,Canada,Urban,Men+,20 to 24 years,11124,83.8
2023,500 metres from all public transit stops,Canada,Urban,Men+,65 years and over,11124,81.4
2023,500 metres from all public transit stops,Canada,Urban,Women+,Total - Age groups of the population - 100% data,11124,82.0
2023,500 metres from all public transit stops,Canada,Urban,Women+,0 to 14 years,11124,79.4
2023,500 metres from all public transit stops,Canada,Urban,Women+,15 to 64 years,11124,82.2
2023,500 metres from all public transit stops,Canada,Urban,Women+,15 to 19 years,11124,79.6
2023,500 metres from all public transit stops,Canada,Urban,Women+,20 to 24 years,11124,84.4
2023,500 metres from all public transit stops,Canada,Urban,Women+,65 years and over,11124,83.3
2023,500 metres from all public transit stops,Canada,Rural,"Total, gender",Total - Age groups of the population - 100% data,11124,10.4
2023,500 metres from all public transit stops,Canada,Rural,"Total, gender",0 to 14 years,11124,10.0
2023,500 metres from all public transit stops,Canada,Rural,"Total, gender",15 to 64 years,11124,10.3
2023,500 metres from all public transit stops,Canada,Rural,"Total, gender",15 to 19 years,11124,9.9
2023,500 metres from all public transit stops,Canada,Rural,"Total, gender",20 to 24 years,11124,10.7
2023,500 metres from all public transit stops,Canada,Rural,"Total, gender",65 years and over,11124,11.2
2023,500 metres from all public transit stops,Canada,Rural,Men+,Total - Age groups of the population - 100% data,11124,10.2
2023,500 metres from all public transit stops,Canada,Rural,Men+,0 to 14 years,11124,10.0
2023,500 metres from all public transit stops,Canada,Rural,Men+,15 to 64 years,11124,10.2
2023,500 metres from all public transit stops,Canada,Rural,Men+,15 to 19 years,11124,9.8
2023,500 metres from all public transit stops,Canada,Rural,Men+,20 to 24 years,11124,10.6
2023,500 metres from all public transit stops,Canada,Rural,Men+,65 years and over,11124,10.5
2023,500 metres from all public transit stops,Canada,Rural,Women+,Total - Age groups of the population - 100% data,11124,10.7
2023,500 metres from all public transit stops,Canada,Rural,Women+,0 to 14 years,11124,10.0
2023,500 metres from all public transit stops,Canada,Rural,Women+,15 to 64 years,11124,10.4
2023,500 metres from all public transit stops,Canada,Rural,Women+,15 to 19 years,11124,10.1
2023,500 metres from all public transit stops,Canada,Rural,Women+,20 to 24 years,11124,10.8
2023,500 metres from all public transit stops,Canada,Rural,Women+,65 years and over,11124,11.9
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location","Total, gender",Total - Age groups of the population - 100% data,11124,75.2
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location","Total, gender",0 to 14 years,11124,72.9
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location","Total, gender",15 to 64 years,11124,75.8
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location","Total, gender",15 to 19 years,11124,73.2
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location","Total, gender",20 to 24 years,11124,79.0
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location","Total, gender",65 years and over,11124,74.9
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,Total - Age groups of the population - 100% data,11124,74.8
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,0 to 14 years,11124,72.9
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,15 to 64 years,11124,75.7
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,15 to 19 years,11124,73.1
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,20 to 24 years,11124,78.6
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Men+,65 years and over,11124,72.9
2023,500 metres from low-capacity public transit stops only,Canada,"Total, location",Women+,Total - Age groups of the population - 100% data,11124,75.6
