Year,Source,Geography,GeoCode,Value
1990,,,,606.392
1991,,,,601.582
1992,,,,619.374
1993,,,,624.159
1994,,,,646.09
1995,,,,664.741
1996,,,,685.815
1997,,,,701.481
1998,,,,708.025
1999,,,,718.311
2000,,,,746.119
2001,,,,738.771
2002,,,,745.74
2003,,,,763.671
2004,,,,763.555
2005,,,,758.718
2006,,,,754.852
2007,,,,774.342
2008,,,,757.77
2009,,,,714.218
2010,,,,728.027
2011,,,,737.732
2012,,,,741.163
2013,,,,750.044
2014,,,,747.495
2015,,,,742.044
2016,,,,724.909
2017,,,,737.607
2018,,,,747.052
2019,,,,747.308
2020,,,,682.283
2021,,,,693.574
2022,,,,699.899
2023,,,,693.912
1990,Provincial Inventory Total,Alberta,48,176.622
1990,Oil and Gas,Alberta,48,72.578
1990,Transport,Alberta,48,15.292
1990,Heavy Industry,Alberta,48,12.825
1990,Buildings,Alberta,48,12.193
1990,Agriculture,Alberta,48,14.68
1990,Waste,Alberta,48,2.145
1990,"Light Manufacturing, Construction and Forest Resources",Alberta,48,6.276
1990,Provincial Inventory Total,British Columbia,59,51.167
1990,Oil and Gas,British Columbia,59,8.343
1990,Transport,British Columbia,59,15.186
1990,Heavy Industry,British Columbia,59,8.895
1990,Buildings,British Columbia,59,7.55
1990,Agriculture,British Columbia,59,2.488
1990,Waste,British Columbia,59,2.684
1990,"Light Manufacturing, Construction and Forest Resources",British Columbia,59,3.327
1990,Oil and Gas,Canada,,117.326
1990,Transport,Canada,,117.878
1990,Heavy Industry,Canada,,97.055
1990,Buildings,Canada,,71.564
1990,Agriculture,Canada,,50.732
1990,Waste,Canada,,21.386
1990,"Light Manufacturing, Construction and Forest Resources",Canada,,31.464
1990,Provincial Inventory Total,Manitoba,46,18.312
1990,Oil and Gas,Manitoba,46,1.562
1990,Transport,Manitoba,46,4.966
1990,Heavy Industry,Manitoba,46,1.45
1990,Buildings,Manitoba,46,3.109
1990,Agriculture,Manitoba,46,5.046
1990,Waste,Manitoba,46,0.883
1990,"Light Manufacturing, Construction and Forest Resources",Manitoba,46,0.772
1990,Provincial Inventory Total,New Brunswick,13,16.118
1990,Oil and Gas,New Brunswick,13,1.218
1990,Transport,New Brunswick,13,3.498
1990,Heavy Industry,New Brunswick,13,1.817
1990,Buildings,New Brunswick,13,1.63
1990,Agriculture,New Brunswick,13,0.518
1990,Waste,New Brunswick,13,0.782
1990,"Light Manufacturing, Construction and Forest Resources",New Brunswick,13,0.632
1990,Provincial Inventory Total,Newfoundland and Labrador,10,9.48
1990,Oil and Gas,Newfoundland and Labrador,10,1.073
1990,Transport,Newfoundland and Labrador,10,2.713
1990,Heavy Industry,Newfoundland and Labrador,10,1.935
