Year,Series,Elements,Data categories,Pillar,Value
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Population and vital statistics,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education facilities,,50.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education outcomes,,50.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health facilities,,50.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health outcomes,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Reproductive health,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Gender statistics,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Poverty and income,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Social statistics subscore,,81.3
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,National accounts,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Labor,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Price indexes,,50.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Government finance,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Money and banking,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,International trade,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Balance of payments,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Economic and financial statistics subscore,,92.9
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Agriculture and land use,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Resource use,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Energy use,,100.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Pollution,,50.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Built environment,,50.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Environment subscore,,80.0
2016,Open Data Inventory (ODIN),Indicator coverage and disaggregation,All categories,,84.7
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Population and vital statistics,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education facilities,,50.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Education outcomes,,50.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health facilities,,100.0
2017,Open Data Inventory (ODIN),Indicator coverage and disaggregation,Health outcomes,,100.0
