Year,Series,Units,Geography,Population centres,GeoCode,Value
2016,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),,,,84.3
2017,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),,,,84.1
2018,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),,,,85.5
2019,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),,,,87.4
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),,,,89.7
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),,,,91.4
2022,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),,,,93.1
2016,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves,,27.3
2017,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves,,27.7
2018,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves,,31.3
2019,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves,,34.8
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves,,39.1
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves,,43.3
2022,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves,,50.1
2016,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Urban centres,,73.0
2017,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Urban centres,,73.0
2018,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Urban centres,,75.6
2019,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Urban centres,,80.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Urban centres,,84.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Urban centres,,81.8
2022,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Urban centres,,81.7
2016,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Rural areas,,14.2
2017,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Rural areas,,14.8
2018,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Rural areas,,18.7
2019,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Rural areas,,21.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Rural areas,,26.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Rural areas,,32.3
2022,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,First Nations reserves Rural areas,,37.8
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,First Nations reserves Urban centres,13,100.0
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,First Nations reserves Urban centres,59,99.48
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,First Nations reserves Urban centres,24,80.53
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,First Nations reserves Urban centres,12,75.49
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,First Nations reserves Urban centres,47,6.56
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,First Nations reserves Urban centres,35,43.66
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,First Nations reserves Urban centres,46,0.41
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,First Nations reserves Urban centres,13,100.0
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,First Nations reserves Urban centres,59,98.79
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,First Nations reserves Urban centres,24,84.75
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,First Nations reserves Urban centres,12,48.33
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,First Nations reserves Urban centres,47,6.56
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,First Nations reserves Urban centres,35,5.78
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,First Nations reserves Urban centres,46,0.0
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Prince Edward Island,First Nations reserves Rural areas,11,50.38
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,First Nations reserves Rural areas,13,96.52
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Northwest Territories,First Nations reserves Rural areas,61,74.89
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,First Nations reserves Rural areas,24,52.44
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,First Nations reserves Rural areas,59,46.1
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,First Nations reserves Rural areas,12,62.95
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,First Nations reserves Rural areas,35,26.89
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Alberta,First Nations reserves Rural areas,48,17.13
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,First Nations reserves Rural areas,10,0.0
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,First Nations reserves Rural areas,46,4.46
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,First Nations reserves Rural areas,47,3.82
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Yukon,First Nations reserves Rural areas,60,0.0
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Prince Edward Island,First Nations reserves Rural areas,11,97.61
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,First Nations reserves Rural areas,13,94.45
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Northwest Territories,First Nations reserves Rural areas,61,74.89
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,First Nations reserves Rural areas,24,50.45
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,First Nations reserves Rural areas,59,48.15
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,First Nations reserves Rural areas,12,42.77
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,First Nations reserves Rural areas,35,35.13
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Alberta,First Nations reserves Rural areas,48,26.91
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,First Nations reserves Rural areas,10,25.92
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,First Nations reserves Rural areas,46,15.3
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,First Nations reserves Rural areas,47,10.36
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Yukon,First Nations reserves Rural areas,60,0.0
2016,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,96.4
2017,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,96.6
2018,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,97.4
2019,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,98.6
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,99.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Urban centres,,99.2
2016,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,38.9
2017,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,37.2
2018,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,40.7
2019,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,45.6
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,54.4
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Canada,Rural areas,,62.0
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,Urban centres,10,97.9
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Prince Edward Island,Urban centres,11,100.0
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,Urban centres,12,99.4
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,Urban centres,13,99.9
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,Urban centres,24,99.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,Urban centres,35,99.2
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,Urban centres,46,98.5
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,Urban centres,47,98.3
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Alberta,Urban centres,48,98.5
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,Urban centres,59,99.5
