Year,Sex,Value
2010,,4.66
2011,,4.72
2012,,4.9
2013,,4.71
2014,,4.56
2015,,4.6
2016,,4.88
2017,,5.01
2018,,4.85
2019,,5.11
2020,,4.65
2021,,4.94
2022,,5.1
2023,,5.53
2010,Female,4.2
2011,Female,4.27
2012,Female,4.03
2013,Female,4.23
2014,Female,3.95
2015,Female,4.3
2016,Female,4.44
2017,Female,4.41
2018,Female,4.46
2019,Female,4.48
2020,Female,4.18
2021,Female,4.44
2022,Female,4.37
2023,Female,4.94
2010,Male,5.13
2011,Male,5.18
2012,Male,5.78
2013,Male,5.19
2014,Male,5.17
2015,Male,4.91
2016,Male,5.33
2017,Male,5.62
2018,Male,5.24
2019,Male,5.73
2020,Male,5.12
2021,Male,5.41
2022,Male,5.83
2023,Male,6.05
