Year,Marital status,Value
2000,,90.7
2001,,90.8
2002,,90.9
2003,,91.2
2004,,91.5
2005,,91.8
2006,,92.1
2007,,92.1
2008,,92.2
2009,,92.2
2010,,92.3
2011,,92.3
2012,,92.3
2013,,92.3
2014,,92.4
2015,,92.3
2016,,92.4
2017,,92.4
2018,,92.4
2019,,92.4
2020,,92.4
2021,,92.4
2022,,92.4
2023,,92.4
2024,,92.4
2000,Married or in a union,89.8
2001,Married or in a union,89.9
2002,Married or in a union,90.1
2003,Married or in a union,90.5
2004,Married or in a union,91.0
2005,Married or in a union,91.5
2006,Married or in a union,91.9
2007,Married or in a union,92.1
2008,Married or in a union,92.2
2009,Married or in a union,92.2
2010,Married or in a union,92.3
2011,Married or in a union,92.3
2012,Married or in a union,92.3
2013,Married or in a union,92.4
2014,Married or in a union,92.4
2015,Married or in a union,92.4
2016,Married or in a union,92.4
2017,Married or in a union,92.4
2018,Married or in a union,92.4
2019,Married or in a union,92.4
2020,Married or in a union,92.4
2021,Married or in a union,92.4
2022,Married or in a union,92.4
2023,Married or in a union,92.4
2024,Married or in a union,92.4
2000,Unmarried,92.2
2001,Unmarried,92.2
2002,Unmarried,92.2
2003,Unmarried,92.3
2004,Unmarried,92.2
2005,Unmarried,92.3
2006,Unmarried,92.4
2007,Unmarried,92.2
2008,Unmarried,92.2
2009,Unmarried,92.2
2010,Unmarried,92.3
2011,Unmarried,92.4
2012,Unmarried,92.3
2013,Unmarried,92.3
2014,Unmarried,92.4
2015,Unmarried,92.3
2016,Unmarried,92.5
2017,Unmarried,92.4
2018,Unmarried,92.4
2019,Unmarried,92.3
2020,Unmarried,92.3
2021,Unmarried,92.4
2022,Unmarried,92.6
2023,Unmarried,92.4
2024,Unmarried,92.4
