Year,Place of residence of mother,Value
2015,,9.5
2016,,8.5
2017,,7.8
2018,,6.7
2019,,6.2
2020,,5.7
2021,,5.1
2022,,4.4
2023,,4.1
2015,Newfoundland and Labrador,11.2
2015,Prince Edward Island,10.2
2015,Nova Scotia,12.9
2015,New Brunswick,15.2
2015,Quebec,7.2
2015,Ontario,7.2
2015,Manitoba,22.0
2015,Saskatchewan,25.1
2015,Alberta,12.8
2015,British Columbia,6.2
2015,Yukon,10.0
2015,Northwest Territories,32.1
2015,Nunavut,107.0
2016,Newfoundland and Labrador,12.7
2016,Prince Edward Island,8.0
2016,Nova Scotia,11.4
2016,New Brunswick,12.1
2016,Quebec,6.6
2016,Ontario,6.3
2016,Manitoba,20.6
2016,Saskatchewan,23.7
2016,Alberta,11.0
2016,British Columbia,5.3
2016,Yukon,7.0
2016,Northwest Territories,24.6
2016,Nunavut,105.9
2017,Newfoundland and Labrador,11.1
2017,Prince Edward Island,8.9
2017,Nova Scotia,11.3
2017,New Brunswick,12.5
2017,Quebec,6.2
2017,Ontario,5.8
2017,Manitoba,18.6
2017,Saskatchewan,20.8
2017,Alberta,9.9
2017,British Columbia,4.7
2017,Northwest Territories,32.6
2017,Nunavut,98.4
2018,Newfoundland and Labrador,10.0
2018,Prince Edward Island,6.8
2018,Nova Scotia,8.4
2018,New Brunswick,10.7
2018,Quebec,5.6
2018,Ontario,4.8
2018,Manitoba,17.6
2018,Saskatchewan,19.9
2018,Alberta,8.2
2018,British Columbia,3.7
2018,Northwest Territories,29.0
2018,Nunavut,101.2
2019,Newfoundland and Labrador,8.6
2019,Prince Edward Island,6.2
2019,Nova Scotia,9.3
2019,New Brunswick,10.0
2019,Quebec,5.5
2019,Ontario,4.4
2019,Manitoba,16.0
2019,Saskatchewan,18.2
2019,Alberta,6.9
2019,British Columbia,3.7
2019,Northwest Territories,23.7
2019,Nunavut,96.1
2020,Newfoundland and Labrador,6.6
2020,Prince Edward Island,5.9
2020,Nova Scotia,7.4
2020,New Brunswick,8.6
2020,Quebec,5.2
2020,Ontario,3.9
2020,Manitoba,15.2
2020,Saskatchewan,16.7
2020,Alberta,6.6
2020,British Columbia,3.5
2020,Northwest Territories,18.5
2020,Nunavut,104.8
2021,Newfoundland and Labrador,7.1
2021,Prince Edward Island,4.4
2021,Nova Scotia,5.9
2021,New Brunswick,7.9
2021,Quebec,4.7
2021,Ontario,3.3
2021,Manitoba,12.1
2021,Saskatchewan,16.6
2021,Alberta,5.9
2021,British Columbia,3.0
2021,Northwest Territories,13.0
2021,Nunavut,78.5
2022,Newfoundland and Labrador,5.7
2022,Prince Edward Island,4.9
2022,Nova Scotia,5.9
2022,New Brunswick,7.2
2022,Quebec,4.2
2022,Ontario,3.0
2022,Manitoba,9.4
2022,Saskatchewan,15.0
2022,Alberta,5.2
2022,British Columbia,2.7
2022,Northwest Territories,13.4
2022,Nunavut,66.1
2023,Newfoundland and Labrador,5.4
2023,Prince Edward Island,3.9
2023,Nova Scotia,3.9
2023,New Brunswick,6.4
2023,Quebec,3.7
2023,Ontario,2.8
2023,Manitoba,11.6
2023,Saskatchewan,13.3
2023,Alberta,4.7
2023,British Columbia,2.2
2023,Yukon,5.4
2023,Northwest Territories,11.1
2023,Nunavut,72.7
