Year,Type of disease,Value
2015,,25.51
2016,,20.89
2017,,23.86
2018,,26.72
2019,,21.46
2020,,18.86
2021,,13.32
2022,,18.83
2023,,19.27
2024,,22.07
2015,Acute respiratory infections,21.91
2016,Acute respiratory infections,17.78
2017,Acute respiratory infections,20.83
2018,Acute respiratory infections,23.76
2019,Acute respiratory infections,18.81
2020,Acute respiratory infections,16.19
2021,Acute respiratory infections,10.96
2022,Acute respiratory infections,16.04
2023,Acute respiratory infections,16.22
2024,Acute respiratory infections,18.85
2015,Diarrhea,3.06
2016,Diarrhea,2.65
2017,Diarrhea,2.48
2018,Diarrhea,2.38
2019,Diarrhea,2.15
2020,Diarrhea,2.07
2021,Diarrhea,1.72
2022,Diarrhea,2.03
2023,Diarrhea,2.41
2024,Diarrhea,2.5
2015,Intestinal nematode infections,0.0
2016,Intestinal nematode infections,0.0
2017,Intestinal nematode infections,0.0
2018,Intestinal nematode infections,0.0
2019,Intestinal nematode infections,0.0
2020,Intestinal nematode infections,0.0
2021,Intestinal nematode infections,0.0
2022,Intestinal nematode infections,0.0
2023,Intestinal nematode infections,0.0
2024,Intestinal nematode infections,0.0
2015,Protein-energy malnutrition,0.55
2016,Protein-energy malnutrition,0.46
2017,Protein-energy malnutrition,0.54
2018,Protein-energy malnutrition,0.58
2019,Protein-energy malnutrition,0.51
2020,Protein-energy malnutrition,0.61
2021,Protein-energy malnutrition,0.63
2022,Protein-energy malnutrition,0.77
2023,Protein-energy malnutrition,0.64
2024,Protein-energy malnutrition,0.72
