Year,Type of occupation,Geography,Series,Units,Sex,GeoCode,Value
2021,Medical doctors,Canada,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,,19.42867788
2021,Medical doctors,Newfoundland and Labrador,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,10,0.244509238
2021,Medical doctors,Prince Edward Island,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,11,0.064069266
2021,Medical doctors,Nova Scotia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,12,0.503401372
2021,Medical doctors,New Brunswick,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,13,0.356957336
2021,Medical doctors,Quebec,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,24,4.88887722
2021,Medical doctors,Ontario,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,35,7.34312235
2021,Medical doctors,Manitoba,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,46,0.600159038
2021,Medical doctors,Saskatchewan,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,47,0.502093836
2021,Medical doctors,Alberta,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,48,2.197968068
2021,Medical doctors,British Columbia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,59,2.693524224
2021,Medical doctors,Yukon,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,60,0.01307536
2021,Medical doctors,Northwest Territories,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,61,0.01307536
2021,Medical doctors,Nunavut,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,62,0.003922608
2021,Nursing and midwifery personnel,Canada,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,,93.11356337
2021,Nursing and midwifery personnel,Newfoundland and Labrador,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,10,1.640957719
2021,Nursing and midwifery personnel,Prince Edward Island,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,11,0.489018476
2021,Nursing and midwifery personnel,Nova Scotia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,12,3.032176056
2021,Nursing and midwifery personnel,New Brunswick,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,13,2.230656469
2021,Nursing and midwifery personnel,Quebec,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,24,20.02229924
2021,Nursing and midwifery personnel,Ontario,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,35,33.67166787
2021,Nursing and midwifery personnel,Manitoba,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,46,3.870306652
2021,Nursing and midwifery personnel,Saskatchewan,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,47,3.500273955
2021,Nursing and midwifery personnel,Alberta,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,48,11.69852487
2021,Nursing and midwifery personnel,British Columbia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,59,12.68571457
2021,Nursing and midwifery personnel,Yukon,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,60,0.109833027
2021,Nursing and midwifery personnel,Northwest Territories,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,61,0.116370707
2021,Nursing and midwifery personnel,Nunavut,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,62,0.041841153
2021,Dentists,Canada,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,,6.42392452
2021,Dentists,Newfoundland and Labrador,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,10,0.06929941
2021,Dentists,Prince Edward Island,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,11,0.015690432
2021,Dentists,Nova Scotia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,12,0.155596788
2021,Dentists,New Brunswick,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,13,0.087604914
2021,Dentists,Quebec,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,24,1.24869691
2021,Dentists,Ontario,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,35,2.757593489
2021,Dentists,Manitoba,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,46,0.169979684
2021,Dentists,Saskatchewan,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,47,0.139906355
2021,Dentists,Alberta,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,48,0.740065394
2021,Dentists,British Columbia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,59,1.02772332
2021,Dentists,Yukon,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,60,0.00653768
2021,Dentists,Northwest Territories,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,61,0.003922608
2021,Dentists,Nunavut,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,62,0.0
2021,Pharmacists,Canada,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,,11.73121327
2021,Pharmacists,Newfoundland and Labrador,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,10,0.179132436
2021,Pharmacists,Prince Edward Island,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,11,0.047071297
2021,Pharmacists,Nova Scotia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,12,0.325576472
2021,Pharmacists,New Brunswick,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,13,0.278505175
2021,Pharmacists,Quebec,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,24,2.588921341
2021,Pharmacists,Ontario,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,35,4.253414709
2021,Pharmacists,Manitoba,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,46,0.440639642
2021,Pharmacists,Saskatchewan,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,47,0.432794426
2021,Pharmacists,Alberta,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,48,1.512819188
2021,Pharmacists,British Columbia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,59,1.647495399
2021,Pharmacists,Yukon,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,60,0.01307536
2021,Pharmacists,Northwest Territories,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,61,0.009152752
2021,Pharmacists,Nunavut,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",,62,0.002615072
2021,Medical doctors,Canada,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,,52.60111717
2021,Medical doctors,Newfoundland and Labrador,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,10,51.87165775
2021,Medical doctors,Prince Edward Island,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,11,53.06122449
2021,Medical doctors,Nova Scotia,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,12,55.84415584
2021,Medical doctors,New Brunswick,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,13,50.91575092
2021,Medical doctors,Quebec,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,24,45.94811447
2021,Medical doctors,Ontario,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,35,54.04202279
2021,Medical doctors,Manitoba,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,46,58.82352941
2021,Medical doctors,Saskatchewan,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,47,57.8125
2021,Medical doctors,Alberta,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,48,53.53955979
2021,Medical doctors,British Columbia,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,59,57.57281553
2021,Medical doctors,Yukon,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,60,30.0
2021,Medical doctors,Northwest Territories,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,61,40.0
2021,Medical doctors,Nunavut,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,62,0.0
2021,Medical doctors,Canada,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,,47.39888283
2021,Medical doctors,Newfoundland and Labrador,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,10,48.12834225
2021,Medical doctors,Prince Edward Island,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,11,46.93877551
2021,Medical doctors,Nova Scotia,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,12,44.15584416
2021,Medical doctors,New Brunswick,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,13,49.08424908
2021,Medical doctors,Quebec,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,24,54.05188553
2021,Medical doctors,Ontario,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,35,45.94017094
2021,Medical doctors,Manitoba,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,46,41.61220044
2021,Medical doctors,Saskatchewan,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,47,42.1875
2021,Medical doctors,Alberta,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,48,46.46044021
2021,Medical doctors,British Columbia,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,59,42.42718447
2021,Medical doctors,Yukon,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,60,70.0
2021,Medical doctors,Northwest Territories,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,61,60.0
2021,Medical doctors,Nunavut,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,62,66.66666667
2021,Nursing and midwifery personnel,Canada,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,,9.561456476
2021,Nursing and midwifery personnel,Newfoundland and Labrador,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,10,7.64940239
2021,Nursing and midwifery personnel,Prince Edward Island,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,11,6.417112299
2021,Nursing and midwifery personnel,Nova Scotia,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,12,7.8050884
2021,Nursing and midwifery personnel,New Brunswick,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,13,6.037514654
2021,Nursing and midwifery personnel,Quebec,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,24,11.36942467
2021,Nursing and midwifery personnel,Ontario,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,35,9.203168686
2021,Nursing and midwifery personnel,Manitoba,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,46,11.62162162
2021,Nursing and midwifery personnel,Saskatchewan,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,47,7.956667912
2021,Nursing and midwifery personnel,Alberta,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,48,8.103274841
2021,Nursing and midwifery personnel,British Columbia,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,59,10.18346733
2021,Nursing and midwifery personnel,Yukon,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,60,8.333333333
2021,Nursing and midwifery personnel,Northwest Territories,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,61,10.11235955
2021,Nursing and midwifery personnel,Nunavut,"Health worker distribution, by sex and type of occupation",Percentage (%),Male,62,15.625
2021,Nursing and midwifery personnel,Canada,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,,90.441352
2021,Nursing and midwifery personnel,Newfoundland and Labrador,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,10,92.50996016
2021,Nursing and midwifery personnel,Prince Edward Island,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,11,93.5828877
2021,Nursing and midwifery personnel,Nova Scotia,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,12,92.1949116
2021,Nursing and midwifery personnel,New Brunswick,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,13,93.9038687
2021,Nursing and midwifery personnel,Quebec,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,24,88.63057533
2021,Nursing and midwifery personnel,Ontario,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,35,90.79683131
2021,Nursing and midwifery personnel,Manitoba,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,46,88.31081081
2021,Nursing and midwifery personnel,Saskatchewan,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,47,92.00597684
2021,Nursing and midwifery personnel,Alberta,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,48,91.89672516
2021,Nursing and midwifery personnel,British Columbia,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,59,89.81653267
2021,Nursing and midwifery personnel,Yukon,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,60,92.85714286
2021,Nursing and midwifery personnel,Northwest Territories,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,61,88.76404494
2021,Nursing and midwifery personnel,Nunavut,"Health worker distribution, by sex and type of occupation",Percentage (%),Female,62,84.375
