Year,Series,Education level,Value
2012,Proportion of schools with access to computers for pedagogical purposes,Secondary,99.70224
2015,Proportion of schools with access to computers for pedagogical purposes,Secondary,89.46864
2015,Proportion of schools with access to computers for pedagogical purposes,Primary,78.09993
2016,Proportion of schools with access to computers for pedagogical purposes,Primary,70.78311
2018,Proportion of schools with access to computers for pedagogical purposes,Secondary,100.0
2019,Proportion of schools with access to computers for pedagogical purposes,Primary,85.77631
2022,Proportion of schools with access to computers for pedagogical purposes,Secondary,98.97545
2023,Proportion of schools with access to computers for pedagogical purposes,Primary,86.80811
2012,Proportion of schools with access to the Internet for pedagogical purposes,,99.04145
2015,Proportion of schools with access to the Internet for pedagogical purposes,,98.07066
2018,Proportion of schools with access to the Internet for pedagogical purposes,,98.97206
2022,Proportion of schools with access to the Internet for pedagogical purposes,,98.68681
