Year,Occupation,Geography,Progress,GeoCode,Value
2015,,,65.2,,34.8
2016,,,65.4,,34.6
2017,,,65.4,,34.6
2018,,,65.3,,34.7
2019,,,64.9,,35.1
2020,,,64.3,,35.7
2021,,,64.4,,35.6
2022,,,64.7,,35.3
2023,,,64.9,,35.1
2024,,,63.6,,36.4
2015,Legislative and senior management occupations,Canada,69.7,,30.3
2015,Specialized middle management occupations,Canada,53.2,,46.8
2015,Middle management occupations in retail and wholesale trade and customer services,Canada,58.6,,41.4
2015,"Middle management occupations in trades, transportation, production and utilities",Canada,82.7,,17.3
2015,Management occupations,Newfoundland and Labrador,60.5,10,39.5
2015,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2015,Specialized middle management occupations,Newfoundland and Labrador,50.9,10,49.1
2015,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,58.3,10,41.7
2015,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,80.0,10,20.0
2015,Management occupations,Prince Edward Island,64.1,11,35.9
2015,Legislative and senior management occupations,Prince Edward Island,,11,
2015,Specialized middle management occupations,Prince Edward Island,52.9,11,52.9
2015,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,52.0,11,48.0
2015,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,85.7,11,14.3
2015,Management occupations,Nova Scotia,62.0,12,38.0
2015,Legislative and senior management occupations,Nova Scotia,,12,
2015,Specialized middle management occupations,Nova Scotia,53.0,12,47.0
2015,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,55.2,12,44.8
2015,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,84.7,12,15.3
2015,Management occupations,New Brunswick,64.4,13,35.6
2015,Legislative and senior management occupations,New Brunswick,,13,
2015,Specialized middle management occupations,New Brunswick,54.9,13,45.1
2015,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,59.0,13,41.0
2015,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,82.9,13,17.1
2015,Management occupations,Quebec,66.7,24,33.3
2015,Legislative and senior management occupations,Quebec,66.7,24,33.3
2015,Specialized middle management occupations,Quebec,50.0,24,50.0
2015,Middle management occupations in retail and wholesale trade and customer services,Quebec,64.6,24,35.4
2015,"Middle management occupations in trades, transportation, production and utilities",Quebec,84.8,24,15.2
2015,Management occupations,Ontario,63.5,35,36.5
2015,Legislative and senior management occupations,Ontario,73.6,35,26.4
2015,Specialized middle management occupations,Ontario,52.8,35,47.2
2015,Middle management occupations in retail and wholesale trade and customer services,Ontario,57.0,35,43.0
2015,"Middle management occupations in trades, transportation, production and utilities",Ontario,84.6,35,15.4
2015,Management occupations,Manitoba,68.6,46,31.4
2015,Legislative and senior management occupations,Manitoba,71.4,46,28.6
2015,Specialized middle management occupations,Manitoba,52.5,46,47.5
2015,Middle management occupations in retail and wholesale trade and customer services,Manitoba,61.2,46,38.8
2015,"Middle management occupations in trades, transportation, production and utilities",Manitoba,82.6,46,17.4
2015,Management occupations,Saskatchewan,69.3,47,30.7
2015,Legislative and senior management occupations,Saskatchewan,66.7,47,33.3
2015,Specialized middle management occupations,Saskatchewan,51.2,47,51.2
2015,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,56.2,47,43.8
2015,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,80.3,47,19.7
2015,Management occupations,Alberta,67.3,48,32.7
2015,Legislative and senior management occupations,Alberta,63.0,48,37.0
2015,Specialized middle management occupations,Alberta,59.7,48,40.3
2015,Middle management occupations in retail and wholesale trade and customer services,Alberta,55.4,48,44.6
2015,"Middle management occupations in trades, transportation, production and utilities",Alberta,80.4,48,19.6
2015,Management occupations,British Columbia,64.0,59,36.0
2015,Legislative and senior management occupations,British Columbia,72.0,59,28.0
2015,Specialized middle management occupations,British Columbia,55.2,59,44.8
2015,Middle management occupations in retail and wholesale trade and customer services,British Columbia,57.4,59,42.6
2015,"Middle management occupations in trades, transportation, production and utilities",British Columbia,79.0,59,21.0
2016,Legislative and senior management occupations,Canada,63.8,,36.2
2016,Specialized middle management occupations,Canada,53.3,,46.7
2016,Middle management occupations in retail and wholesale trade and customer services,Canada,59.9,,40.1
2016,"Middle management occupations in trades, transportation, production and utilities",Canada,83.1,,16.9
2016,Management occupations,Newfoundland and Labrador,64.4,10,35.6
2016,Legislative and senior management occupations,Newfoundland and Labrador,,10,
2016,Specialized middle management occupations,Newfoundland and Labrador,55.8,10,44.2
2016,Middle management occupations in retail and wholesale trade and customer services,Newfoundland and Labrador,60.7,10,39.3
2016,"Middle management occupations in trades, transportation, production and utilities",Newfoundland and Labrador,80.6,10,19.4
2016,Management occupations,Prince Edward Island,66.7,11,33.3
2016,Legislative and senior management occupations,Prince Edward Island,,11,
2016,Specialized middle management occupations,Prince Edward Island,57.1,11,57.1
2016,Middle management occupations in retail and wholesale trade and customer services,Prince Edward Island,55.6,11,44.4
2016,"Middle management occupations in trades, transportation, production and utilities",Prince Edward Island,87.5,11,12.5
2016,Management occupations,Nova Scotia,59.3,12,40.7
2016,Legislative and senior management occupations,Nova Scotia,54.5,12,45.5
2016,Specialized middle management occupations,Nova Scotia,53.4,12,53.4
2016,Middle management occupations in retail and wholesale trade and customer services,Nova Scotia,55.1,12,44.9
2016,"Middle management occupations in trades, transportation, production and utilities",Nova Scotia,84.0,12,16.0
2016,Management occupations,New Brunswick,61.9,13,38.1
2016,Legislative and senior management occupations,New Brunswick,,13,
2016,Specialized middle management occupations,New Brunswick,56.2,13,56.2
2016,Middle management occupations in retail and wholesale trade and customer services,New Brunswick,59.4,13,40.6
2016,"Middle management occupations in trades, transportation, production and utilities",New Brunswick,84.3,13,15.7
2016,Management occupations,Quebec,64.7,24,35.3
2016,Legislative and senior management occupations,Quebec,60.0,24,40.0
2016,Specialized middle management occupations,Quebec,53.1,24,46.9
2016,Middle management occupations in retail and wholesale trade and customer services,Quebec,58.7,24,41.3
2016,"Middle management occupations in trades, transportation, production and utilities",Quebec,83.6,24,16.4
2016,Management occupations,Ontario,64.8,35,35.2
2016,Legislative and senior management occupations,Ontario,65.4,35,34.6
2016,Specialized middle management occupations,Ontario,54.1,35,45.9
2016,Middle management occupations in retail and wholesale trade and customer services,Ontario,61.4,35,38.6
2016,"Middle management occupations in trades, transportation, production and utilities",Ontario,83.5,35,16.5
2016,Management occupations,Manitoba,69.7,46,30.3
2016,Legislative and senior management occupations,Manitoba,,46,
2016,Specialized middle management occupations,Manitoba,50.4,46,50.4
2016,Middle management occupations in retail and wholesale trade and customer services,Manitoba,63.4,46,36.6
2016,"Middle management occupations in trades, transportation, production and utilities",Manitoba,82.6,46,17.4
2016,Management occupations,Saskatchewan,68.7,47,31.3
2016,Legislative and senior management occupations,Saskatchewan,58.3,47,41.7
2016,Specialized middle management occupations,Saskatchewan,54.3,47,54.3
2016,Middle management occupations in retail and wholesale trade and customer services,Saskatchewan,57.5,47,42.5
2016,"Middle management occupations in trades, transportation, production and utilities",Saskatchewan,80.5,47,19.5
2016,Management occupations,Alberta,68.1,48,31.9
2016,Legislative and senior management occupations,Alberta,63.9,48,36.1
2016,Specialized middle management occupations,Alberta,56.2,48,43.8
2016,Middle management occupations in retail and wholesale trade and customer services,Alberta,57.8,48,42.2
2016,"Middle management occupations in trades, transportation, production and utilities",Alberta,83.9,48,16.1
2016,Management occupations,British Columbia,64.9,59,35.1
2016,Legislative and senior management occupations,British Columbia,66.1,59,33.9
2016,Specialized middle management occupations,British Columbia,53.0,59,47.0
2016,Middle management occupations in retail and wholesale trade and customer services,British Columbia,60.3,59,39.7
