Year,Water resources management category,Water resources management sub-category,Value
2023,,,73
2023,Enabling environment,Arrangements for transboundary water management in most important basins and aquifers,100
2023,Enabling environment,Basin and aquifer management plans,70
2023,Enabling environment,National integrated water resources management (IWRM) plans,80
2023,Enabling environment,National water resources law,70
2023,Enabling environment,National water resources policy,50
2023,Enabling environment,Sub-national water resources regulations,100
2023,Enabling environment,Sub-national water resources policies,80
2023,Enabling environment,,79
2023,Institutions and participation,Basin and aquifer level organizations for leading implementation of integrated water resources management (IWRM) plans,80
2023,Institutions and participation,"Private Sector participation in water resources development, management and use at national level",70
2023,Institutions and participation,"Coordination between national government authorities representing different sectors on water resources, policy, planning and management",60
2023,Institutions and participation,Developing integrated water resources management (IWRM) capacity at the national level,70
2023,Institutions and participation,National government authority capacity for leading implementation of national integrated water resources management (IWRM) plans,60
2023,Institutions and participation,Organizational framework for transboundary water management for most important basins and aquifers,100
2023,Institutions and participation,"Public participation in water resources, policy, planning and management at national level",70
2023,Institutions and participation,"Public participation in water resources, policy, planning and management at the local level",70
2023,Institutions and participation,Sub-national authorities for leading IWRM implementation,70
2023,Institutions and participation,Participation of vulnerable groups in water resources planning and management,60
2023,Institutions and participation,Gender mainstreaming in water resources management,60
2023,Institutions and participation,,70
2023,Management instruments,Aquifer management instruments,60
2023,Management instruments,Basin management instruments,80
2023,Management instruments,Data and information sharing within countries at all levels,80
2023,Management instruments,Management instruments to reduce impacts of water-related disasters from the national level,70
2023,Management instruments,Management of water-related ecosystems from the national level,70
2023,Management instruments,National monitoring of water availability,70
2023,Management instruments,Pollution control from the national level,70
2023,Management instruments,Sustainable and efficient water use management from the national level,50
2023,Management instruments,Transboundary data and information sharing between countries,80
2023,Management instruments,,70
2023,Financing,Financing for transboundary cooperation,80
2023,Financing,National budget for investment including water resources infrastructure,70
2023,Financing,National budget for the recurrent costs of the integrated water resources management (IWRM) elements,70
2023,Financing,Sub-national or basin budgets for IWRM elements,60
2023,Financing,"Revenues raised from dedicated levies on water users at basin, aquifer or sub-national levels",80
2023,Financing,Sub-national or basin budgets for investment including water resources infrastructure,70
2023,Financing,,72
