Year,Type of electricity generation,Geography,GeoCode,Value
2015,,,,81.4444166666667
2016,,,,78.76575
2017,,,,79.9753333333333
2018,,,,79.5969166666667
2019,,,,79.3599166666667
2020,,,,82.3359166666667
2021,,,,81.64925
2022,,,,82.0549166666667
2023,,,,80.7290833333333
2024,,,,79.3978333333333
2015,Hydraulic turbine,Alberta,48,3.24066666666667
2015,Total renewable and non-greenhouse gas emitting sources,Alberta,48,7.06583333333333
2015,Wind power turbine,Alberta,48,3.82508333333333
2015,Hydraulic turbine,British Columbia,59,90.90725
2015,Total renewable and non-greenhouse gas emitting sources,British Columbia,59,90.90725
2015,Hydraulic turbine,Canada,,63.248
2015,Nuclear steam turbine,Canada,,16.6659166666667
2015,Solar,Canada,,0.0455
2015,Tidal power turbine,Canada,,0.00225
2015,Wind power turbine,Canada,,1.48258333333333
2015,Hydraulic turbine,Manitoba,46,98.4231666666667
2015,Total renewable and non-greenhouse gas emitting sources,Manitoba,46,99.5596666666667
2015,Wind power turbine,Manitoba,46,1.1365
2015,Hydraulic turbine,New Brunswick,13,20.7531666666667
2015,Nuclear steam turbine,New Brunswick,13,30.69575
2015,Total renewable and non-greenhouse gas emitting sources,New Brunswick,13,56.2025833333333
2015,Wind power turbine,New Brunswick,13,4.75341666666667
2015,Hydraulic turbine,Newfoundland and Labrador,10,95.7331666666667
2015,Total renewable and non-greenhouse gas emitting sources,Newfoundland and Labrador,10,95.9671666666667
2015,Wind power turbine,Newfoundland and Labrador,10,0.233916666666667
2015,Hydraulic turbine,Northwest Territories,61,24.9920833333333
2015,Total renewable and non-greenhouse gas emitting sources,Northwest Territories,61,28.3309166666667
2015,Wind power turbine,Northwest Territories,61,3.33866666666667
2015,Hydraulic turbine,Nova Scotia,12,10.3128333333333
2015,Tidal power turbine,Nova Scotia,12,0.1475
2015,Total renewable and non-greenhouse gas emitting sources,Nova Scotia,12,15.50875
2015,Wind power turbine,Nova Scotia,12,5.04841666666667
2015,Hydraulic turbine,Nunavut,62,
2015,Total renewable and non-greenhouse gas emitting sources,Nunavut,62,
2015,Hydraulic turbine,Ontario,35,25.1178333333333
2015,Nuclear steam turbine,Ontario,35,65.6689166666667
2015,Solar,Ontario,35,0.18475
2015,Total renewable and non-greenhouse gas emitting sources,Ontario,35,93.0966666666667
2015,Wind power turbine,Ontario,35,2.12541666666667
2015,Total renewable and non-greenhouse gas emitting sources,Prince Edward Island,11,98.5833333333333
2015,Wind power turbine,Prince Edward Island,11,98.5833333333333
2015,Hydraulic turbine,Quebec,24,98.9861666666667
2015,Nuclear steam turbine,Quebec,24,
2015,Total renewable and non-greenhouse gas emitting sources,Quebec,24,
2015,Wind power turbine,Quebec,24,0.389083333333333
2015,Hydraulic turbine,Saskatchewan,47,14.4148333333333
2015,Total renewable and non-greenhouse gas emitting sources,Saskatchewan,47,17.7575
2015,Wind power turbine,Saskatchewan,47,3.34241666666667
2015,Hydraulic turbine,Yukon,60,94.1393333333333
