Year,Geography,Progress,GeoCode,Value
2015,Alberta,79354.3,48,-5.3
2016,Alberta,75785.13,48,-4.5
2017,Alberta,78412.01,48,3.47
2018,Alberta,78965.77,48,0.71
2019,Alberta,77899.34,48,-1.35
2020,Alberta,70953.23,48,-8.92
2021,Alberta,74255.83,48,4.65
2022,Alberta,77198.26,48,3.96
2023,Alberta,76145.08,48,-1.36
2024,Alberta,74906.65,48,-1.63
2015,British Columbia,55508.25,59,0.9
2016,British Columbia,55935.81,59,0.77
2017,British Columbia,57209.45,59,2.28
2018,British Columbia,58192.24,59,1.72
2019,British Columbia,58668.7,59,0.82
2020,British Columbia,56137.81,59,-4.31
2021,British Columbia,59877.76,59,6.66
2022,British Columbia,61224.2,59,2.25
2023,British Columbia,61143.23,59,-0.13
2024,British Columbia,60131.4,59,-1.65
2015,,57590.92,,-0.11
2016,,57534.31,,-0.1
2017,,58575.36,,1.81
2018,,59325.67,,1.28
2019,,59580.56,,0.43
2020,,55968.56,,-6.06
2021,,58971.42,,5.37
2022,,60614.53,,2.79
2023,,60102.62,,-0.84
2024,,59529.12,,-0.95
2015,Manitoba,52591.3,46,-0.03
2016,Manitoba,52518.76,46,-0.14
2017,Manitoba,53407.65,46,1.69
2018,Manitoba,53706.44,46,0.56
2019,Manitoba,53651.99,46,-0.1
2020,Manitoba,51077.0,46,-4.8
2021,Manitoba,51366.31,46,0.57
2022,Manitoba,53028.73,46,3.24
2023,Manitoba,53010.52,46,-0.03
2024,Manitoba,52479.52,46,-1.0
2015,New Brunswick,45676.78,13,0.58
2016,New Brunswick,45798.5,13,0.27
2017,New Brunswick,46730.33,13,2.03
2018,New Brunswick,47006.02,13,0.59
2019,New Brunswick,47214.58,13,0.44
2020,New Brunswick,45176.86,13,-4.32
2021,New Brunswick,47130.63,13,4.32
2022,New Brunswick,47099.1,13,-0.07
2023,New Brunswick,46739.09,13,-0.76
2024,New Brunswick,46466.65,13,-0.58
2015,Newfoundland and Labrador,61908.06,10,-1.24
2016,Newfoundland and Labrador,62692.37,10,1.27
2017,Newfoundland and Labrador,63595.11,10,1.44
2018,Newfoundland and Labrador,62142.08,10,-2.28
2019,Newfoundland and Labrador,64735.06,10,4.17
2020,Newfoundland and Labrador,61706.18,10,-4.68
2021,Newfoundland and Labrador,62300.78,10,0.96
