Year,Occupation,Type of work,Gender,Age group,Geography,GeoCode,Value
2015,,,,,,,25.87
2016,,,,,,,26.4
2017,,,,,,,26.81
2018,,,,,,,27.56
2019,,,,,,,28.32
2020,,,,,,,30.04
2021,,,,,,,30.69
2022,,,,,,,31.97
2023,,,,,,,33.56
2024,,,,,,,35.2
2025,,,,,,,36.4
2015,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,15 to 24 years,Canada,,14.99
2015,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,25 to 54 years,Canada,,28.0
2015,"Total employees, all occupations",Both full- and part-time employees,Total - Gender,55 years and over,Canada,,27.63
2015,"Total employees, all occupations",Both full- and part-time employees,Men+,15 years and over,Canada,,27.82
2015,"Total employees, all occupations",Both full- and part-time employees,Men+,15 to 24 years,Canada,,15.7
2015,"Total employees, all occupations",Both full- and part-time employees,Men+,25 to 54 years,Canada,,30.07
2015,"Total employees, all occupations",Both full- and part-time employees,Men+,55 years and over,Canada,,30.08
2015,"Total employees, all occupations",Both full- and part-time employees,Women+,15 years and over,Canada,,23.86
2015,"Total employees, all occupations",Both full- and part-time employees,Women+,15 to 24 years,Canada,,14.26
2015,"Total employees, all occupations",Both full- and part-time employees,Women+,25 to 54 years,Canada,,25.87
2015,"Total employees, all occupations",Both full- and part-time employees,Women+,55 years and over,Canada,,25.03
2015,Management occupations,Both full- and part-time employees,Total - Gender,15 years and over,Canada,,43.01
2015,Management occupations,Both full- and part-time employees,Total - Gender,15 to 24 years,Canada,,18.61
2015,Management occupations,Both full- and part-time employees,Total - Gender,25 to 54 years,Canada,,42.91
2015,Management occupations,Both full- and part-time employees,Total - Gender,55 years and over,Canada,,46.4
2015,Management occupations,Both full- and part-time employees,Men+,15 years and over,Canada,,45.66
2015,Management occupations,Both full- and part-time employees,Men+,15 to 24 years,Canada,,19.47
2015,Management occupations,Both full- and part-time employees,Men+,25 to 54 years,Canada,,45.57
2015,Management occupations,Both full- and part-time employees,Men+,55 years and over,Canada,,48.48
2015,Management occupations,Both full- and part-time employees,Women+,15 years and over,Canada,,39.04
2015,Management occupations,Both full- and part-time employees,Women+,15 to 24 years,Canada,,17.77
2015,Management occupations,Both full- and part-time employees,Women+,25 to 54 years,Canada,,39.04
2015,Management occupations,Both full- and part-time employees,Women+,55 years and over,Canada,,42.73
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Canada,,26.24
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Canada,,16.74
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,25 to 54 years,Canada,,27.06
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Total - Gender,55 years and over,Canada,,27.35
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,15 years and over,Canada,,29.4
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,15 to 24 years,Canada,,16.61
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,25 to 54 years,Canada,,30.39
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Men+,55 years and over,Canada,,31.93
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,15 years and over,Canada,,25.05
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,15 to 24 years,Canada,,16.79
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,25 to 54 years,Canada,,25.78
2015,"Business, finance and administration occupations, except management",Both full- and part-time employees,Women+,55 years and over,Canada,,25.86
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,15 years and over,Canada,,35.11
2015,"Natural and applied sciences and related occupations, except management",Both full- and part-time employees,Total - Gender,15 to 24 years,Canada,,21.46
