Year,Series,Employment size,Geography,Industries,Age of primary decision maker,Demographic characteristics,Value
2020,"Request rate, line of credit",,,,,,7.3
2020,"Request rate, term loan",,,,,,4.8
2020,"Overall approval rate, line of credit",,,,,,83.1
2020,"Overall approval rate, term loan",,,,,,89.0
2020,"Request rate, line of credit",1 to 4 employees,,,,,5.3
2020,"Request rate, term loan",1 to 4 employees,,,,,3.0
2020,"Overall approval rate, line of credit",1 to 4 employees,,,,,79.3
2020,"Overall approval rate, term loan",1 to 4 employees,,,,,84.2
2020,"Request rate, line of credit",5 to 19 employees,,,,,8.4
2020,"Request rate, term loan",5 to 19 employees,,,,,6.5
2020,"Overall approval rate, line of credit",5 to 19 employees,,,,,84.6
2020,"Overall approval rate, term loan",5 to 19 employees,,,,,90.3
2020,"Request rate, line of credit",20 to 99 employees,,,,,13.6
2020,"Request rate, term loan",20 to 99 employees,,,,,8.6
2020,"Overall approval rate, line of credit",20 to 99 employees,,,,,86.7
2020,"Overall approval rate, term loan",20 to 99 employees,,,,,93.8
2020,"Request rate, line of credit",100 to 499 employees,,,,,11.7
2020,"Request rate, term loan",100 to 499 employees,,,,,10.4
2020,"Overall approval rate, line of credit",100 to 499 employees,,,,,92.0
2020,"Overall approval rate, term loan",100 to 499 employees,,,,,96.3
2020,"Request rate, line of credit",,Atlantic Region,,,,7.4
2020,"Request rate, term loan",,Atlantic Region,,,,3.7
2020,"Overall approval rate, line of credit",,Atlantic Region,,,,80.5
2020,"Overall approval rate, term loan",,Atlantic Region,,,,97.6
2020,"Request rate, line of credit",,Quebec Region,,,,7.7
2020,"Request rate, term loan",,Quebec Region,,,,5.9
2020,"Overall approval rate, line of credit",,Quebec Region,,,,93.5
2020,"Overall approval rate, term loan",,Quebec Region,,,,97.2
2020,"Request rate, line of credit",,Ontario Region,,,,7.1
2020,"Request rate, term loan",,Ontario Region,,,,4.4
2020,"Overall approval rate, line of credit",,Ontario Region,,,,83.6
2020,"Overall approval rate, term loan",,Ontario Region,,,,90.9
2020,"Request rate, line of credit",,Prairies Region,,,,6.9
2020,"Request rate, term loan",,Prairies Region,,,,7.1
2020,"Overall approval rate, line of credit",,Prairies Region,,,,79.5
2020,"Overall approval rate, term loan",,Prairies Region,,,,80.5
2020,"Request rate, line of credit",,British Columbia and Territories Region,,,,7.4
2020,"Request rate, term loan",,British Columbia and Territories Region,,,,2.4
2020,"Overall approval rate, line of credit",,British Columbia and Territories Region,,,,72.8
2020,"Overall approval rate, term loan",,British Columbia and Territories Region,,,,80.8
2020,"Request rate, line of credit",,,Construction (NAICS 23),,,7.4
2020,"Request rate, term loan",,,Construction (NAICS 23),,,3.2
2020,"Overall approval rate, line of credit",,,Construction (NAICS 23),,,69.8
2020,"Overall approval rate, term loan",,,Construction (NAICS 23),,,94.1
2020,"Request rate, line of credit",,,Manufacturing (NAICS 31-33),,,9.3
2020,"Request rate, term loan",,,Manufacturing (NAICS 31-33),,,8.4
2020,"Overall approval rate, line of credit",,,Manufacturing (NAICS 31-33),,,78.4
2020,"Overall approval rate, term loan",,,Manufacturing (NAICS 31-33),,,87.1
2020,"Request rate, line of credit",,,Wholesale trade (NAICS 41),,,7.6
2020,"Request rate, term loan",,,Wholesale trade (NAICS 41),,,3.6
2020,"Overall approval rate, line of credit",,,Wholesale trade (NAICS 41),,,87.9
2020,"Overall approval rate, term loan",,,Wholesale trade (NAICS 41),,,96.1
2020,"Request rate, line of credit",,,Retail trade (NAICS 44-45),,,5.5
2020,"Request rate, term loan",,,Retail trade (NAICS 44-45),,,4.5
2020,"Overall approval rate, line of credit",,,Retail trade (NAICS 44-45),,,91.3
2020,"Overall approval rate, term loan",,,Retail trade (NAICS 44-45),,,84.6
2020,"Request rate, line of credit",,,Transportation and warehousing (NAICS 48-49),,,8.7
2020,"Request rate, term loan",,,Transportation and warehousing (NAICS 48-49),,,4.7
2020,"Overall approval rate, line of credit",,,Transportation and warehousing (NAICS 48-49),,,73.2
2020,"Overall approval rate, term loan",,,Transportation and warehousing (NAICS 48-49),,,88.2
