Year,Amount last sent,Method,Destination region,Value
2017,,,,5.5
2017,,Non-electronic methods,All regions,5.8
2017,,Electronic methods,All regions,4.1
2017,,All methods,Americas,8.5
2017,,Non-electronic methods,Americas,8.8
2017,,Electronic methods,Americas,5.7
2017,,All methods,Eastern and Southern Europe,7.9
2017,,Non-electronic methods,Eastern and Southern Europe,8.4
2017,,Electronic methods,Eastern and Southern Europe,5.2
2017,,All methods,Sub-Saharan Africa,7.2
2017,,Non-electronic methods,Sub-Saharan Africa,7.6
2017,,Electronic methods,Sub-Saharan Africa,5.2
2017,,All methods,North Africa,6.1
2017,,Non-electronic methods,North Africa,6.5
2017,,Electronic methods,North Africa,4.3
2017,,All methods,West Central Asia and the Middle East,6.2
2017,,Non-electronic methods,West Central Asia and the Middle East,6.3
2017,,Electronic methods,West Central Asia and the Middle East,4.7
2017,,All methods,Eastern Asia,2.1
2017,,Non-electronic methods,Eastern Asia,2.2
2017,,Electronic methods,Eastern Asia,1.3
2017,,All methods,Southeast Asia and Oceania,4.4
2017,,Non-electronic methods,Southeast Asia and Oceania,4.5
2017,,Electronic methods,Southeast Asia and Oceania,3.5
2017,,All methods,Southern Asia,3.6
2017,,Non-electronic methods,Southern Asia,3.7
2017,,Electronic methods,Southern Asia,3.0
2017,,All methods,Countries not eligible for official development assistance,5.8
2017,,Non-electronic methods,Countries not eligible for official development assistance,6.2
2017,,Electronic methods,Countries not eligible for official development assistance,4.6
2017,$100 or less,All methods,,12.6
2017,$100 or less,Non-electronic methods,,13.0
2017,$100 or less,Electronic methods,,9.2
2017,$101 to $200,All methods,,7.0
2017,$101 to $200,Non-electronic methods,,7.1
2017,$101 to $200,Electronic methods,,6.1
2017,$201 to $300,All methods,,5.1
2017,$201 to $300,Non-electronic methods,,5.3
2017,$201 to $300,Electronic methods,,4.2
2017,$301 to $500,All methods,,3.5
2017,$301 to $500,Non-electronic methods,,3.7
2017,$301 to $500,Electronic methods,,2.6
2017,"$501 to $1,000",All methods,,2.6
2017,"$501 to $1,000",Non-electronic methods,,2.8
2017,"$501 to $1,000",Electronic methods,,2.0
2017,"$1,001 or more",All methods,,1.3
2017,"$1,001 or more",Non-electronic methods,,1.3
2017,"$1,001 or more",Electronic methods,,1.0
