Year,Tenure,Geography,GeoCode,Value
2018,"Total, tenure",Newfoundland and Labrador,10,7.1
2018,Owner,Newfoundland and Labrador,10,1.9
2018,Owner who is not a first-time homebuyer,Newfoundland and Labrador,10,2.2
2018,Renter,Newfoundland and Labrador,10,23.0
2018,Renter not in social and affordable housing,Newfoundland and Labrador,10,20.0
2018,Renter in social and affordable housing,Newfoundland and Labrador,10,33.0
2018,"Total, tenure",Nova Scotia,12,10.9
2018,Owner,Nova Scotia,12,3.8
2018,Owner who is a first-time homebuyer,Nova Scotia,12,2.6
2018,Owner who is not a first-time homebuyer,Nova Scotia,12,4.0
2018,Renter,Nova Scotia,12,22.0
2018,Renter not in social and affordable housing,Nova Scotia,12,21.0
2018,Renter in social and affordable housing,Nova Scotia,12,28.0
2018,"Total, tenure",New Brunswick,13,6.3
2018,Owner,New Brunswick,13,2.0
2018,Owner who is not a first-time homebuyer,New Brunswick,13,2.4
2018,Renter,New Brunswick,13,16.7
2018,Renter not in social and affordable housing,New Brunswick,13,15.9
2018,Renter in social and affordable housing,New Brunswick,13,24.0
2018,"Total, tenure",Quebec,24,5.0
2018,Owner,Quebec,24,1.1
2018,Owner who is a first-time homebuyer,Quebec,24,2.0
2018,Owner who is not a first-time homebuyer,Quebec,24,1.0
2018,Renter,Quebec,24,11.1
2018,Renter not in social and affordable housing,Quebec,24,10.7
2018,Renter in social and affordable housing,Quebec,24,14.4
2018,"Total, tenure",Ontario,35,12.4
2018,Owner,Ontario,35,7.9
2018,Owner who is a first-time homebuyer,Ontario,35,10.7
2018,Owner who is not a first-time homebuyer,Ontario,35,7.4
2018,Renter,Ontario,35,25.0
2018,Renter not in social and affordable housing,Ontario,35,24.0
2018,Renter in social and affordable housing,Ontario,35,29.0
2018,"Total, tenure",Manitoba,46,10.4
2018,Owner,Manitoba,46,5.8
2018,Owner who is a first-time homebuyer,Manitoba,46,13.8
2018,Owner who is not a first-time homebuyer,Manitoba,46,4.3
2018,Renter,Manitoba,46,22.0
2018,Renter not in social and affordable housing,Manitoba,46,19.2
2018,Renter in social and affordable housing,Manitoba,46,36.0
2018,"Total, tenure",Saskatchewan,47,8.8
2018,Owner,Saskatchewan,47,4.5
2018,Owner who is a first-time homebuyer,Saskatchewan,47,6.3
2018,Owner who is not a first-time homebuyer,Saskatchewan,47,4.0
2018,Renter,Saskatchewan,47,21.0
2018,Renter not in social and affordable housing,Saskatchewan,47,17.0
2018,Renter in social and affordable housing,Saskatchewan,47,40.0
2018,"Total, tenure",Alberta,48,8.7
2018,Owner,Alberta,48,5.5
2018,Owner who is a first-time homebuyer,Alberta,48,6.6
2018,Owner who is not a first-time homebuyer,Alberta,48,5.3
2018,Renter,Alberta,48,17.9
2018,Renter not in social and affordable housing,Alberta,48,16.0
2018,Renter in social and affordable housing,Alberta,48,38.0
2018,"Total, tenure",British Columbia,59,12.0
2018,Owner,British Columbia,59,7.6
2018,Owner who is a first-time homebuyer,British Columbia,59,13.7
2018,Owner who is not a first-time homebuyer,British Columbia,59,6.6
2018,Renter,British Columbia,59,22.0
2018,Renter not in social and affordable housing,British Columbia,59,19.4
2018,Renter in social and affordable housing,British Columbia,59,39.0
2018,,,,10.0
2018,Owner,Canada,,5.9
2018,Owner who is a first-time homebuyer,Canada,,8.6
2018,Owner who is not a first-time homebuyer,Canada,,5.5
2018,Renter,Canada,,19.5
2018,Renter not in social and affordable housing,Canada,,18.3
2018,Renter in social and affordable housing,Canada,,29.0
2021,"Total, tenure",Newfoundland and Labrador,10,5.1
2021,Owner,Newfoundland and Labrador,10,1.1
2021,Owner who is not a first-time homebuyer,Newfoundland and Labrador,10,1.1
2021,Renter,Newfoundland and Labrador,10,15.7
2021,Renter not in social and affordable housing,Newfoundland and Labrador,10,11.9
2021,Renter in social and affordable housing,Newfoundland and Labrador,10,33.0
2021,"Total, tenure",Nova Scotia,12,7.0
2021,Owner,Nova Scotia,12,2.1
2021,Owner who is not a first-time homebuyer,Nova Scotia,12,2.3
2021,Renter,Nova Scotia,12,14.0
2021,Renter not in social and affordable housing,Nova Scotia,12,12.2
2021,Renter in social and affordable housing,Nova Scotia,12,41.0
2021,"Total, tenure",New Brunswick,13,5.0
2021,Owner,New Brunswick,13,1.3
2021,Owner who is not a first-time homebuyer,New Brunswick,13,1.6
2021,Renter,New Brunswick,13,13.7
2021,Renter not in social and affordable housing,New Brunswick,13,12.4
2021,Renter in social and affordable housing,New Brunswick,13,25.0
2021,"Total, tenure",Quebec,24,4.0
2021,Owner,Quebec,24,1.6
2021,Owner who is a first-time homebuyer,Quebec,24,2.0
2021,Owner who is not a first-time homebuyer,Quebec,24,1.6
2021,Renter,Quebec,24,7.6
2021,Renter not in social and affordable housing,Quebec,24,7.4
2021,Renter in social and affordable housing,Quebec,24,9.7
2021,"Total, tenure",Ontario,35,10.2
2021,Owner,Ontario,35,4.6
2021,Owner who is a first-time homebuyer,Ontario,35,3.1
2021,Owner who is not a first-time homebuyer,Ontario,35,4.9
2021,Renter,Ontario,35,23.0
2021,Renter not in social and affordable housing,Ontario,35,23.0
2021,Renter in social and affordable housing,Ontario,35,28.0
2021,"Total, tenure",Manitoba,46,10.4
2021,Owner,Manitoba,46,5.1
2021,Owner who is a first-time homebuyer,Manitoba,46,6.1
2021,Owner who is not a first-time homebuyer,Manitoba,46,4.9
2021,Renter,Manitoba,46,24.0
2021,Renter not in social and affordable housing,Manitoba,46,22.0
2021,Renter in social and affordable housing,Manitoba,46,34.0
2021,"Total, tenure",Saskatchewan,47,8.4
2021,Owner,Saskatchewan,47,4.1
2021,Owner who is a first-time homebuyer,Saskatchewan,47,4.0
2021,Owner who is not a first-time homebuyer,Saskatchewan,47,4.1
2021,Renter,Saskatchewan,47,19.3
2021,Renter not in social and affordable housing,Saskatchewan,47,16.7
2021,Renter in social and affordable housing,Saskatchewan,47,35.0
2021,"Total, tenure",Alberta,48,5.8
2021,Owner,Alberta,48,2.1
2021,Owner who is a first-time homebuyer,Alberta,48,7.1
2021,Owner who is not a first-time homebuyer,Alberta,48,1.3
2021,Renter,Alberta,48,16.0
2021,Renter not in social and affordable housing,Alberta,48,14.6
2021,Renter in social and affordable housing,Alberta,48,29.0
2021,"Total, tenure",British Columbia,59,10.5
2021,Owner,British Columbia,59,6.3
2021,Owner who is a first-time homebuyer,British Columbia,59,11.4
2021,Owner who is not a first-time homebuyer,British Columbia,59,5.5
2021,Renter,British Columbia,59,19.8
2021,Renter not in social and affordable housing,British Columbia,59,18.8
2021,Renter in social and affordable housing,British Columbia,59,30.0
2021,,,,8.2
2021,Owner,Canada,,3.9
2021,Owner who is a first-time homebuyer,Canada,,4.7
2021,Owner who is not a first-time homebuyer,Canada,,3.7
2021,Renter,Canada,,17.4
2021,Renter not in social and affordable housing,Canada,,16.5
2021,Renter in social and affordable housing,Canada,,25.0
2022,"Total, tenure",Newfoundland and Labrador,10,6.8
2022,Owner,Newfoundland and Labrador,10,2.4
2022,Owner who is not a first-time homebuyer,Newfoundland and Labrador,10,2.9
2022,Renter,Newfoundland and Labrador,10,17.6
2022,Renter not in social and affordable housing,Newfoundland and Labrador,10,15.9
2022,Renter in social and affordable housing,Newfoundland and Labrador,10,26.0
2022,"Total, tenure",Nova Scotia,12,11.4
2022,Owner,Nova Scotia,12,4.6
2022,Owner who is a first-time homebuyer,Nova Scotia,12,1.9
2022,Owner who is not a first-time homebuyer,Nova Scotia,12,5.1
2022,Renter,Nova Scotia,12,21.0
2022,Renter not in social and affordable housing,Nova Scotia,12,18.0
2022,Renter in social and affordable housing,Nova Scotia,12,63.0
2022,"Total, tenure",New Brunswick,13,8.3
2022,Owner,New Brunswick,13,3.3
2022,Owner who is a first-time homebuyer,New Brunswick,13,7.9
2022,Owner who is not a first-time homebuyer,New Brunswick,13,2.5
