Year,data.Stock group,Value
2011,,89.68
2012,,95.48
2013,,97.42
2014,,98.7
2015,,95.6
2016,,95.88
2017,,95.53
2018,,96.05
2019,,94.32
2020,,98.33
2021,,95.31
2022,,96.92
2020,data.Marine mammals,94.12
2020,data.Groundfish,100.0
2020,data.Small pelagics,100.0
2020,data.Large pelagics,100.0
2020,data.Salmonids,95.45
2020,data.Crustaceans,97.67
2020,data.Molluscs,100.0
2020,data.Others,100.0
2021,data.Marine mammals,94.12
2021,data.Groundfish,100.0
2021,data.Small pelagics,95.0
2021,data.Large pelagics,100.0
2021,data.Salmonids,91.67
2021,data.Crustaceans,92.31
2021,data.Molluscs,94.44
2021,data.Others,100.0
2022,data.Marine mammals,94.12
2022,data.Groundfish,100.0
2022,data.Small pelagics,100.0
2022,data.Large pelagics,100.0
2022,data.Salmonids,96.0
2022,data.Crustaceans,92.31
2022,data.Molluscs,100.0
2022,data.Others,100.0
