Year,Series,Units,Value
2018,Trend score,Score,4.67
2019,Trend score,Score,4.67
2020,Trend score,Score,4.67
2021,Trend score,Score,3.83
2022,Trend score,Score,4.67
2023,Trend score,Score,4.67
2017,Trend score,Score,4.67
2016,Trend score,Score,4.67
2015,Trend score,Score,4.0
2015,Current status score,Score,4.0
2019,Current status score,Score,4.17
2020,Current status score,Score,4.17
2021,Current status score,Score,3.83
2022,Current status score,Score,4.17
2023,Current status score,Score,4.17
2016,Current status score,Score,4.17
2017,Current status score,Score,4.17
2018,Current status score,Score,4.17
