Year,Series,Sex,Value
2010,Leprosy,,4
2011,Leprosy,,11
2012,Leprosy,,9
2013,Leprosy,,2
2014,Leprosy,,6
2015,Leprosy,,9
2016,Leprosy,,8
2017,Leprosy,,1
2018,Leprosy,,12
2019,Leprosy,,3
2020,Leprosy,,1
2021,Leprosy,,7
2022,Leprosy,,3
2010,Leprosy,Male,2
2011,Leprosy,Male,7
2012,Leprosy,Male,7
2013,Leprosy,Male,1
2014,Leprosy,Male,5
2015,Leprosy,Male,5
2016,Leprosy,Male,6
2017,Leprosy,Male,1
2018,Leprosy,Male,10
2019,Leprosy,Male,2
2020,Leprosy,Male,1
2021,Leprosy,Male,5
2022,Leprosy,Male,2
2010,Leprosy,Female,2
2011,Leprosy,Female,3
2012,Leprosy,Female,2
2013,Leprosy,Female,1
2014,Leprosy,Female,1
2015,Leprosy,Female,4
2016,Leprosy,Female,2
2017,Leprosy,Female,0
2018,Leprosy,Female,1
2019,Leprosy,Female,1
2020,Leprosy,Female,0
2021,Leprosy,Female,2
2022,Leprosy,Female,1
2010,Leprosy,Unknown,0
2011,Leprosy,Unknown,1
2012,Leprosy,Unknown,0
2013,Leprosy,Unknown,0
2014,Leprosy,Unknown,0
2015,Leprosy,Unknown,0
2016,Leprosy,Unknown,0
2017,Leprosy,Unknown,0
2018,Leprosy,Unknown,1
2019,Leprosy,Unknown,0
2020,Leprosy,Unknown,0
2021,Leprosy,Unknown,0
2022,Leprosy,Unknown,0
2010,Rabies,,0
2011,Rabies,,0
2012,Rabies,,1
2013,Rabies,,0
2014,Rabies,,0
2015,Rabies,,0
2016,Rabies,,0
2017,Rabies,,0
2018,Rabies,,0
2019,Rabies,,1
2020,Rabies,,0
2021,Rabies,,0
2022,Rabies,,0
2010,Rabies,Male,0
2011,Rabies,Male,0
2012,Rabies,Male,1
2013,Rabies,Male,0
2014,Rabies,Male,0
2015,Rabies,Male,0
2016,Rabies,Male,0
2017,Rabies,Male,0
2018,Rabies,Male,0
2019,Rabies,Male,1
2020,Rabies,Male,0
2021,Rabies,Male,0
2022,Rabies,Male,0
2010,Rabies,Female,0
2011,Rabies,Female,0
2012,Rabies,Female,0
2013,Rabies,Female,0
2014,Rabies,Female,0
2015,Rabies,Female,0
2016,Rabies,Female,0
2017,Rabies,Female,0
2018,Rabies,Female,0
2019,Rabies,Female,0
2020,Rabies,Female,0
2021,Rabies,Female,0
2022,Rabies,Female,0
