Year,Geography,GeoCode,Value
2014/2015,,,8.0
2015/2016,,,8.1
2016/2017,,,8.2
2017/2018,,,8.2
2018/2019,,,8.0
2019/2020,,,8.1
2020/2021,,,8.3
2021/2022,,,8.1
2022/2023,,,7.8
2023/2024,,,7.3
2014/2015,Newfoundland and Labrador,10,9.4
2014/2015,Prince Edward Island,11,7.9
2014/2015,Nova Scotia,12,7.7
2014/2015,New Brunswick,13,6.6
2014/2015,Quebec,24,8.3
2014/2015,Ontario,35,7.3
2014/2015,Manitoba,46,7.7
2014/2015,Saskatchewan,47,8.3
2014/2015,Alberta,48,9.4
2014/2015,British Columbia,59,8.7
2014/2015,Yukon,60,12.8
2014/2015,Northwest Territories,61,11.9
2014/2015,Nunavut,62,1.9
2015/2016,Newfoundland and Labrador,10,9.3
2015/2016,Prince Edward Island,11,8.1
2015/2016,Nova Scotia,12,7.8
2015/2016,New Brunswick,13,6.8
2015/2016,Quebec,24,8.3
2015/2016,Ontario,35,7.5
2015/2016,Manitoba,46,7.8
2015/2016,Saskatchewan,47,8.5
2015/2016,Alberta,48,9.3
2015/2016,British Columbia,59,8.9
2015/2016,Yukon,60,13.2
2015/2016,Northwest Territories,61,11.8
2015/2016,Nunavut,62,1.8
2016/2017,Newfoundland and Labrador,10,9.2
2016/2017,Prince Edward Island,11,8.2
2016/2017,Nova Scotia,12,7.7
2016/2017,New Brunswick,13,7.0
2016/2017,Quebec,24,8.4
2016/2017,Ontario,35,7.7
2016/2017,Manitoba,46,7.8
2016/2017,Saskatchewan,47,8.3
2016/2017,Alberta,48,8.9
2016/2017,British Columbia,59,8.8
2016/2017,Yukon,60,13.3
2016/2017,Northwest Territories,61,11.5
2016/2017,Nunavut,62,1.7
2017/2018,Newfoundland and Labrador,10,9.1
2017/2018,Prince Edward Island,11,8.1
2017/2018,Nova Scotia,12,7.8
2017/2018,New Brunswick,13,6.9
2017/2018,Quebec,24,8.5
2017/2018,Ontario,35,7.7
2017/2018,Manitoba,46,7.7
2017/2018,Saskatchewan,47,8.0
2017/2018,Alberta,48,8.8
2017/2018,British Columbia,59,8.9
2017/2018,Yukon,60,13.1
2017/2018,Northwest Territories,61,12.1
2017/2018,Nunavut,62,2.8
2018/2019,Newfoundland and Labrador,10,8.8
2018/2019,Prince Edward Island,11,8.0
2018/2019,Nova Scotia,12,7.7
2018/2019,New Brunswick,13,6.8
2018/2019,Quebec,24,8.4
2018/2019,Ontario,35,7.5
2018/2019,Manitoba,46,7.5
2018/2019,Saskatchewan,47,7.8
2018/2019,Alberta,48,8.6
2018/2019,British Columbia,59,8.8
2018/2019,Yukon,60,13.0
2018/2019,Northwest Territories,61,11.9
2018/2019,Nunavut,62,3.6
2019/2020,Newfoundland and Labrador,10,8.8
2019/2020,Prince Edward Island,11,8.0
2019/2020,Nova Scotia,12,7.8
2019/2020,New Brunswick,13,6.9
2019/2020,Quebec,24,8.5
2019/2020,Ontario,35,7.6
2019/2020,Manitoba,46,7.5
2019/2020,Saskatchewan,47,7.4
2019/2020,Alberta,48,8.6
2019/2020,British Columbia,59,8.8
2019/2020,Yukon,60,13.0
2019/2020,Northwest Territories,61,11.7
2019/2020,Nunavut,62,3.8
2020/2021,Newfoundland and Labrador,10,9.2
2020/2021,Prince Edward Island,11,8.1
2020/2021,Nova Scotia,12,8.2
2020/2021,New Brunswick,13,7.7
2020/2021,Quebec,24,8.4
2020/2021,Ontario,35,7.8
2020/2021,Manitoba,46,8.0
2020/2021,Saskatchewan,47,7.9
2020/2021,Alberta,48,9.0
2020/2021,British Columbia,59,9.0
2020/2021,Yukon,60,13.3
2020/2021,Northwest Territories,61,13.4
2020/2021,Nunavut,62,4.2
2021/2022,Newfoundland and Labrador,10,9.0
2021/2022,Prince Edward Island,11,8.0
2021/2022,Nova Scotia,12,8.1
2021/2022,New Brunswick,13,7.6
2021/2022,Quebec,24,8.4
2021/2022,Ontario,35,7.6
2021/2022,Manitoba,46,7.7
2021/2022,Saskatchewan,47,7.8
2021/2022,Alberta,48,8.6
2021/2022,British Columbia,59,8.9
2021/2022,Yukon,60,12.3
2021/2022,Northwest Territories,61,12.0
2021/2022,Nunavut,62,3.9
2022/2023,Newfoundland and Labrador,10,8.7
2022/2023,Prince Edward Island,11,8.0
2022/2023,Nova Scotia,12,7.8
2022/2023,New Brunswick,13,7.2
2022/2023,Quebec,24,8.3
2022/2023,Ontario,35,7.3
2022/2023,Manitoba,46,7.5
2022/2023,Saskatchewan,47,7.9
2022/2023,Alberta,48,8.2
2022/2023,British Columbia,59,8.5
2022/2023,Yukon,60,12.0
2022/2023,Northwest Territories,61,11.5
2022/2023,Nunavut,62,4.6
2023/2024,Newfoundland and Labrador,10,8.3
2023/2024,Prince Edward Island,11,7.6
2023/2024,Nova Scotia,12,7.2
2023/2024,New Brunswick,13,6.9
2023/2024,Quebec,24,7.8
2023/2024,Ontario,35,6.8
2023/2024,Manitoba,46,7.1
2023/2024,Saskatchewan,47,6.6
2023/2024,Alberta,48,7.8
2023/2024,British Columbia,59,7.8
2023/2024,Yukon,60,11.5
2023/2024,Northwest Territories,61,10.8
2023/2024,Nunavut,62,4.7
