Year,Type of disease,Value
2015,,25.48
2016,,20.8
2017,,23.86
2018,,26.72
2019,,21.45
2020,,18.86
2021,,13.32
2022,,18.81
2023,,19.19
2015,Acute respiratory infections,21.89
2016,Acute respiratory infections,17.7
2017,Acute respiratory infections,20.83
2018,Acute respiratory infections,23.76
2019,Acute respiratory infections,18.8
2020,Acute respiratory infections,16.19
2021,Acute respiratory infections,10.96
2022,Acute respiratory infections,16.02
2023,Acute respiratory infections,16.16
2015,Diarrhea,3.06
2016,Diarrhea,2.63
2017,Diarrhea,2.48
2018,Diarrhea,2.38
2019,Diarrhea,2.15
2020,Diarrhea,2.07
2021,Diarrhea,1.72
2022,Diarrhea,2.03
2023,Diarrhea,2.4
2015,Intestinal nematode infections,0.0
2016,Intestinal nematode infections,0.0
2017,Intestinal nematode infections,0.0
2018,Intestinal nematode infections,0.0
2019,Intestinal nematode infections,0.0
2020,Intestinal nematode infections,0.0
2021,Intestinal nematode infections,0.0
2022,Intestinal nematode infections,0.0
2023,Intestinal nematode infections,0.0
2015,Protein-energy malnutrition,0.54
2016,Protein-energy malnutrition,0.46
2017,Protein-energy malnutrition,0.54
2018,Protein-energy malnutrition,0.58
2019,Protein-energy malnutrition,0.51
2020,Protein-energy malnutrition,0.61
2021,Protein-energy malnutrition,0.63
2022,Protein-energy malnutrition,0.77
2023,Protein-energy malnutrition,0.64
