Year,Antigen or vaccine,Target population,Geography,Gender,GeoCode,Value
2015,Diphtheria,Recommended vaccines for 2-year-old children,Canada,,,76.9
2015,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Canada,,,77.0
2015,Tetanus,Recommended vaccines for 2-year-old children,Canada,,,76.7
2015,Polio,Recommended vaccines for 2-year-old children,Canada,,,91.2
2015,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Canada,,,71.9
2015,Measles,Recommended vaccines for 2-year-old children,Canada,,,89.2
2015,Mumps,Recommended vaccines for 2-year-old children,Canada,,,88.9
2015,Rubella,Recommended vaccines for 2-year-old children,Canada,,,88.9
2015,Hepatitis B,Recommended vaccines for 2-year-old children,Canada,,,69.2
2015,Varicella,Recommended vaccines for 2-year-old children,Canada,,,74.8
2015,Meningococcal type C,Recommended vaccines for 2-year-old children,Canada,,,87.8
2015,Pneumococcal,Recommended vaccines for 2-year-old children,Canada,,,80.3
2015,Rotavirus,Recommended vaccines for 2-year-old children,Canada,,,75.4
2015,Diphtheria,Recommended vaccines for 7-year-old children,Canada,,,74.6
2015,Pertussis (whooping cough),Recommended vaccines for 7-year-old children,Canada,,,74.9
2015,Tetanus,Recommended vaccines for 7-year-old children,Canada,,,74.6
2015,Polio,Recommended vaccines for 7-year-old children,Canada,,,90.2
2015,Haemophilus influenzae type B (Hib),Recommended vaccines for 7-year-old children,Canada,,,77.3
2015,Measles,Recommended vaccines for 7-year-old children,Canada,,,85.8
2015,Mumps,Recommended vaccines for 7-year-old children,Canada,,,86.2
2015,Rubella,Recommended vaccines for 7-year-old children,Canada,,,93.5
2015,Human Papillomavirus (HPV),Recommended vaccines for 14-year-old children,Canada,Women+,,74.6
2015,Diphtheria,Recommended vaccines for 17-year-old children,Canada,,,62.2
2015,Pertussis (whooping cough),Recommended vaccines for 17-year-old children,Canada,,,60.2
2015,Tetanus,Recommended vaccines for 17-year-old children,Canada,,,60.9
2015,Polio,Recommended vaccines for 17-year-old children,Canada,,,87.2
2015,Haemophilus influenzae type B (Hib),Recommended vaccines for 17-year-old children,Canada,,,74.9
2015,Measles,Recommended vaccines for 17-year-old children,Canada,,,89.2
2015,Mumps,Recommended vaccines for 17-year-old children,Canada,,,87.7
2015,Rubella,Recommended vaccines for 17-year-old children,Canada,,,95.1
2015,Hepatitis B,Recommended vaccines for 17-year-old children,Canada,,,88.1
2017,Diphtheria,Recommended vaccines for 2-year-old children,Canada,,,75.8
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Canada,,,75.8
2017,Tetanus,Recommended vaccines for 2-year-old children,Canada,,,75.8
2017,Polio,Recommended vaccines for 2-year-old children,Canada,,,90.7
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Canada,,,73.4
2017,Measles,Recommended vaccines for 2-year-old children,Canada,,,90.2
2017,Mumps,Recommended vaccines for 2-year-old children,Canada,,,89.9
2017,Rubella,Recommended vaccines for 2-year-old children,Canada,,,90.0
2017,Hepatitis B,Recommended vaccines for 2-year-old children,Canada,,,74.1
2017,Varicella,Recommended vaccines for 2-year-old children,Canada,,,82.9
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Canada,,,87.6
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Canada,,,81.4
2017,Rotavirus,Recommended vaccines for 2-year-old children,Canada,,,78.8
2017,Diphtheria,Recommended vaccines for 7-year-old children,Canada,,,80.5
2017,Pertussis (whooping cough),Recommended vaccines for 7-year-old children,Canada,,,80.5
2017,Tetanus,Recommended vaccines for 7-year-old children,Canada,,,80.5
2017,Polio,Recommended vaccines for 7-year-old children,Canada,,,92.3
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 7-year-old children,Canada,,,83.9
2017,Measles,Recommended vaccines for 7-year-old children,Canada,,,87.0
2017,Mumps,Recommended vaccines for 7-year-old children,Canada,,,86.4
2017,Rubella,Recommended vaccines for 7-year-old children,Canada,,,94.5
2017,Hepatitis B,Recommended vaccines for 14-year-old children,Canada,,,83.1
2017,Hepatitis B,Recommended vaccines for 14-year-old children,Canada,Men+,,82.1
2017,Hepatitis B,Recommended vaccines for 14-year-old children,Canada,Women+,,84.1
2017,Human Papillomavirus (HPV),Recommended vaccines for 14-year-old children,Canada,Women+,,83.0
2017,"Diphtheria, Tetanus, acellular Pertussis (Tdap) booster",Recommended vaccines for 17-year-old children,Canada,,,89.3
2017,Diphtheria,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,88.9
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,88.9
2017,Tetanus,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,88.9
2017,Polio,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,96.9
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,87.7
2017,Measles,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,96.9
2017,Mumps,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,96.9
2017,Rubella,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,96.9
2017,Varicella,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,95.1
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,93.2
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Newfoundland and Labrador,,10,90.2
2017,Diphtheria,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,81.2
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Prince Edward Island,,11,81.2
2017,Tetanus,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,81.2
2017,Polio,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,93.9
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Prince Edward Island,,11,79.8
2017,Measles,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,93.2
2017,Mumps,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,92.6
2017,Rubella,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,92.6
2017,Hepatitis B,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,86.7
2017,Varicella,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,92.0
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,92.7
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,89.5
2017,Rotavirus,Recommended vaccines for 2-year-old children,Prince Edward Island,,11,85.9
2017,Diphtheria,Recommended vaccines for 2-year-old children,Nova Scotia,,12,73.8
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Nova Scotia,,12,73.8
2017,Tetanus,Recommended vaccines for 2-year-old children,Nova Scotia,,12,73.8
2017,Polio,Recommended vaccines for 2-year-old children,Nova Scotia,,12,93.5
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Nova Scotia,,12,68.5
2017,Measles,Recommended vaccines for 2-year-old children,Nova Scotia,,12,87.1
2017,Mumps,Recommended vaccines for 2-year-old children,Nova Scotia,,12,86.8
2017,Rubella,Recommended vaccines for 2-year-old children,Nova Scotia,,12,86.8
2017,Varicella,Recommended vaccines for 2-year-old children,Nova Scotia,,12,84.8
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Nova Scotia,,12,81.8
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Nova Scotia,,12,80.4
2017,Diphtheria,Recommended vaccines for 2-year-old children,New Brunswick,,13,75.5
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,New Brunswick,,13,75.5
2017,Tetanus,Recommended vaccines for 2-year-old children,New Brunswick,,13,75.5
2017,Polio,Recommended vaccines for 2-year-old children,New Brunswick,,13,90.1
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,New Brunswick,,13,74.7
2017,Measles,Recommended vaccines for 2-year-old children,New Brunswick,,13,92.0
2017,Mumps,Recommended vaccines for 2-year-old children,New Brunswick,,13,92.0
2017,Rubella,Recommended vaccines for 2-year-old children,New Brunswick,,13,92.0
2017,Hepatitis B,Recommended vaccines for 2-year-old children,New Brunswick,,13,81.0
2017,Varicella,Recommended vaccines for 2-year-old children,New Brunswick,,13,90.9
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,New Brunswick,,13,88.3
2017,Pneumococcal,Recommended vaccines for 2-year-old children,New Brunswick,,13,82.2
2017,Diphtheria,Recommended vaccines for 2-year-old children,Ontario,,35,75.7
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Ontario,,35,75.7
2017,Tetanus,Recommended vaccines for 2-year-old children,Ontario,,35,75.7
2017,Polio,Recommended vaccines for 2-year-old children,Ontario,,35,91.0
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Ontario,,35,72.9
2017,Measles,Recommended vaccines for 2-year-old children,Ontario,,35,90.9
2017,Mumps,Recommended vaccines for 2-year-old children,Ontario,,35,90.5
2017,Rubella,Recommended vaccines for 2-year-old children,Ontario,,35,90.5
2017,Varicella,Recommended vaccines for 2-year-old children,Ontario,,35,84.3
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Ontario,,35,85.7
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Ontario,,35,80.5
2017,Rotavirus,Recommended vaccines for 2-year-old children,Ontario,,35,77.7
2017,Diphtheria,Recommended vaccines for 2-year-old children,Quebec,,24,73.7
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Quebec,,24,73.7
2017,Tetanus,Recommended vaccines for 2-year-old children,Quebec,,24,73.7
2017,Polio,Recommended vaccines for 2-year-old children,Quebec,,24,90.9
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Quebec,,24,71.3
2017,Measles,Recommended vaccines for 2-year-old children,Quebec,,24,91.0
2017,Mumps,Recommended vaccines for 2-year-old children,Quebec,,24,90.5
2017,Rubella,Recommended vaccines for 2-year-old children,Quebec,,24,90.5
2017,Hepatitis B,Recommended vaccines for 2-year-old children,Quebec,,24,75.7
2017,Varicella,Recommended vaccines for 2-year-old children,Quebec,,24,76.1
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Quebec,,24,89.9
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Quebec,,24,83.3
2017,Rotavirus,Recommended vaccines for 2-year-old children,Quebec,,24,81.0
2017,Diphtheria,Recommended vaccines for 2-year-old children,Manitoba,,46,67.5
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Manitoba,,46,67.5
2017,Tetanus,Recommended vaccines for 2-year-old children,Manitoba,,46,67.5
2017,Polio,Recommended vaccines for 2-year-old children,Manitoba,,46,85.6
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Manitoba,,46,62.2
2017,Measles,Recommended vaccines for 2-year-old children,Manitoba,,46,86.1
2017,Mumps,Recommended vaccines for 2-year-old children,Manitoba,,46,85.9
2017,Rubella,Recommended vaccines for 2-year-old children,Manitoba,,46,86.2
2017,Varicella,Recommended vaccines for 2-year-old children,Manitoba,,46,81.6
2017,Meningococcal type C,Recommended vaccines for 2-year-old children,Manitoba,,46,82.2
2017,Pneumococcal,Recommended vaccines for 2-year-old children,Manitoba,,46,74.6
2017,Rotavirus,Recommended vaccines for 2-year-old children,Manitoba,,46,68.4
2017,Diphtheria,Recommended vaccines for 2-year-old children,Saskatchewan,,47,78.6
2017,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Saskatchewan,,47,78.6
2017,Tetanus,Recommended vaccines for 2-year-old children,Saskatchewan,,47,78.6
2017,Polio,Recommended vaccines for 2-year-old children,Saskatchewan,,47,90.0
2017,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Saskatchewan,,47,75.1
2017,Measles,Recommended vaccines for 2-year-old children,Saskatchewan,,47,89.5
2017,Mumps,Recommended vaccines for 2-year-old children,Saskatchewan,,47,89.5
2017,Rubella,Recommended vaccines for 2-year-old children,Saskatchewan,,47,89.5
2017,Varicella,Recommended vaccines for 2-year-old children,Saskatchewan,,47,84.8
