Year,Series,Units,Education level,Age group,Sex,Location,COMMENT_OBS,Value
2015,Completion rate,Adjusted gender parity index,Primary education,,,,Modelled data,1.0
2016,Completion rate,Adjusted gender parity index,Primary education,,,,Modelled data,1.0
2015,Completion rate,Adjusted gender parity index,Lower secondary education,,,,Modelled data,1.01
2016,Completion rate,Adjusted gender parity index,Lower secondary education,,,,Modelled data,1.01
2015,Completion rate,Adjusted gender parity index,Upper secondary education,,,,,1.01
2016,Completion rate,Adjusted gender parity index,Upper secondary education,,,,,1.05
2017,Completion rate,Adjusted gender parity index,Upper secondary education,,,,,1.01
2015,Completion rate,Adjusted location parity index,Upper secondary education,,,,,0.94
2016,Completion rate,Adjusted location parity index,Upper secondary education,,,,,1.01
2017,Completion rate,Adjusted location parity index,Upper secondary education,,,,,0.95
2015,Completion rate,Adjusted wealth parity index,Upper secondary education,,,,,0.9
2016,Completion rate,Adjusted wealth parity index,Upper secondary education,,,,,0.89
2017,Completion rate,Adjusted wealth parity index,Upper secondary education,,,,,0.94
2015,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0
2016,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0
2017,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0
2018,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0
2019,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0
2020,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0
2021,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0
2022,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0
2023,Educational attainment rate,Adjusted gender parity index,At least some primary (ISCED 1),,,,,1.0
2015,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,0.99
2016,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0
2017,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0
2018,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,0.99
2019,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,0.99
2020,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,0.99
2021,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,0.99
2022,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0
2023,Educational attainment rate,Adjusted gender parity index,Completed primary education or higher,,,,,1.0
2015,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,0.99
2016,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0
2017,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0
2018,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,0.99
2019,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,0.99
2020,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,0.99
2021,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,0.99
2022,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0
2023,Educational attainment rate,Adjusted gender parity index,Completed lower secondary education or higher,,,,,1.0
2015,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.0
2016,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.01
2017,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.01
2018,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.01
2019,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.01
2020,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.01
2021,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.01
2022,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.01
2023,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,,,1.01
2016,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Rural,,1.06
2021,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Rural,,1.06
2016,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Urban,,1.0
2021,Educational attainment rate,Adjusted gender parity index,Completed upper secondary education or higher,,,Urban,,1.0
2015,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.0
2017,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.02
2018,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.02
2019,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.02
2020,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.03
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.02
2022,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.04
2023,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,,,1.03
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Rural,,1.03
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Rural,,1.05
2016,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Urban,,0.99
2021,Educational attainment rate,Adjusted gender parity index,Completed post-secondary non-tertiary education or higher,,,Urban,,1.01
2015,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.0
2016,Educational attainment rate,Adjusted gender parity index,Completed short-cycle tertiary education or higher,,,,,1.16
