Year,Government,Elected officials,Geography,GeoCode,Value
2015,National,Members of Parliament,Canada,,25.3
2016,National,Members of Parliament,Canada,,26.1
2017,National,Members of Parliament,Canada,,27.2
2018,National,Members of Parliament,Canada,,27.0
2019,National,Members of Parliament,Canada,,27.2
2020,National,Members of Parliament,Canada,,29.0
2021,National,Members of Parliament,Canada,,29.4
2022,National,Members of Parliament,Canada,,30.6
2023,National,Members of Parliament,Canada,,30.6
2015,National,Members of Cabinet,Canada,,30.8
2016,National,Members of Cabinet,Canada,,50.0
2017,National,Members of Cabinet,Canada,,50.0
2022,National,Members of Cabinet,Canada,,48.7
2023,National,Members of Cabinet,Canada,,48.7
2015,National,Members of Parliament,Newfoundland and Labrador,10,28.6
2016,National,Members of Parliament,Newfoundland and Labrador,10,42.9
2017,National,Members of Parliament,Newfoundland and Labrador,10,42.9
2018,National,Members of Parliament,Newfoundland and Labrador,10,28.6
2019,National,Members of Parliament,Newfoundland and Labrador,10,28.6
2020,National,Members of Parliament,Newfoundland and Labrador,10,28.6
2021,National,Members of Parliament,Newfoundland and Labrador,10,28.6
2022,National,Members of Parliament,Newfoundland and Labrador,10,42.9
2023,National,Members of Parliament,Newfoundland and Labrador,10,42.9
2015,National,Members of Cabinet,Newfoundland and Labrador,10,0.0
2016,National,Members of Cabinet,Newfoundland and Labrador,10,100.0
2017,National,Members of Cabinet,Newfoundland and Labrador,10,100.0
2022,National,Members of Cabinet,Newfoundland and Labrador,10,50.0
2023,National,Members of Cabinet,Newfoundland and Labrador,10,50.0
2015,National,Members of Parliament,Prince Edward Island,11,25.0
2016,National,Members of Parliament,Prince Edward Island,11,0.0
2017,National,Members of Parliament,Prince Edward Island,11,0.0
2018,National,Members of Parliament,Prince Edward Island,11,0.0
2019,National,Members of Parliament,Prince Edward Island,11,0.0
2020,National,Members of Parliament,Prince Edward Island,11,0.0
2021,National,Members of Parliament,Prince Edward Island,11,0.0
2022,National,Members of Parliament,Prince Edward Island,11,0.0
2023,National,Members of Parliament,Prince Edward Island,11,0.0
2015,National,Members of Cabinet,Prince Edward Island,11,100.0
2016,National,Members of Cabinet,Prince Edward Island,11,0.0
2017,National,Members of Cabinet,Prince Edward Island,11,0.0
2022,National,Members of Cabinet,Prince Edward Island,11,0.0
2023,National,Members of Cabinet,Prince Edward Island,11,0.0
2015,National,Members of Parliament,Nova Scotia,12,9.1
2016,National,Members of Parliament,Nova Scotia,12,9.1
2017,National,Members of Parliament,Nova Scotia,12,9.1
2018,National,Members of Parliament,Nova Scotia,12,9.1
2019,National,Members of Parliament,Nova Scotia,12,10.0
2020,National,Members of Parliament,Nova Scotia,12,18.2
2021,National,Members of Parliament,Nova Scotia,12,18.2
2022,National,Members of Parliament,Nova Scotia,12,9.1
2023,National,Members of Parliament,Nova Scotia,12,9.1
2015,National,Members of Cabinet,Nova Scotia,12,0.0
2016,National,Members of Cabinet,Nova Scotia,12,0.0
2017,National,Members of Cabinet,Nova Scotia,12,0.0
2022,National,Members of Cabinet,Nova Scotia,12,0.0
2023,National,Members of Cabinet,Nova Scotia,12,0.0
2015,National,Members of Parliament,New Brunswick,13,10.0
2016,National,Members of Parliament,New Brunswick,13,30.0
2017,National,Members of Parliament,New Brunswick,13,30.0
2018,National,Members of Parliament,New Brunswick,13,30.0
2019,National,Members of Parliament,New Brunswick,13,30.0
2020,National,Members of Parliament,New Brunswick,13,20.0
2021,National,Members of Parliament,New Brunswick,13,20.0
2022,National,Members of Parliament,New Brunswick,13,20.0
2023,National,Members of Parliament,New Brunswick,13,20.0
2015,National,Members of Cabinet,New Brunswick,13,0.0
2016,National,Members of Cabinet,New Brunswick,13,0.0
2017,National,Members of Cabinet,New Brunswick,13,0.0
2022,National,Members of Cabinet,New Brunswick,13,50.0
2023,National,Members of Cabinet,New Brunswick,13,50.0
2015,National,Members of Parliament,Quebec,24,37.3
2016,National,Members of Parliament,Quebec,24,24.4
2017,National,Members of Parliament,Quebec,24,25.6
2018,National,Members of Parliament,Quebec,24,25.6
2019,National,Members of Parliament,Quebec,24,27.3
2020,National,Members of Parliament,Quebec,24,33.3
2021,National,Members of Parliament,Quebec,24,33.3
2022,National,Members of Parliament,Quebec,24,35.9
2023,National,Members of Parliament,Quebec,24,37.2
2015,National,Members of Cabinet,Quebec,24,0.0
2016,National,Members of Cabinet,Quebec,24,42.9
2017,National,Members of Cabinet,Quebec,24,42.9
2022,National,Members of Cabinet,Quebec,24,36.4
2023,National,Members of Cabinet,Quebec,24,36.4
2015,National,Members of Parliament,Ontario,35,19.6
2016,National,Members of Parliament,Ontario,35,31.4
2017,National,Members of Parliament,Ontario,35,33.1
2018,National,Members of Parliament,Ontario,35,34.2
2019,National,Members of Parliament,Ontario,35,33.9
2020,National,Members of Parliament,Ontario,35,31.4
2021,National,Members of Parliament,Ontario,35,32.5
2022,National,Members of Parliament,Ontario,35,36.7
2023,National,Members of Parliament,Ontario,35,36.4
2015,National,Members of Cabinet,Ontario,35,20.0
2016,National,Members of Cabinet,Ontario,35,72.7
2017,National,Members of Cabinet,Ontario,35,75.0
2022,National,Members of Cabinet,Ontario,35,68.8
2023,National,Members of Cabinet,Ontario,35,68.8
2015,National,Members of Parliament,Manitoba,46,35.7
2016,National,Members of Parliament,Manitoba,46,21.4
2017,National,Members of Parliament,Manitoba,46,21.4
2018,National,Members of Parliament,Manitoba,46,21.4
2019,National,Members of Parliament,Manitoba,46,21.4
2020,National,Members of Parliament,Manitoba,46,28.6
2021,National,Members of Parliament,Manitoba,46,28.6
2022,National,Members of Parliament,Manitoba,46,28.6
2023,National,Members of Parliament,Manitoba,46,21.4
2015,National,Members of Cabinet,Manitoba,46,100.0
2016,National,Members of Cabinet,Manitoba,46,50.0
2017,National,Members of Cabinet,Manitoba,46,0.0
2022,National,Members of Cabinet,Manitoba,46,0.0
2023,National,Members of Cabinet,Manitoba,46,0.0
2015,National,Members of Parliament,Saskatchewan,47,14.3
2016,National,Members of Parliament,Saskatchewan,47,28.6
2017,National,Members of Parliament,Saskatchewan,47,28.6
2018,National,Members of Parliament,Saskatchewan,47,35.7
2019,National,Members of Parliament,Saskatchewan,47,35.7
2020,National,Members of Parliament,Saskatchewan,47,21.4
2021,National,Members of Parliament,Saskatchewan,47,21.4
2022,National,Members of Parliament,Saskatchewan,47,21.4
2023,National,Members of Parliament,Saskatchewan,47,21.4
2015,National,Members of Cabinet,Saskatchewan,47,50.0
2016,National,Members of Cabinet,Saskatchewan,47,0.0
2017,National,Members of Cabinet,Saskatchewan,47,0.0
2022,National,Members of Cabinet,Saskatchewan,47,0.0
2023,National,Members of Cabinet,Saskatchewan,47,0.0
2015,National,Members of Parliament,Alberta,48,17.9
2016,National,Members of Parliament,Alberta,48,15.2
2017,National,Members of Parliament,Alberta,48,17.6
2018,National,Members of Parliament,Alberta,48,14.7
2019,National,Members of Parliament,Alberta,48,14.7
2020,National,Members of Parliament,Alberta,48,17.6
2021,National,Members of Parliament,Alberta,48,17.6
2022,National,Members of Parliament,Alberta,48,17.6
2023,National,Members of Parliament,Alberta,48,18.2
2015,National,Members of Cabinet,Alberta,48,33.3
2016,National,Members of Cabinet,Alberta,48,0.0
2017,National,Members of Cabinet,Alberta,48,0.0
2022,National,Members of Cabinet,Alberta,48,0.0
2023,National,Members of Cabinet,Alberta,48,0.0
2015,National,Members of Parliament,British Columbia,59,30.6
2016,National,Members of Parliament,British Columbia,59,28.6
2017,National,Members of Parliament,British Columbia,59,28.6
2018,National,Members of Parliament,British Columbia,59,26.2
2019,National,Members of Parliament,British Columbia,59,24.4
2020,National,Members of Parliament,British Columbia,59,33.3
2021,National,Members of Parliament,British Columbia,59,33.3
2022,National,Members of Parliament,British Columbia,59,26.2
2023,National,Members of Parliament,British Columbia,59,26.2
2015,National,Members of Cabinet,British Columbia,59,40.0
2016,National,Members of Cabinet,British Columbia,59,66.7
2017,National,Members of Cabinet,British Columbia,59,66.7
2022,National,Members of Cabinet,British Columbia,59,50.0
2023,National,Members of Cabinet,British Columbia,59,50.0
2015,National,Members of Parliament,Yukon,60,0.0
2016,National,Members of Parliament,Yukon,60,0.0
2017,National,Members of Parliament,Yukon,60,0.0
2018,National,Members of Parliament,Yukon,60,0.0
2019,National,Members of Parliament,Yukon,60,0.0
2020,National,Members of Parliament,Yukon,60,0.0
2021,National,Members of Parliament,Yukon,60,0.0
2022,National,Members of Parliament,Yukon,60,0.0
2023,National,Members of Parliament,Yukon,60,0.0
2015,National,Members of Cabinet,Yukon,60,0.0
2016,National,Members of Cabinet,Yukon,60,0.0
2017,National,Members of Cabinet,Yukon,60,0.0
2022,National,Members of Cabinet,Yukon,60,0.0
2023,National,Members of Cabinet,Yukon,60,0.0
2015,National,Members of Parliament,Northwest Territories,61,0.0
2016,National,Members of Parliament,Northwest Territories,61,0.0
2017,National,Members of Parliament,Northwest Territories,61,0.0
2018,National,Members of Parliament,Northwest Territories,61,0.0
2019,National,Members of Parliament,Northwest Territories,61,0.0
2020,National,Members of Parliament,Northwest Territories,61,0.0
2021,National,Members of Parliament,Northwest Territories,61,0.0
2022,National,Members of Parliament,Northwest Territories,61,0.0
2023,National,Members of Parliament,Northwest Territories,61,0.0
2015,National,Members of Cabinet,Northwest Territories,61,0.0
2016,National,Members of Cabinet,Northwest Territories,61,0.0
2017,National,Members of Cabinet,Northwest Territories,61,0.0
2022,National,Members of Cabinet,Northwest Territories,61,0.0
2023,National,Members of Cabinet,Northwest Territories,61,0.0
2015,National,Members of Parliament,Nunavut,62,100.0
2016,National,Members of Parliament,Nunavut,62,0.0
2017,National,Members of Parliament,Nunavut,62,0.0
2018,National,Members of Parliament,Nunavut,62,0.0
2019,National,Members of Parliament,Nunavut,62,0.0
2020,National,Members of Parliament,Nunavut,62,100.0
2021,National,Members of Parliament,Nunavut,62,100.0
2022,National,Members of Parliament,Nunavut,62,100.0
2023,National,Members of Parliament,Nunavut,62,100.0
2015,National,Members of Cabinet,Nunavut,62,100.0
2016,National,Members of Cabinet,Nunavut,62,0.0
2017,National,Members of Cabinet,Nunavut,62,0.0
2022,National,Members of Cabinet,Nunavut,62,0.0
2023,National,Members of Cabinet,Nunavut,62,0.0
2015,Local,Chiefs in First Nation communities,Canada,,19.5
2015,Local,First Nations council members,Canada,,30.5
2016,Local,Chiefs in First Nation communities,Canada,,19.7
2016,Local,First Nations council members,Canada,,30.7
2017,Local,Chiefs in First Nation communities,Canada,,18.8
2017,Local,First Nations council members,Canada,,28.6
2018,Local,Chiefs in First Nation communities,Canada,,20.4
2018,Local,First Nations council members,Canada,,28.2
2019,Local,Chiefs in First Nation communities,Canada,,18.5
2019,Local,First Nations council members,Canada,,27.4
