Year,Geography,Value
2015,,3.98
2015,Newfoundland and Labrador,3.85
2015,Prince Edward Island,3.63
2015,Nova Scotia,3.54
2015,New Brunswick,4.16
2015,Quebec,3.96
2015,Ontario,3.19
2015,Manitoba,4.04
2015,Saskatchewan,6.3
2015,Alberta,6.05
2015,British Columbia,3.18
2015,Yukon,3.04
2015,Northwest Territories,4.1
2015,Nunavut,3.28
2016,,3.92
2016,Newfoundland and Labrador,3.8
2016,Prince Edward Island,3.64
2016,Nova Scotia,3.38
2016,New Brunswick,4.18
2016,Quebec,3.88
2016,Ontario,3.13
2016,Manitoba,4.09
2016,Saskatchewan,6.21
2016,Alberta,6.03
2016,British Columbia,3.29
2016,Yukon,2.83
2016,Northwest Territories,3.34
2016,Nunavut,2.86
2017,,3.95
2017,Newfoundland and Labrador,3.72
2017,Prince Edward Island,3.5
2017,Nova Scotia,3.47
2017,New Brunswick,3.95
2017,Quebec,
2017,Ontario,3.09
2017,Manitoba,4.04
2017,Saskatchewan,6.51
2017,Alberta,6.28
2017,British Columbia,
2017,Yukon,2.98
2017,Northwest Territories,3.62
2017,Nunavut,2.35
2018,,4.02
2018,Newfoundland and Labrador,3.79
2018,Prince Edward Island,3.39
2018,Nova Scotia,3.53
2018,New Brunswick,4.0
2018,Quebec,3.84
2018,Ontario,3.09
2018,Manitoba,4.19
2018,Saskatchewan,6.88
2018,Alberta,6.57
2018,British Columbia,3.32
2018,Yukon,3.28
2018,Northwest Territories,3.53
2018,Nunavut,2.44
2019,,3.98
2019,Newfoundland and Labrador,3.65
2019,Prince Edward Island,3.36
2019,Nova Scotia,3.34
2019,New Brunswick,3.93
2019,Quebec,3.83
2019,Ontario,3.03
2019,Manitoba,4.07
2019,Saskatchewan,6.9
2019,Alberta,6.74
2019,British Columbia,3.24
2019,Yukon,3.41
2019,Northwest Territories,3.6
2019,Nunavut,2.32
2020,,3.76
2020,Newfoundland and Labrador,3.2
2020,Prince Edward Island,3.43
2020,Nova Scotia,3.11
2020,New Brunswick,3.65
2020,Quebec,3.56
2020,Ontario,2.79
2020,Manitoba,3.93
2020,Saskatchewan,6.73
2020,Alberta,6.65
2020,British Columbia,3.02
2020,Yukon,2.88
2020,Northwest Territories,3.38
2020,Nunavut,1.81
2021,,3.65
2021,Newfoundland and Labrador,3.17
2021,Prince Edward Island,3.25
2021,Nova Scotia,2.95
2021,New Brunswick,3.44
2021,Quebec,3.48
2021,Ontario,2.66
2021,Manitoba,3.83
2021,Saskatchewan,7.35
2021,Alberta,6.58
2021,British Columbia,2.86
2021,Yukon,2.92
2021,Northwest Territories,3.38
2021,Nunavut,1.85
2022,,3.63
2022,Newfoundland and Labrador,3.4
2022,Prince Edward Island,3.05
2022,Nova Scotia,2.92
2022,New Brunswick,3.53
2022,Quebec,3.51
2022,Ontario,2.66
2022,Manitoba,3.89
2022,Saskatchewan,6.96
2022,Alberta,6.36
2022,British Columbia,2.85
2022,Yukon,2.94
2022,Northwest Territories,3.59
2022,Nunavut,1.9
2023,,3.51
2023,Newfoundland and Labrador,3.45
2023,Prince Edward Island,2.96
2023,Nova Scotia,2.83
2023,New Brunswick,3.31
2023,Quebec,3.46
2023,Ontario,2.6
2023,Manitoba,3.68
2023,Saskatchewan,6.55
2023,Alberta,6.06
2023,British Columbia,2.71
2023,Yukon,3.0
2023,Northwest Territories,3.37
2023,Nunavut,2.02
2024,,3.46
2024,Newfoundland and Labrador,3.39
2024,Prince Edward Island,2.85
2024,Nova Scotia,2.75
2024,New Brunswick,3.28
2024,Quebec,3.4
2024,Ontario,2.53
2024,Manitoba,3.64
2024,Saskatchewan,6.42
2024,Alberta,6.05
2024,British Columbia,2.69
2024,Yukon,3.18
2024,Northwest Territories,3.37
2024,Nunavut,2.04
