Year,Geography,Progress,GeoCode,Value
2015,Alberta,145528943.88,48,-4.24
2016,Alberta,144634945.18,48,-0.61
2017,Alberta,149772809.23,48,3.55
2018,Alberta,148714517.62,48,-0.71
2019,Alberta,147161570.16,48,-1.04
2020,Alberta,146331945.16,48,-0.56
2021,Alberta,146518990.16,48,0.13
2022,Alberta,147999151.1,48,1.01
2023,Alberta,146057889.13,48,-1.31
2015,British Columbia,111378105.26,59,0.11
2016,British Columbia,110325394.57,59,-0.95
2017,British Columbia,110142026.61,59,-0.17
2018,British Columbia,111951415.76,59,1.64
2019,British Columbia,111841035.4,59,-0.1
2020,British Columbia,114974478.69,59,2.8
2021,British Columbia,116606803.53,59,1.42
2022,British Columbia,117218719.6,59,0.52
2023,British Columbia,116963376.52,59,-0.22
2015,,115149911.52,,-0.02
2016,,115635418.46,,0.42
2017,,116515224.09,,0.76
2018,,117571231.54,,0.91
2019,,117526847.33,,-0.04
2020,,117796607.36,,0.23
2021,,118911996.88,,0.95
2022,,119026571.09,,0.1
2023,,117308407.26,,-1.44
2015,Manitoba,106649945.13,46,-0.31
2016,Manitoba,108177115.99,46,1.43
2017,Manitoba,109872071.52,46,1.57
2018,Manitoba,111150550.8,46,1.16
2019,Manitoba,111101874.24,46,-0.04
2020,Manitoba,110907803.65,46,-0.17
2021,Manitoba,107677710.84,46,-2.91
2022,Manitoba,108307893.59,46,0.59
2023,Manitoba,107192982.46,46,-1.03
2015,New Brunswick,97769946.43,13,1.42
2016,New Brunswick,97760067.11,13,-0.01
2017,New Brunswick,99688369.5,13,1.97
2018,New Brunswick,100633509.31,13,0.95
2019,New Brunswick,101476361.63,13,0.84
2020,New Brunswick,100691322.9,13,-0.77
2021,New Brunswick,102224355.46,13,1.52
2022,New Brunswick,101243343.98,13,-0.96
2023,New Brunswick,99423571.8,13,-1.8
2015,Newfoundland and Labrador,136230737.19,10,-1.25
2016,Newfoundland and Labrador,141220757.12,10,3.66
2017,Newfoundland and Labrador,148540564.37,10,5.18
2018,Newfoundland and Labrador,144017543.86,10,-3.04
2019,Newfoundland and Labrador,147674016.43,10,2.54
2020,Newfoundland and Labrador,149618039.58,10,1.32
2021,Newfoundland and Labrador,145872945.36,10,-2.5
2022,Newfoundland and Labrador,137485055.51,10,-5.75
2023,Newfoundland and Labrador,131590432.23,10,-4.29
2015,Nova Scotia,94361054.77,12,1.4
2016,Nova Scotia,96245756.96,12,2.0
2017,Nova Scotia,97378597.12,12,1.18
2018,Nova Scotia,97710042.12,12,0.34
2019,Nova Scotia,98288055.2,12,0.59
2020,Nova Scotia,97300983.9,12,-1.0
2021,Nova Scotia,97350157.73,12,0.05
2022,Nova Scotia,97313554.16,12,-0.04
2023,Nova Scotia,96673263.41,12,-0.66
2015,Ontario,114512655.37,35,1.87
2016,Ontario,115706251.35,35,1.04
2017,Ontario,116043858.66,35,0.29
2018,Ontario,117677062.04,35,1.41
2019,Ontario,117334916.16,35,-0.29
2020,Ontario,117878439.39,35,0.46
2021,Ontario,118929883.32,35,0.89
2022,Ontario,118096881.8,35,-0.7
2023,Ontario,116505789.34,35,-1.35
2015,Prince Edward Island,87359009.63,11,2.24
2016,Prince Edward Island,89972260.75,11,2.99
2017,Prince Edward Island,91522911.05,11,1.72
2018,Prince Edward Island,90749014.45,11,-0.85
2019,Prince Edward Island,92471190.78,11,1.9
2020,Prince Edward Island,91902887.14,11,-0.61
2021,Prince Edward Island,94400000.0,11,2.72
2022,Prince Edward Island,93769322.24,11,-0.67
2023,Prince Edward Island,90279955.21,11,-3.72
2015,Quebec,99114525.35,24,0.35
2016,Quebec,100166354.96,24,1.06
2017,Quebec,100519795.44,24,0.35
2018,Quebec,101396116.14,24,0.87
2019,Quebec,102884682.46,24,1.47
2020,Quebec,103105810.4,24,0.21
2021,Quebec,106060584.73,24,2.87
2022,Quebec,106385473.59,24,0.31
2023,Quebec,103973644.64,24,-2.27
2015,Saskatchewan,138449160.04,47,-0.32
2016,Saskatchewan,139426127.25,47,0.71
2017,Saskatchewan,142679111.11,47,2.33
2018,Saskatchewan,144355980.18,47,1.18
2019,Saskatchewan,141376849.43,47,-2.06
2020,Saskatchewan,142602237.3,47,0.87
2021,Saskatchewan,135629589.83,47,-4.89
2022,Saskatchewan,140534787.12,47,3.62
2023,Saskatchewan,141575809.2,47,0.74
