Year,Series,Units,Geography,GeoCode,Value
2015,MVA as a proportion of GDP,Percentage (%),,,11.49
2015,MVA as a proportion of GDP,Percentage (%),Newfoundland and Labrador,10,8.78
2015,MVA as a proportion of GDP,Percentage (%),Prince Edward Island,11,11.67
2015,MVA as a proportion of GDP,Percentage (%),Nova Scotia,12,7.37
2015,MVA as a proportion of GDP,Percentage (%),New Brunswick,13,8.4
2015,MVA as a proportion of GDP,Percentage (%),Quebec,24,15.01
2015,MVA as a proportion of GDP,Percentage (%),Ontario,35,13.46
2015,MVA as a proportion of GDP,Percentage (%),Manitoba,46,11.52
2015,MVA as a proportion of GDP,Percentage (%),Saskatchewan,47,5.58
2015,MVA as a proportion of GDP,Percentage (%),Alberta,48,8.65
2015,MVA as a proportion of GDP,Percentage (%),British Columbia,59,7.49
2015,MVA as a proportion of GDP,Percentage (%),Yukon,60,0.67
2015,MVA as a proportion of GDP,Percentage (%),Northwest Territories,61,
2015,MVA as a proportion of GDP,Percentage (%),Nunavut,62,
2016,MVA as a proportion of GDP,Percentage (%),,,11.2
2016,MVA as a proportion of GDP,Percentage (%),Newfoundland and Labrador,10,5.29
2016,MVA as a proportion of GDP,Percentage (%),Prince Edward Island,11,11.01
2016,MVA as a proportion of GDP,Percentage (%),Nova Scotia,12,8.35
2016,MVA as a proportion of GDP,Percentage (%),New Brunswick,13,10.12
2016,MVA as a proportion of GDP,Percentage (%),Quebec,24,14.86
2016,MVA as a proportion of GDP,Percentage (%),Ontario,35,12.96
2016,MVA as a proportion of GDP,Percentage (%),Manitoba,46,10.28
2016,MVA as a proportion of GDP,Percentage (%),Saskatchewan,47,6.2
2016,MVA as a proportion of GDP,Percentage (%),Alberta,48,8.14
2016,MVA as a proportion of GDP,Percentage (%),British Columbia,59,7.34
2016,MVA as a proportion of GDP,Percentage (%),Yukon,60,0.67
2016,MVA as a proportion of GDP,Percentage (%),Northwest Territories,61,
2016,MVA as a proportion of GDP,Percentage (%),Nunavut,62,
2017,MVA as a proportion of GDP,Percentage (%),,,11.29
2017,MVA as a proportion of GDP,Percentage (%),Newfoundland and Labrador,10,5.39
2017,MVA as a proportion of GDP,Percentage (%),Prince Edward Island,11,11.03
2017,MVA as a proportion of GDP,Percentage (%),Nova Scotia,12,7.42
2017,MVA as a proportion of GDP,Percentage (%),New Brunswick,13,11.17
2017,MVA as a proportion of GDP,Percentage (%),Quebec,24,15.11
2017,MVA as a proportion of GDP,Percentage (%),Ontario,35,13.05
2017,MVA as a proportion of GDP,Percentage (%),Manitoba,46,10.25
2017,MVA as a proportion of GDP,Percentage (%),Saskatchewan,47,5.92
2017,MVA as a proportion of GDP,Percentage (%),Alberta,48,8.13
2017,MVA as a proportion of GDP,Percentage (%),British Columbia,59,7.71
