Year,Industry,Geography,GeoCode,Value
2015,,,,9.49
2016,,,,9.28
2017,,,,9.26
2018,,,,9.32
2019,,,,9.3
2020,,,,9.33
2021,,,,9.22
2022,,,,8.9
2023,,,,8.7
2024,,,,8.59
2015,Non-durable goods,Canada,,3.86
2015,Food manufacturing,Canada,,1.42
2015,Animal food manufacturing,Canada,,0.06
2015,Grain and oilseed milling,Canada,,0.05
2015,Sugar and confectionery product manufacturing,Canada,,0.07
2015,Fruit and vegetable preserving and specialty food manufacturing,Canada,,0.11
2015,Dairy product manufacturing,Canada,,0.15
2015,Meat product manufacturing,Canada,,0.36
2015,Seafood product preparation and packaging,Canada,,0.15
2015,Bakeries and tortilla manufacturing,Canada,,0.28
2015,Other food manufacturing,Canada,,0.19
2015,Beverage and tobacco product manufacturing,Canada,,0.22
2015,Beverage manufacturing,Canada,,0.2
2015,Tobacco manufacturing,Canada,,0.02
2015,Textile mills,Canada,,0.05
2015,"Fibre, yarn and thread mills",Canada,,0.01
2015,Fabric mills,Canada,,0.03
2015,Textile and fabric finishing and fabric coating,Canada,,0.01
2015,Textile product mills,Canada,,0.06
2015,Textile furnishings mills,Canada,,0.02
2015,Other textile product mills,Canada,,0.04
2015,Apparel manufacturing,Canada,,0.13
2015,Apparel knitting mills,Canada,,0.01
2015,Cut and sew clothing manufacturing,Canada,,0.1
2015,Clothing accessories and other clothing manufacturing,Canada,,0.01
2015,Leather and allied product manufacturing,Canada,,0.02
2015,Leather and hide tanning and finishing,Canada,,0.0
2015,Footwear manufacturing,Canada,,0.01
2015,Other leather and allied product manufacturing,Canada,,0.01
2015,Paper manufacturing,Canada,,0.35
2015,"Pulp, paper and paperboard mills",Canada,,0.17
2015,Converted paper product manufacturing,Canada,,0.18
2015,Printing and related support activities,Canada,,0.31
2015,Petroleum and coal product manufacturing,Canada,,0.12
2015,Chemical manufacturing,Canada,,0.56
2015,Basic chemical manufacturing,Canada,,0.08
2015,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",Canada,,0.04
2015,"Pesticide, fertilizer and other agricultural chemical manufacturing",Canada,,0.05
