Year,Industry,Size,Value
2019,,,2.71272419907307
2020,,,3.46959676157285
2021,,,2.67862988467221
2022,,,2.80371705095941
2023,,,3.0242914235019
2019,Food products,Total small-scale industries,3.02580245034744
2019,Beverages,Total small-scale industries,2.51815659184783
2019,"Wood products, excluding furniture",Total small-scale industries,2.54940630641967
2019,Printing and reproduction of recorded media,Total small-scale industries,3.96048560693151
2019,Coke and refined petroleum products,Total small-scale industries,3.05500108326188
2019,Rubber and plastics products,Total small-scale industries,2.14471836303202
2019,Basic metals,Total small-scale industries,0.903465827021032
2019,"Fabricated metal products, except machinery",Total small-scale industries,2.90919652765852
2019,"Computer, electronic and optical products",Total small-scale industries,1.8706619819364
2019,Machinery and equipment n.e.c.,Total small-scale industries,2.0003952627483
2019,"Motor vehicles, trailers and semi-trailers",Total small-scale industries,0.526619853545478
2019,Furniture,Total small-scale industries,3.56126571407754
2019,Other manufacturing,Total small-scale industries,5.75287198752249
2020,Food products,Total small-scale industries,2.69802510999276
2020,Beverages,Total small-scale industries,3.34045659369579
2020,"Wood products, excluding furniture",Total small-scale industries,1.93033919912931
2020,Coke and refined petroleum products,Total small-scale industries,4.81346640551302
2020,Rubber and plastics products,Total small-scale industries,4.2623848587123
2020,Basic metals,Total small-scale industries,1.34682211947051
2020,"Fabricated metal products, except machinery",Total small-scale industries,3.62198975546322
2020,"Computer, electronic and optical products",Total small-scale industries,2.14075217341162
2020,Machinery and equipment n.e.c.,Total small-scale industries,2.66645436720602
2020,"Motor vehicles, trailers and semi-trailers",Total small-scale industries,0.807751335181283
2020,Furniture,Total small-scale industries,3.38435664474753
2020,Other manufacturing,Total small-scale industries,8.22996012102753
2021,Food products,Total small-scale industries,1.81562363454143
2021,Beverages,Total small-scale industries,3.55460863780631
2021,"Wood products, excluding furniture",Total small-scale industries,1.99337383665035
2021,Coke and refined petroleum products,Total small-scale industries,2.94682966086899
2021,Rubber and plastics products,Total small-scale industries,2.79672246863029
2021,"Fabricated metal products, except machinery",Total small-scale industries,4.0354590571625
2021,"Computer, electronic and optical products",Total small-scale industries,1.60142244446608
2021,Electrical equipment,Total small-scale industries,2.44134997769844
2021,Machinery and equipment n.e.c.,Total small-scale industries,2.15487325752729
2021,"Motor vehicles, trailers and semi-trailers",Total small-scale industries,0.666444682715198
2021,Furniture,Total small-scale industries,3.9912945960103
2021,Other manufacturing,Total small-scale industries,7.2814282046066
2022,Food products,Total small-scale industries,1.94929432306683
2022,Beverages,Total small-scale industries,2.63925777136193
2022,"Wood products, excluding furniture",Total small-scale industries,2.38049953328955
2022,Coke and refined petroleum products,Total small-scale industries,2.41109312993658
2022,Rubber and plastics products,Total small-scale industries,1.89030136599342
2022,"Fabricated metal products, except machinery",Total small-scale industries,4.58354256638224
2022,Electrical equipment,Total small-scale industries,3.40523972870363
2022,Machinery and equipment n.e.c.,Total small-scale industries,3.21241717761568
2022,"Motor vehicles, trailers and semi-trailers",Total small-scale industries,0.694633675505804
2022,Furniture,Total small-scale industries,4.48753307665615
2022,Other manufacturing,Total small-scale industries,7.41326752398498
2023,Food products,Total small-scale industries,3.1208256715567
2023,Beverages,Total small-scale industries,0.967917600429392
2023,"Wood products, excluding furniture",Total small-scale industries,3.24559057367558
2023,Coke and refined petroleum products,Total small-scale industries,3.13370016578632
2023,Rubber and plastics products,Total small-scale industries,2.15234808774485
2023,"Fabricated metal products, except machinery",Total small-scale industries,3.67191975195152
2023,Electrical equipment,Total small-scale industries,2.57923625489456
2023,Machinery and equipment n.e.c.,Total small-scale industries,1.99322497666527
2023,"Motor vehicles, trailers and semi-trailers",Total small-scale industries,0.500584051154277
2023,Furniture,Total small-scale industries,3.04408905194778
2023,Other manufacturing,Total small-scale industries,6.6982950412006
2019,Food products,1-9 employees,0.863245692072956
2019,Beverages,1-9 employees,0.852251580565026
2019,Textiles,1-9 employees,4.20931942932995
2019,"Wood products, excluding furniture",1-9 employees,0.891952435858737
2019,Paper and paper products,1-9 employees,0.261886447249301
2019,Printing and reproduction of recorded media,1-9 employees,1.76645886537408
2019,Coke and refined petroleum products,1-9 employees,1.61130205481092
2019,Rubber and plastics products,1-9 employees,0.571647030377511
2019,Other non-metallic mineral products,1-9 employees,4.61800540063731
