Year,Measure,Value
2015,Official Development Assistance,125.1631
2016,Official Development Assistance,119.599028
2017,Official Development Assistance,264.940055
2018,Official Development Assistance,361.891129
2018,Other Official Flows (non Export Credit),14.093659
2019,Official Development Assistance,191.003932
2019,Other Official Flows (non Export Credit),38.595686
2020,Official Development Assistance,326.196125
2020,Other Official Flows (non Export Credit),35.269099
2021,Official Development Assistance,452.609545
2021,Other Official Flows (non Export Credit),83.090315
2022,Official Development Assistance,391.835624
2022,Other Official Flows (non Export Credit),136.978518
2023,Official Development Assistance,398.745246
2015,,125.1631
2016,,119.599028
2017,,264.940055
2018,,375.984788
2019,,229.599618
2020,,361.465224
2021,,535.69986
2022,,528.814142
2023,,398.745246
