Year,Value,Units,Series
2016,98.55,Percentage (%),Long-Term Evolution (LTE)
2017,99.14,Percentage (%),Long-Term Evolution (LTE)
2018,99.3,Percentage (%),Long-Term Evolution (LTE)
2019,99.48,Percentage (%),Long-Term Evolution (LTE)
2020,99.53,Percentage (%),Long-Term Evolution (LTE)
2021,99.42,Percentage (%),Long-Term Evolution (LTE)
2022,99.47,Percentage (%),Long-Term Evolution (LTE)
2016,83.35,Percentage (%),Long-Term Evolution - A (LTE-A)
2017,92.43,Percentage (%),Long-Term Evolution - A (LTE-A)
2018,94.9,Percentage (%),Long-Term Evolution - A (LTE-A)
2019,95.86,Percentage (%),Long-Term Evolution - A (LTE-A)
2020,97.45,Percentage (%),Long-Term Evolution - A (LTE-A)
2021,97.82,Percentage (%),Long-Term Evolution - A (LTE-A)
2022,97.8,Percentage (%),Long-Term Evolution - A (LTE-A)
2020,53.27,Percentage (%),5G
2021,87.78,Percentage (%),5G
2022,91.4,Percentage (%),5G
2016,99.47,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2017,99.49,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2018,99.48,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2019,99.53,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2020,99.45,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2021,99.5,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
2022,99.57,Percentage (%),Evolved High-Speed Packet Access (HSPA+)
