Value,Disaggregation combinations using this value,Number of indicators
Connected a new device to a Wi-Fi network,20,1
Connected a new device via Bluetooth,20,1
Copied or moved files or folders digitally,20,1
"Created presentations, or documents with text and pictures, tables or charts",20,1
Downloaded files from the Internet to your computer or other devices,20,1
Shared files using an online data storage space,20,1
Uploaded files or photos to an online data storage space,20,1
"Used software to edit photos, video or audio files",20,1
Used spreadsheet software advanced functions to organize and analyze data,20,1
Used spreadsheet software basic functions,20,1
Used the Internet to transfer photos or videos from one device to another,20,1
Used word processing software,20,1
Used your smartphone as a GPS device for directions,20,1
Written code in a programming language,20,1
