Value,en,fr,Disaggregation combinations using this value,Number of indicators
1 to 14 years,1 to 14 years,1 à 14 ans,30,1
1 to 4 years,1 to 4 years,1 à 4 ans,30,1
10 to 14 years,10 to 14 years,10 à 14 ans,30,1
15 to 19 years,15 to 19 years,15 à 19 ans,30,1
15 to 24,15 to 24,15 à 24 ans,30,1
20 to 24 years,20 to 24 years,20 à 24 ans,30,1
25 to 29 years,25 to 29 years,25 à 29 ans,30,1
25 to 34 years,25 to 34 years,25 à 34 ans,30,1
30 to 34 years,30 to 34 years,30 à 34 ans,30,1
35 to 39 years,35 to 39 years,35 à 39 ans,30,1
35 to 44 years,35 to 44 years,35 à 44 ans,30,1
40 to 44 years,40 to 44 years,40 à 44 ans,30,1
45 to 49 years,45 to 49 years,45 à 49 ans,30,1
45 to 54 years,45 to 54 years,45 à 54 ans,30,1
5 to 9 years,5 to 9 years,5 à 9 ans,30,1
50 to 54 years,50 to 54 years,50 à 54 ans,30,1
55 to 59 years,55 to 59 years,55 à 59 ans,30,1
55 to 64 years,55 to 64 years,55 à 64 ans,30,1
60 to 64 years,60 to 64 years,60 à 64 ans,30,1
65 to 69 years,65 to 69 years,65 à 69 ans,30,1
65 to 74 years,65 to 74 years,65 à 74 ans,30,1
70 to 74 years,70 to 74 years,70 à 74 ans,30,1
75 to 79 years,75 to 79 years,75 à 79 ans,30,1
75 to 84 years,75 to 84 years,75 à 84 ans,30,1
80 to 84 years,80 to 84 years,80 à 84 ans,30,1
85 and over,85 and over,85 ans et plus,30,1
85 to 89 years,85 to 89 years,85 à 89 ans,30,1
90 years and over,90 years and over,90 ans et plus,30,1
All ages,All ages,Tous les âges,30,1
