Value,Disaggregation combinations using this value,Number of indicators
1 to 4 years,3,1
10 to 14 years,3,1
15 to 19 years,3,1
15 to 24 years,80,3
20 to 24 years,3,1
25 to 29 years,3,1
25 to 34 years,134,3
30 to 34 years,3,1
35 to 39 years,3,1
35 to 44 years,119,2
40 to 44 years,3,1
45 to 49 years,3,1
45 to 54 years,124,2
5 to 9 years,3,1
50 to 54 years,3,1
55 to 59 years,3,1
55 to 64 years,2,1
60 to 64 years,3,1
65 to 69 years,3,1
65 years and older,2,1
70 to 74 years,3,1
75 to 79 years,3,1
80 to 84 years,3,1
85 to 89 years,3,1
90 years and over,3,1
Adults (15-49),1,1
All ages,3,2
Not stated,3,1
"Total, age",125,1
Under 1 year,3,1
