Value,en,fr,Disaggregation combinations using this value,Number of indicators
All regions,All regions,Toutes les régions,2,1
Americas,Americas,Amériques,3,1
Countries not eligible for official development assistance,Countries not eligible for official development assistance,Pays non admissibles à l'aide publique au développement,3,1
Eastern and Southern Europe,Eastern and Southern Europe,Europe de l'Est et Europe du Sud,3,1
Eastern Asia,Eastern Asia,Asie de l'Est,3,1
North Africa,North Africa,Afrique du Nord,3,1
Southeast Asia and Oceania,Southeast Asia and Oceania,Asie du Sud-Est et Océanie,3,1
Southern Asia,Southern Asia,Asie du Sud,3,1
Sub-Saharan Africa,Sub-Saharan Africa,Afrique subsaharienne,3,1
West Central Asia and the Middle East,West Central Asia and the Middle East,Asie de l'Ouest et centrale et Moyen-Orient,3,1
