Value,Disaggregation combinations using this value,Number of indicators
Did not experience discrimination or unfair treatment in Canada,193,1
Discrimination at school,176,1
Discrimination at work,177,1
Discrimination by or among friends or family,177,1
Discrimination in any other situation,177,1
"Discrimination in public areas, a store, bank or restaurant",177,1
Discrimination on the Internet,177,1
Discrimination when interacting with the healthcare system,177,1
Discrimination while using public transit,176,1
Experienced discrimination or unfair treatment in Canada,192,1
