Value,en,fr,Disaggregation combinations using this value,Number of indicators
All persons,All persons,Toutes les personnes,233,1
Elderly persons not in an economic family,Elderly persons not in an economic family,Personnes âgées hors famille économique,209,1
Non-elderly persons not in an economic family,Non-elderly persons not in an economic family,Personnes non âgées hors famille économique,231,1
Persons in couple families with children,Persons in couple families with children,Personnes dans les familles comptant un couple avec des enfants,78,1
Persons in couple families with other relatives,Persons in couple families with other relatives,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,58,1
Persons in couples,Persons in couples,Personnes dans les couples,78,1
Persons in economic families,Persons in economic families,Personnes dans les familles économiques,78,1
Persons in elderly couples,Persons in elderly couples,Personnes dans les couples de personnes âgées,65,1
Persons in elderly families,Persons in elderly families,Personnes dans les familles de personnes âgées,70,1
Persons in lone-parent families,Persons in lone-parent families,Personnes dans les familles monoparentales,180,1
Persons in non-elderly families,Persons in non-elderly families,Personnes dans les familles non âgées,78,1
Persons in other elderly families,Persons in other elderly families,Personnes dans les autres familles de personnes âgées,40,1
Persons in other non-elderly families,Persons in other non-elderly families,Personnes dans les autres familles de personnes non âgées,73,1
Persons not in an economic family,Persons not in an economic family,Personnes hors famille économique,78,1
