Value,Disaggregation combinations using this value,Number of indicators
At least some primary (ISCED 1),1,1
Completed Bachelor's or equivalent education or higher,6,1
Completed Doctoral or equivalent education,6,1
Completed lower secondary education or higher,1,1
Completed Master's or equivalent education or higher,6,1
Completed post-secondary non-tertiary education or higher,6,1
Completed primary education or higher,1,1
Completed short-cycle tertiary education or higher,6,1
Completed upper secondary education or higher,6,1
Lower secondary education,7,1
Primary education,7,1
Upper secondary education,3,1
