Value,en,fr,Disaggregation combinations using this value,Number of indicators
Coverage subscore,Coverage subscore,Sous-score de couverture,26,1
Data available last 10 years,Data available last 10 years,Données disponibles pour les 10 dernières années,26,1
Data available last 5 years,Data available last 5 years,Données disponibles pour les 5 dernières années,26,1
Download options,Download options,Options de téléchargement,26,1
First administrative level,First administrative level,Premier niveau administratif,26,1
Indicator coverage and disaggregation,Indicator coverage and disaggregation,Couverture et désagrégation des indicateurs,26,1
Machine readable,Machine readable,Lisible par machine,26,1
Metadata available,Metadata available,Métadonnées disponibles,26,1
Non-proprietary,Non-proprietary,Non propriétaire,26,1
Openness subscore,Openness subscore,Sous-score d'ouverture,26,1
Overall score,Overall score,Score global,25,1
Second administrative level,Second administrative level,Deuxième niveau administratif,26,1
Terms of use,Terms of use,Conditions d'utilisation,26,1
