Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Abbotsford - Mission, British Columbia","Abbotsford - Mission, British Columbia","Abbotsford - Mission, Colombie-Britannique",144,1
Alberta,Alberta,Alberta,1452,45
Atlantic Canada,Atlantic Canada,Canada atlantique,1,1
Atlantic Ocean,Atlantic Ocean,Océan Atlantique,21,1
Atlantic provinces,Atlantic provinces,Provinces de l'Atlantique,292,3
Atlantic Region,Atlantic Region,Région de l'Atlantique,6,3
Atlantic,Atlantic,Atlantique,102,1
"Barrie, Ontario","Barrie, Ontario","Barrie, Ontario",147,2
"Belleville - Quinte West, Ontario","Belleville - Quinte West, Ontario","Belleville - Quinte West, Ontario",108,1
"Brantford, Ontario","Brantford, Ontario","Brantford, Ontario",111,2
British Columbia and Territories Region,British Columbia and Territories Region,Région de la Colombie-Britannique et des Territoires,4,1
British Columbia,British Columbia,Colombie-Britannique,1608,47
"Calgary, AB","Calgary, AB","Calgary, AB",1,1
"Calgary, Alberta","Calgary, Alberta","Calgary, Alberta",171,4
Canada,Canada,Canada,4648,32
"Charlottetown, PE","Charlottetown, PE","Charlottetown, PE",1,1
"Chicoutimi - Jonquière, Quebec","Chicoutimi - Jonquière, Quebec","Chicoutimi - Jonquière, Québec",3,1
"Chilliwack, British Columbia","Chilliwack, British Columbia","Chilliwack, Colombie-Britannique",108,1
"Drummondville, Quebec","Drummondville, Quebec","Drummondville, Québec",108,1
"Edmonton, AB","Edmonton, AB","Edmonton, AB",1,1
"Edmonton, Alberta","Edmonton, Alberta","Edmonton, Alberta",171,4
"Fredericton, NB","Fredericton, NB","Fredericton, NB",1,1
"Fredericton, New Brunswick","Fredericton, New Brunswick","Fredericton, Nouveau-Brunswick",108,1
"Gatineau, QC","Gatineau, QC","Gatineau, QC",1,1
Great Lakes and St. Lawrence River,Great Lakes and St. Lawrence River,Grands Lacs et fleuve Saint-Laurent,21,1
"Greater Sudbury, Ontario","Greater Sudbury, Ontario","Grand Sudbury, Ontario",108,1
"Guelph, Ontario","Guelph, Ontario","Guelph, Ontario",147,2
"Halifax, Nova Scotia","Halifax, Nova Scotia","Halifax, Nouvelle-Écosse",147,2
"Halifax, NS","Halifax, NS","Halifax, NS",1,1
"Hamilton, ON","Hamilton, ON","Hamilton, ON",1,1
"Hamilton, Ontario","Hamilton, Ontario","Hamilton, Ontario",144,1
Hudson Bay,Hudson Bay,Baie d'Hudson,21,1
"Kamloops, British Columbia","Kamloops, British Columbia","Kamloops, Colombie-Britannique",108,1
"Kelowna, BC","Kelowna, BC","Kelowna, BC",1,1
