Value,en,fr,Disaggregation combinations using this value,Number of indicators
Apprenticeship or trades certificate or diploma,Apprenticeship or trades certificate or diploma,Certificat ou diplôme d’apprenti ou d’une école de métiers,60,2
At least some primary (ISCED 1),At least some primary (ISCED 1),Au moins une partie de l'éducation primaire (CITE 1),1,1
Bachelors degree or higher,Bachelor's degree or higher,Un baccalauréat ou diplôme supérieur,70,1
Bachelor's degree or higher,Bachelor's degree or higher,Baccalauréat ou grade supérieur,60,2
Bachelor's degree,Bachelor's degree,Baccalauréat,60,2
"College, CEGEP or other non-university certificate or diploma","College, CEGEP or other non-university certificate or diploma","Certificat ou diplôme d’un collège, d’un cégep ou d’un autre établissement non universitaire",60,2
"College, trade school or some university","College, trade school or some university","Un diplôme d'un collège ou d'une école de métiers, ou études universitaires partielles",70,1
Completed Bachelor's or equivalent education or higher,Completed Bachelor's or equivalent education or higher,A complété un baccalauréat ou éducation équivalente ou supérieure,6,1
Completed Doctoral or equivalent education,Completed Doctoral or equivalent education,A complété un doctorat ou éducation équivalente,6,1
Completed lower secondary education or higher,Completed lower secondary education or higher,A complété une éducation secondaire de premier cycle ou supérieure,1,1
Completed Master's or equivalent education or higher,Completed Master's or equivalent education or higher,A complété une maîtrise ou éducation équivalente ou supérieure,6,1
Completed post-secondary non-tertiary education or higher,Completed post-secondary non-tertiary education or higher,A complété une éducation post-secondaire non tertiaire ou supérieure,6,1
Completed primary education or higher,Completed primary education or higher,A complété une éducation primaire ou supérieure,1,1
Completed short-cycle tertiary education or higher,Completed short-cycle tertiary education or higher,A complété une éducation tertiaire de cycle court ou supérieure,6,1
Completed upper secondary education or higher,Completed upper secondary education or higher,A complété une éducation secondaire de deuxième cycle ou supérieure,6,1
High school or less,High school or less,Un diplôme d'études secondaires ou moins,70,1
Lower secondary education,Lower secondary education,Éducation secondaire de premier cycle,6,1
"No certificate, diploma or degree","No certificate, diploma or degree","Aucun certificat, diplôme ou grade",60,2
"Postsecondary certificate, diploma or degree","Postsecondary certificate, diploma or degree","Certificat, diplôme ou grade d’études postsecondaires",60,2
Postsecondary certificate or diploma below bachelor level,Postsecondary certificate or diploma below bachelor level,Certificat ou diplôme d’études postsecondaires inférieur au baccalauréat,60,2
Primary education,Primary education,Éducation primaire,6,1
Secondary (high) school diploma or equivalency certificate,Secondary (high) school diploma or equivalency certificate,Diplôme d’études secondaires ou attestation d’équivalence,60,2
"Total, highest certificate, diploma or degree completed","Total, highest certificate, diploma or degree completed","Total, plus haut certificat, diplôme ou grade obtenu",70,1
"Total, highest certificate, diploma or degree","Total, highest certificate, diploma or degree","Total, plus haut certificat, diplôme ou grade",40,2
"University certificate, diploma or degree above bachelor level","University certificate, diploma or degree above bachelor level","Certificat, diplôme ou grade universitaire supérieur au baccalauréat",60,2
University certificate or diploma below bachelor level,University certificate or diploma below bachelor level,Certificat ou diplôme universitaire inférieur au baccalauréat,60,2
Upper secondary education,Upper secondary education,Éducation secondaire de deuxième cycle,3,1
