Value,en,fr,Disaggregation combinations using this value,Number of indicators
Immigrant,Immigrant,Personne immigrante,3,2
"Immigrants, 10 years or less in Canada","Immigrants, 10 years or less in Canada","Immigrants, au Canada depuis 10 ans ou moins",60,2
"Immigrants, more than 10 years in Canada","Immigrants, more than 10 years in Canada","Immigrants, au Canada depuis plus de 10 ans",60,2
Immigrants,Immigrants,Immigrants,163,3
Non-immigrant,Non-immigrant,Personne non immigrante,3,2
Non-immigrants,Non-immigrants,Non-immigrants,60,2
Non-permanent residents,Non-permanent residents,Résidents non permanents,8,2
"Not stated, immigrant status","Not stated, immigrant status",Status d'immigrant non précisée,9,1
"Total, by immigrant status","Total, by immigrant status","Total, selon le statut d’immigrant",40,2
"Total, immigrant status","Total, immigrant status","Total, statut d'immigrant",125,1
