Value,en,fr,Disaggregation combinations using this value,Number of indicators
First Nations (North American Indian),First Nations (North American Indian),Premières Nations (Indien de l'Amérique du Nord),48,1
First Nations,First Nations,Premières Nations,29,3
Indigenous identity,Indigenous identity,Identité autochtone,102,3
Indigenous person,Indigenous person,Personne autochtone,1,1
Inuk (Inuit),Inuk (Inuit),Inuk (Inuit),20,1
Inuk,Inuk,Inuit,1,1
Multiple Indigenous identities or specific group not stated,Multiple Indigenous identities or specific group not stated,Nombreuses identités autochtones ou groupe particulier non précisé,1,1
Métis,Métis,Métis,73,4
Non-indigenous identity,Non-indigenous identity,Identité non autochtone,124,1
Non-Indigenous identity,Non-Indigenous identity,Identité non autochtone,102,3
Non-Indigenous person,Non-Indigenous person,Personne non autochtone,1,1
"Not stated, population by indigenous identity","Not stated, population by indigenous identity",Identité autochtone non précisée,19,1
Other Indigenous identity,Other Indigenous identity,Autre identité autochtone,2,1
Single Indigenous identity,Single Indigenous identity,Identité autochtone unique,60,2
"Total, by Indigenous identity","Total, by Indigenous identity","Total, selon l’identité autochtone",40,2
Total,Total,Total,41,1
