Value,Disaggregation combinations using this value,Number of indicators
Accommodation and food services (NAICS 72),4,1
Advanced manufacturing,4,1
Advanced technology,4,1
Construction (NAICS 23),4,1
Information and communication technologies (ICT),3,1
Knowledge-based industries (KBI),3,1
Manufacturing (NAICS 31-33),4,1
Other industries from the North American Industrial Classification System (NAICS),4,1
Other services (NAICS 81),4,1
Retail trade (NAICS 44-45),4,1
Scientific and technical services (NAICS 54),4,1
Tourism,4,1
Transportation and warehousing (NAICS 48-49),4,1
Wholesale trade (NAICS 41),4,1
